ward,precinct,total,"Jaime M. Andrade, Jr.","Jaime M. Andrade, Jr. Percent",precinct_id
1,41,18,18,100.0,01041
1,42,22,22,100.0,01042
30,3,315,315,100.0,30003
30,7,7,7,100.0,30007
30,8,452,452,100.0,30008
30,15,357,357,100.0,30015
30,18,282,282,100.0,30018
30,22,506,506,100.0,30022
30,23,12,12,100.0,30023
30,24,281,281,100.0,30024
30,25,230,230,100.0,30025
30,28,378,378,100.0,30028
30,32,281,281,100.0,30032
32,1,155,155,100.0,32001
32,3,298,298,100.0,32003
32,17,525,525,100.0,32017
32,26,293,293,100.0,32026
32,28,229,229,100.0,32028
32,43,469,469,100.0,32043
33,1,481,481,100.0,33001
33,2,334,334,100.0,33002
33,3,577,577,100.0,33003
33,4,643,643,100.0,33004
33,5,343,343,100.0,33005
33,6,429,429,100.0,33006
33,7,418,418,100.0,33007
33,9,545,545,100.0,33009
33,11,535,535,100.0,33011
33,12,484,484,100.0,33012
33,13,473,473,100.0,33013
33,14,251,251,100.0,33014
33,15,483,483,100.0,33015
33,16,625,625,100.0,33016
33,17,548,548,100.0,33017
33,18,466,466,100.0,33018
33,19,538,538,100.0,33019
33,20,529,529,100.0,33020
33,21,525,525,100.0,33021
33,22,452,452,100.0,33022
33,25,605,605,100.0,33025
33,26,420,420,100.0,33026
33,27,534,534,100.0,33027
33,28,494,494,100.0,33028
35,1,436,436,100.0,35001
35,4,396,396,100.0,35004
35,5,390,390,100.0,35005
35,6,399,399,100.0,35006
35,9,353,353,100.0,35009
35,20,376,376,100.0,35020
35,22,529,529,100.0,35022
35,23,428,428,100.0,35023
35,24,374,374,100.0,35024
35,26,356,356,100.0,35026
35,27,349,349,100.0,35027
35,29,349,349,100.0,35029
35,30,382,382,100.0,35030
35,31,437,437,100.0,35031
39,3,423,423,100.0,39003
39,6,1,1,100.0,39006
39,12,281,281,100.0,39012
39,25,280,280,100.0,39025
39,28,496,496,100.0,39028
39,31,280,280,100.0,39031
39,34,409,409,100.0,39034
45,1,348,348,100.0,45001
45,2,411,411,100.0,45002
45,3,383,383,100.0,45003
45,4,500,500,100.0,45004
45,5,401,401,100.0,45005
45,6,539,539,100.0,45006
45,7,578,578,100.0,45007
45,8,29,29,100.0,45008
