ward,precinct,total,Melissa Conyears-Ervin,Melissa Conyears-Ervin Percent,precinct_id
1,8,345,345,100.0,01008
1,11,60,60,100.0,01011
1,12,565,565,100.0,01012
1,21,76,76,100.0,01021
1,32,123,123,100.0,01032
1,33,39,39,100.0,01033
1,37,204,204,100.0,01037
2,1,347,347,100.0,02001
2,6,489,489,100.0,02006
2,7,455,455,100.0,02007
2,8,574,574,100.0,02008
2,15,407,407,100.0,02015
2,17,493,493,100.0,02017
2,20,449,449,100.0,02020
2,25,523,523,100.0,02025
24,17,14,14,100.0,24017
24,19,321,321,100.0,24019
24,20,213,213,100.0,24020
24,32,134,134,100.0,24032
24,41,194,194,100.0,24041
26,4,55,55,100.0,26004
26,17,249,249,100.0,26017
26,19,93,93,100.0,26019
26,28,371,371,100.0,26028
26,46,221,221,100.0,26046
27,1,776,776,100.0,27001
27,3,208,208,100.0,27003
27,4,191,191,100.0,27004
27,5,262,262,100.0,27005
27,8,266,266,100.0,27008
27,10,200,200,100.0,27010
27,11,335,335,100.0,27011
27,13,416,416,100.0,27013
27,14,125,125,100.0,27014
27,15,163,163,100.0,27015
27,16,135,135,100.0,27016
27,17,344,344,100.0,27017
27,19,162,162,100.0,27019
27,22,156,156,100.0,27022
27,23,261,261,100.0,27023
27,24,226,226,100.0,27024
27,25,292,292,100.0,27025
27,26,261,261,100.0,27026
27,27,418,418,100.0,27027
27,29,227,227,100.0,27029
27,30,154,154,100.0,27030
27,31,266,266,100.0,27031
27,32,313,313,100.0,27032
27,33,241,241,100.0,27033
27,34,253,253,100.0,27034
27,35,433,433,100.0,27035
27,36,310,310,100.0,27036
27,37,17,17,100.0,27037
27,39,248,248,100.0,27039
27,40,450,450,100.0,27040
27,43,221,221,100.0,27043
27,44,229,229,100.0,27044
27,45,33,33,100.0,27045
27,49,251,251,100.0,27049
27,50,316,316,100.0,27050
28,1,0,0,0.0,28001
28,2,258,258,100.0,28002
28,3,233,233,100.0,28003
28,7,270,270,100.0,28007
28,9,275,275,100.0,28009
28,13,313,313,100.0,28013
28,15,59,59,100.0,28015
28,16,174,174,100.0,28016
28,17,247,247,100.0,28017
28,20,257,257,100.0,28020
28,21,240,240,100.0,28021
28,22,253,253,100.0,28022
28,23,319,319,100.0,28023
28,24,229,229,100.0,28024
28,25,380,380,100.0,28025
28,26,270,270,100.0,28026
28,30,45,45,100.0,28030
28,32,245,245,100.0,28032
28,33,301,301,100.0,28033
28,36,163,163,100.0,28036
28,37,355,355,100.0,28037
28,38,123,123,100.0,28038
28,40,377,377,100.0,28040
28,42,100,100,100.0,28042
28,44,193,193,100.0,28044
29,6,6,6,100.0,29006
32,2,517,517,100.0,32002
32,4,469,469,100.0,32004
32,5,474,474,100.0,32005
32,6,607,607,100.0,32006
32,29,434,434,100.0,32029
32,31,513,513,100.0,32031
32,32,551,551,100.0,32032
32,33,267,267,100.0,32033
32,34,497,497,100.0,32034
32,35,514,514,100.0,32035
32,36,517,517,100.0,32036
32,37,206,206,100.0,32037
37,2,255,255,100.0,37002
37,3,231,231,100.0,37003
37,4,242,242,100.0,37004
37,7,221,221,100.0,37007
37,8,221,221,100.0,37008
37,12,178,178,100.0,37012
37,13,222,222,100.0,37013
37,14,16,16,100.0,37014
37,19,205,205,100.0,37019
37,20,2,2,100.0,37020
37,21,272,272,100.0,37021
37,22,33,33,100.0,37022
37,27,1,1,100.0,37027
37,28,261,261,100.0,37028
37,30,15,15,100.0,37030
43,5,160,160,100.0,43005
43,7,316,316,100.0,43007
43,10,579,579,100.0,43010
43,11,444,444,100.0,43011
43,23,351,351,100.0,43023
