ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Craig Cameron,Craig Cameron Percent,precinct_id
1,12,654,562,85.93,92,14.07,01012
1,14,140,126,90.0,14,10.0,01014
1,15,76,72,94.74,4,5.26,01015
1,32,231,180,77.92,51,22.08,01032
2,2,454,336,74.01,118,25.99,02002
2,9,534,389,72.85,145,27.15,02009
2,10,492,335,68.09,157,31.91,02010
2,11,627,445,70.97,182,29.03,02011
2,12,289,273,94.46,16,5.54,02012
2,13,518,401,77.41,117,22.59,02013
2,14,509,441,86.64,68,13.36,02014
2,17,673,584,86.78,89,13.22,02017
2,18,562,425,75.62,137,24.38,02018
2,19,438,309,70.55,129,29.45,02019
2,20,303,240,79.21,63,20.79,02020
2,21,15,13,86.67,2,13.33,02021
2,23,410,286,69.76,124,30.24,02023
2,27,533,379,71.11,154,28.89,02027
2,28,255,189,74.12,66,25.88,02028
2,29,647,487,75.27,160,24.73,02029
2,32,454,340,74.89,114,25.11,02032
2,34,468,331,70.73,137,29.27,02034
2,35,737,552,74.9,185,25.1,02035
2,36,642,489,76.17,153,23.83,02036
2,38,416,290,69.71,126,30.29,02038
2,39,401,256,63.84,145,36.16,02039
2,40,787,609,77.38,178,22.62,02040
2,41,590,457,77.46,133,22.54,02041
2,42,641,509,79.41,132,20.59,02042
2,43,787,594,75.48,193,24.52,02043
2,45,665,522,78.5,143,21.5,02045
2,46,322,227,70.5,95,29.5,02046
3,1,639,621,97.18,18,2.82,03001
3,2,581,572,98.45,9,1.55,03002
3,3,456,422,92.54,34,7.46,03003
3,4,272,268,98.53,4,1.47,03004
3,5,301,293,97.34,8,2.66,03005
3,6,726,577,79.48,149,20.52,03006
3,8,412,396,96.12,16,3.88,03008
3,9,514,497,96.69,17,3.31,03009
3,10,229,226,98.69,3,1.31,03010
3,11,509,494,97.05,15,2.95,03011
3,12,456,447,98.03,9,1.97,03012
3,13,619,527,85.14,92,14.86,03013
3,14,595,523,87.9,72,12.1,03014
3,15,468,461,98.5,7,1.5,03015
3,16,431,418,96.98,13,3.02,03016
3,17,746,684,91.69,62,8.31,03017
3,18,493,477,96.75,16,3.25,03018
3,19,631,481,76.23,150,23.77,03019
3,20,516,508,98.45,8,1.55,03020
3,21,615,509,82.76,106,17.24,03021
3,22,741,623,84.08,118,15.92,03022
3,23,184,178,96.74,6,3.26,03023
3,24,418,404,96.65,14,3.35,03024
3,25,940,717,76.28,223,23.72,03025
3,26,627,507,80.86,120,19.14,03026
3,27,713,556,77.98,157,22.02,03027
3,28,326,315,96.63,11,3.37,03028
3,29,481,459,95.43,22,4.57,03029
3,30,111,106,95.5,5,4.5,03030
3,31,528,521,98.67,7,1.33,03031
3,32,663,562,84.77,101,15.23,03032
3,33,670,570,85.07,100,14.93,03033
3,34,694,596,85.88,98,14.12,03034
3,35,143,133,93.01,10,6.99,03035
3,36,267,261,97.75,6,2.25,03036
3,37,448,439,97.99,9,2.01,03037
3,39,894,757,84.68,137,15.32,03039
3,40,554,507,91.52,47,8.48,03040
4,2,710,599,84.37,111,15.63,04002
4,4,651,635,97.54,16,2.46,04004
4,5,516,495,95.93,21,4.07,04005
4,6,615,578,93.98,37,6.02,04006
4,7,613,593,96.74,20,3.26,04007
4,8,55,55,100.0,0,0.0,04008
4,10,656,638,97.26,18,2.74,04010
4,11,330,321,97.27,9,2.73,04011
4,13,672,582,86.61,90,13.39,04013
4,14,106,101,95.28,5,4.72,04014
4,15,185,175,94.59,10,5.41,04015
4,16,932,815,87.45,117,12.55,04016
4,17,709,634,89.42,75,10.58,04017
4,20,516,441,85.47,75,14.53,04020
4,21,767,675,88.01,92,11.99,04021
4,22,5,5,100.0,0,0.0,04022
4,25,628,520,82.8,108,17.2,04025
4,28,315,299,94.92,16,5.08,04028
4,29,135,132,97.78,3,2.22,04029
4,30,70,70,100.0,0,0.0,04030
4,34,458,446,97.38,12,2.62,04034
4,35,612,591,96.57,21,3.43,04035
4,36,295,286,96.95,9,3.05,04036
4,37,1018,877,86.15,141,13.85,04037
6,21,203,198,97.54,5,2.46,06021
11,2,33,24,72.73,9,27.27,11002
11,6,718,601,83.7,117,16.3,11006
11,7,678,615,90.71,63,9.29,11007
11,14,232,166,71.55,66,28.45,11014
11,30,225,169,75.11,56,24.89,11030
11,33,557,443,79.53,114,20.47,11033
11,34,156,121,77.56,35,22.44,11034
11,35,113,93,82.3,20,17.7,11035
11,36,178,141,79.21,37,20.79,11036
11,37,125,107,85.6,18,14.4,11037
12,10,64,64,100.0,0,0.0,12010
12,15,160,146,91.25,14,8.75,12015
12,18,138,130,94.2,8,5.8,12018
15,2,216,212,98.15,4,1.85,15002
15,3,227,217,95.59,10,4.41,15003
15,7,245,235,95.92,10,4.08,15007
15,13,33,28,84.85,5,15.15,15013
15,14,3,3,100.0,0,0.0,15014
15,16,11,9,81.82,2,18.18,15016
15,17,264,251,95.08,13,4.92,15017
15,18,211,209,99.05,2,0.95,15018
15,20,261,252,96.55,9,3.45,15020
15,21,215,210,97.67,5,2.33,15021
15,22,281,275,97.86,6,2.14,15022
15,23,264,261,98.86,3,1.14,15023
15,24,206,204,99.03,2,0.97,15024
16,2,284,266,93.66,18,6.34,16002
16,3,231,225,97.4,6,2.6,16003
16,4,294,283,96.26,11,3.74,16004
16,5,201,193,96.02,8,3.98,16005
16,6,284,279,98.24,5,1.76,16006
16,7,249,240,96.39,9,3.61,16007
16,8,186,178,95.7,8,4.3,16008
16,9,19,18,94.74,1,5.26,16009
16,10,267,264,98.88,3,1.12,16010
16,11,272,265,97.43,7,2.57,16011
16,12,244,237,97.13,7,2.87,16012
16,13,269,252,93.68,17,6.32,16013
16,14,212,206,97.17,6,2.83,16014
16,15,293,287,97.95,6,2.05,16015
16,16,269,266,98.88,3,1.12,16016
16,17,336,314,93.45,22,6.55,16017
16,18,315,307,97.46,8,2.54,16018
16,19,246,237,96.34,9,3.66,16019
