ward,precinct,total,"Lamont J. Robinson, Jr.","Lamont J. Robinson, Jr. Percent",precinct_id
2,27,104,104,100.0,02027
2,29,180,180,100.0,02029
2,32,353,353,100.0,02032
2,36,505,505,100.0,02036
2,38,252,252,100.0,02038
2,39,269,269,100.0,02039
2,40,646,646,100.0,02040
2,41,327,327,100.0,02041
2,42,282,282,100.0,02042
2,43,612,612,100.0,02043
2,45,536,536,100.0,02045
3,1,442,442,100.0,03001
3,2,509,509,100.0,03002
3,3,3,3,100.0,03003
3,6,597,597,100.0,03006
3,7,281,281,100.0,03007
3,8,351,351,100.0,03008
3,9,459,459,100.0,03009
3,11,252,252,100.0,03011
3,12,272,272,100.0,03012
3,14,521,521,100.0,03014
3,15,406,406,100.0,03015
3,16,399,399,100.0,03016
3,17,663,663,100.0,03017
3,18,277,277,100.0,03018
3,20,474,474,100.0,03020
3,21,331,331,100.0,03021
3,22,633,633,100.0,03022
3,23,368,368,100.0,03023
3,24,364,364,100.0,03024
3,25,731,731,100.0,03025
3,27,226,226,100.0,03027
3,28,286,286,100.0,03028
3,29,358,358,100.0,03029
3,31,224,224,100.0,03031
3,32,556,556,100.0,03032
3,33,570,570,100.0,03033
3,34,591,591,100.0,03034
3,35,217,217,100.0,03035
3,36,136,136,100.0,03036
3,37,408,408,100.0,03037
3,38,362,362,100.0,03038
3,39,766,766,100.0,03039
3,40,472,472,100.0,03040
3,41,111,111,100.0,03041
4,2,617,617,100.0,04002
4,6,392,392,100.0,04006
4,11,110,110,100.0,04011
4,14,484,484,100.0,04014
4,16,679,679,100.0,04016
4,21,205,205,100.0,04021
4,25,527,527,100.0,04025
4,36,241,241,100.0,04036
4,38,163,163,100.0,04038
5,2,299,299,100.0,05002
5,12,282,282,100.0,05012
5,13,11,11,100.0,05013
5,30,147,147,100.0,05030
6,7,8,8,100.0,06007
7,1,13,13,100.0,07001
7,3,5,5,100.0,07003
8,1,268,268,100.0,08001
8,2,105,105,100.0,08002
8,9,236,236,100.0,08009
8,13,389,389,100.0,08013
8,16,102,102,100.0,08016
8,20,405,405,100.0,08020
8,21,399,399,100.0,08021
8,26,212,212,100.0,08026
8,28,361,361,100.0,08028
8,43,57,57,100.0,08043
8,54,158,158,100.0,08054
8,55,285,285,100.0,08055
20,1,311,311,100.0,20001
20,3,285,285,100.0,20003
20,7,341,341,100.0,20007
20,8,228,228,100.0,20008
20,10,207,207,100.0,20010
20,11,449,449,100.0,20011
20,12,266,266,100.0,20012
20,14,152,152,100.0,20014
20,18,223,223,100.0,20018
20,19,323,323,100.0,20019
20,23,347,347,100.0,20023
20,27,0,0,0.0,20027
20,30,155,155,100.0,20030
20,31,389,389,100.0,20031
20,33,198,198,100.0,20033
20,35,220,220,100.0,20035
20,37,99,99,100.0,20037
20,39,3,3,100.0,20039
27,38,134,134,100.0,27038
42,10,470,470,100.0,42010
42,14,449,449,100.0,42014
42,15,87,87,100.0,42015
42,19,354,354,100.0,42019
42,20,534,534,100.0,42020
42,22,228,228,100.0,42022
42,23,507,507,100.0,42023
42,25,468,468,100.0,42025
42,27,345,345,100.0,42027
42,32,501,501,100.0,42032
42,33,577,577,100.0,42033
42,39,718,718,100.0,42039
42,40,138,138,100.0,42040
42,42,840,840,100.0,42042
