ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,Arthur J. Jones,Arthur J. Jones Percent,precinct_id
11,1,423,356,84.16,67,15.84,11001
11,4,364,321,88.19,43,11.81,11004
11,5,534,483,90.45,51,9.55,11005
11,8,414,367,88.65,47,11.35,11008
11,9,344,289,84.01,55,15.99,11009
11,10,389,325,83.55,64,16.45,11010
11,11,463,374,80.78,89,19.22,11011
11,12,574,454,79.09,120,20.91,11012
11,13,513,385,75.05,128,24.95,11013
11,15,167,143,85.63,24,14.37,11015
11,16,295,227,76.95,68,23.05,11016
11,17,524,446,85.11,78,14.89,11017
11,18,327,283,86.54,44,13.46,11018
11,19,536,486,90.67,50,9.33,11019
11,20,297,258,86.87,39,13.13,11020
11,21,535,463,86.54,72,13.46,11021
11,22,481,412,85.65,69,14.35,11022
11,23,266,226,84.96,40,15.04,11023
11,24,491,436,88.8,55,11.2,11024
11,25,550,466,84.73,84,15.27,11025
11,26,496,418,84.27,78,15.73,11026
11,27,140,124,88.57,16,11.43,11027
11,28,196,156,79.59,40,20.41,11028
11,29,479,409,85.39,70,14.61,11029
11,31,425,333,78.35,92,21.65,11031
11,32,213,172,80.75,41,19.25,11032
11,37,0,0,0.0,0,0.0,11037
12,1,354,325,91.81,29,8.19,12001
12,3,365,326,89.32,39,10.68,12003
12,4,399,357,89.47,42,10.53,12004
12,5,118,101,85.59,17,14.41,12005
12,8,12,12,100.0,0,0.0,12008
12,9,319,278,87.15,41,12.85,12009
12,19,351,318,90.6,33,9.4,12019
12,23,376,329,87.5,47,12.5,12023
13,1,298,247,82.89,51,17.11,13001
13,2,301,257,85.38,44,14.62,13002
13,3,279,260,93.19,19,6.81,13003
13,4,365,270,73.97,95,26.03,13004
13,5,391,357,91.3,34,8.7,13005
13,6,344,268,77.91,76,22.09,13006
13,7,262,245,93.51,17,6.49,13007
13,8,275,234,85.09,41,14.91,13008
13,9,358,328,91.62,30,8.38,13009
13,10,328,258,78.66,70,21.34,13010
13,11,380,315,82.89,65,17.11,13011
13,12,302,266,88.08,36,11.92,13012
13,13,353,326,92.35,27,7.65,13013
13,14,351,312,88.89,39,11.11,13014
13,15,463,425,91.79,38,8.21,13015
13,16,225,211,93.78,14,6.22,13016
13,17,285,243,85.26,42,14.74,13017
13,18,270,225,83.33,45,16.67,13018
13,20,207,173,83.57,34,16.43,13020
13,21,404,312,77.23,92,22.77,13021
13,22,391,322,82.35,69,17.65,13022
13,23,249,229,91.97,20,8.03,13023
