ward,precinct,total,Dennis Deer,Dennis Deer Percent,precinct_id
1,3,560,560,100.0,01003
1,4,536,536,100.0,01004
1,5,107,107,100.0,01005
1,6,453,453,100.0,01006
1,10,608,608,100.0,01010
1,12,391,391,100.0,01012
1,14,115,115,100.0,01014
1,15,68,68,100.0,01015
1,33,517,517,100.0,01033
1,35,559,559,100.0,01035
1,36,480,480,100.0,01036
1,37,463,463,100.0,01037
1,39,420,420,100.0,01039
1,40,444,444,100.0,01040
2,1,203,203,100.0,02001
2,3,540,540,100.0,02003
2,4,426,426,100.0,02004
2,5,568,568,100.0,02005
2,14,499,499,100.0,02014
2,16,27,27,100.0,02016
2,17,576,576,100.0,02017
2,21,508,508,100.0,02021
3,1,112,112,100.0,03001
3,3,368,368,100.0,03003
3,5,267,267,100.0,03005
3,6,574,574,100.0,03006
3,8,351,351,100.0,03008
3,10,191,191,100.0,03010
3,13,498,498,100.0,03013
3,14,508,508,100.0,03014
3,16,381,381,100.0,03016
3,17,633,633,100.0,03017
3,18,439,439,100.0,03018
3,21,338,338,100.0,03021
3,22,613,613,100.0,03022
3,24,35,35,100.0,03024
3,25,713,713,100.0,03025
3,26,493,493,100.0,03026
3,27,214,214,100.0,03027
3,28,288,288,100.0,03028
3,29,152,152,100.0,03029
3,32,529,529,100.0,03032
3,33,546,546,100.0,03033
3,34,564,564,100.0,03034
3,36,237,237,100.0,03036
3,37,138,138,100.0,03037
3,39,728,728,100.0,03039
3,40,470,470,100.0,03040
4,13,221,221,100.0,04013
6,4,281,281,100.0,06004
6,5,248,248,100.0,06005
6,7,31,31,100.0,06007
6,9,312,312,100.0,06009
6,10,45,45,100.0,06010
6,11,306,306,100.0,06011
6,12,174,174,100.0,06012
6,15,280,280,100.0,06015
6,18,247,247,100.0,06018
6,21,193,193,100.0,06021
6,22,208,208,100.0,06022
6,23,181,181,100.0,06023
6,24,179,179,100.0,06024
6,25,177,177,100.0,06025
6,26,264,264,100.0,06026
6,27,200,200,100.0,06027
6,28,162,162,100.0,06028
6,48,72,72,100.0,06048
11,2,28,28,100.0,11002
11,6,577,577,100.0,11006
11,7,293,293,100.0,11007
15,2,194,194,100.0,15002
15,3,176,176,100.0,15003
15,7,213,213,100.0,15007
15,17,220,220,100.0,15017
15,18,183,183,100.0,15018
15,20,229,229,100.0,15020
15,21,195,195,100.0,15021
15,22,238,238,100.0,15022
15,23,229,229,100.0,15023
15,24,185,185,100.0,15024
16,3,212,212,100.0,16003
16,4,244,244,100.0,16004
16,5,177,177,100.0,16005
16,6,245,245,100.0,16006
16,9,259,259,100.0,16009
16,10,199,199,100.0,16010
16,14,184,184,100.0,16014
16,15,262,262,100.0,16015
16,16,231,231,100.0,16016
16,20,192,192,100.0,16020
16,21,190,190,100.0,16021
16,22,194,194,100.0,16022
16,24,139,139,100.0,16024
16,25,286,286,100.0,16025
16,26,192,192,100.0,16026
16,27,210,210,100.0,16027
16,28,206,206,100.0,16028
16,29,241,241,100.0,16029
16,30,202,202,100.0,16030
16,31,261,261,100.0,16031
16,33,235,235,100.0,16033
16,34,229,229,100.0,16034
16,36,190,190,100.0,16036
17,3,306,306,100.0,17003
17,5,216,216,100.0,17005
17,6,253,253,100.0,17006
17,8,239,239,100.0,17008
17,11,230,230,100.0,17011
17,13,261,261,100.0,17013
17,16,35,35,100.0,17016
17,17,274,274,100.0,17017
17,19,173,173,100.0,17019
17,23,201,201,100.0,17023
17,25,230,230,100.0,17025
17,28,242,242,100.0,17028
17,31,187,187,100.0,17031
17,32,242,242,100.0,17032
17,33,207,207,100.0,17033
17,34,225,225,100.0,17034
17,35,207,207,100.0,17035
17,36,284,284,100.0,17036
17,37,263,263,100.0,17037
17,40,0,0,0.0,17040
18,5,211,211,100.0,18005
18,27,268,268,100.0,18027
18,33,211,211,100.0,18033
18,39,260,260,100.0,18039
18,47,256,256,100.0,18047
18,48,280,280,100.0,18048
18,49,202,202,100.0,18049
18,50,251,251,100.0,18050
20,2,127,127,100.0,20002
20,4,16,16,100.0,20004
20,6,144,144,100.0,20006
20,7,353,353,100.0,20007
20,11,445,445,100.0,20011
20,12,262,262,100.0,20012
20,13,358,358,100.0,20013
20,21,52,52,100.0,20021
20,23,341,341,100.0,20023
20,25,195,195,100.0,20025
20,27,166,166,100.0,20027
20,28,198,198,100.0,20028
20,29,357,357,100.0,20029
20,30,148,148,100.0,20030
20,31,389,389,100.0,20031
20,32,321,321,100.0,20032
20,35,214,214,100.0,20035
20,36,109,109,100.0,20036
20,37,95,95,100.0,20037
20,38,111,111,100.0,20038
20,39,21,21,100.0,20039
22,19,163,163,100.0,22019
22,21,329,329,100.0,22021
24,1,255,255,100.0,24001
24,2,265,265,100.0,24002
24,3,288,288,100.0,24003
24,4,225,225,100.0,24004
24,5,153,153,100.0,24005
24,6,289,289,100.0,24006
24,8,135,135,100.0,24008
24,9,262,262,100.0,24009
24,10,129,129,100.0,24010
24,11,319,319,100.0,24011
24,12,168,168,100.0,24012
24,13,152,152,100.0,24013
24,14,256,256,100.0,24014
24,15,143,143,100.0,24015
24,17,223,223,100.0,24017
24,18,314,314,100.0,24018
24,19,340,340,100.0,24019
24,20,241,241,100.0,24020
24,21,141,141,100.0,24021
24,22,341,341,100.0,24022
24,23,218,218,100.0,24023
24,24,294,294,100.0,24024
24,25,243,243,100.0,24025
24,26,397,397,100.0,24026
24,27,298,298,100.0,24027
24,28,195,195,100.0,24028
24,29,222,222,100.0,24029
24,30,161,161,100.0,24030
24,31,311,311,100.0,24031
24,32,137,137,100.0,24032
24,33,169,169,100.0,24033
24,34,257,257,100.0,24034
24,35,269,269,100.0,24035
24,36,333,333,100.0,24036
24,37,169,169,100.0,24037
24,38,232,232,100.0,24038
24,39,288,288,100.0,24039
24,40,317,317,100.0,24040
24,41,190,190,100.0,24041
25,3,637,637,100.0,25003
25,4,325,325,100.0,25004
25,6,112,112,100.0,25006
25,10,594,594,100.0,25010
25,14,193,193,100.0,25014
25,16,580,580,100.0,25016
25,18,188,188,100.0,25018
25,20,252,252,100.0,25020
25,21,408,408,100.0,25021
25,25,373,373,100.0,25025
25,27,472,472,100.0,25027
25,29,316,316,100.0,25029
25,31,730,730,100.0,25031
27,1,125,125,100.0,27001
27,2,355,355,100.0,27002
27,7,533,533,100.0,27007
27,10,382,382,100.0,27010
27,11,171,171,100.0,27011
27,13,500,500,100.0,27013
27,14,175,175,100.0,27014
27,16,415,415,100.0,27016
27,17,353,353,100.0,27017
27,18,251,251,100.0,27018
27,25,323,323,100.0,27025
27,27,448,448,100.0,27027
27,30,169,169,100.0,27030
27,32,321,321,100.0,27032
27,33,384,384,100.0,27033
27,39,251,251,100.0,27039
27,40,483,483,100.0,27040
27,41,285,285,100.0,27041
27,43,199,199,100.0,27043
27,45,801,801,100.0,27045
27,49,261,261,100.0,27049
27,50,323,323,100.0,27050
28,1,0,0,0.0,28001
28,3,10,10,100.0,28003
28,4,266,266,100.0,28004
28,5,192,192,100.0,28005
28,6,165,165,100.0,28006
28,8,364,364,100.0,28008
28,9,108,108,100.0,28009
28,10,380,380,100.0,28010
28,11,588,588,100.0,28011
