ward,precinct,total,Kelly M. Burke,Kelly M. Burke Percent,precinct_id
17,18,4,4,100.0,17018
18,9,187,187,100.0,18009
18,19,7,7,100.0,18019
18,26,103,103,100.0,18026
18,32,309,309,100.0,18032
18,34,392,392,100.0,18034
19,3,243,243,100.0,19003
19,5,432,432,100.0,19005
19,9,253,253,100.0,19009
19,12,253,253,100.0,19012
19,16,55,55,100.0,19016
19,18,50,50,100.0,19018
19,24,225,225,100.0,19024
19,30,20,20,100.0,19030
19,33,82,82,100.0,19033
19,55,262,262,100.0,19055
19,56,294,294,100.0,19056
21,3,34,34,100.0,21003
21,7,327,327,100.0,21007
21,9,383,383,100.0,21009
21,13,283,283,100.0,21013
21,15,62,62,100.0,21015
21,26,7,7,100.0,21026
21,29,231,231,100.0,21029
