ward,precinct,total,Susana A. Mendoza,Susana A. Mendoza Percent,Darlene Senger,Darlene Senger Percent,Claire Ball,Claire Ball Percent,precinct_id
1,1,588,506,86.05,54,9.18,28,4.76,01001
1,2,473,435,91.97,26,5.5,12,2.54,01002
1,3,639,548,85.76,75,11.74,16,2.5,01003
1,4,629,534,84.9,70,11.13,25,3.97,01004
1,5,656,559,85.21,73,11.13,24,3.66,01005
1,6,550,444,80.73,82,14.91,24,4.36,01006
1,7,407,350,86.0,35,8.6,22,5.41,01007
1,8,511,434,84.93,61,11.94,16,3.13,01008
1,9,458,402,87.77,35,7.64,21,4.59,01009
1,10,733,612,83.49,95,12.96,26,3.55,01010
1,11,665,547,82.26,80,12.03,38,5.71,01011
1,12,660,549,83.18,91,13.79,20,3.03,01012
1,13,256,223,87.11,23,8.98,10,3.91,01013
1,14,533,462,86.68,55,10.32,16,3.0,01014
1,15,513,437,85.19,62,12.09,14,2.73,01015
1,16,666,603,90.54,39,5.86,24,3.6,01016
1,17,480,433,90.21,31,6.46,16,3.33,01017
1,18,530,489,92.26,28,5.28,13,2.45,01018
1,19,642,578,90.03,40,6.23,24,3.74,01019
1,20,442,408,92.31,23,5.2,11,2.49,01020
1,21,771,672,87.16,85,11.02,14,1.82,01021
1,22,361,325,90.03,29,8.03,7,1.94,01022
1,23,767,688,89.7,56,7.3,23,3.0,01023
1,24,477,439,92.03,28,5.87,10,2.1,01024
1,25,559,496,88.73,44,7.87,19,3.4,01025
1,26,350,319,91.14,21,6.0,10,2.86,01026
1,27,608,510,83.88,69,11.35,29,4.77,01027
1,28,150,136,90.67,11,7.33,3,2.0,01028
1,29,673,573,85.14,71,10.55,29,4.31,01029
1,30,597,542,90.79,38,6.37,17,2.85,01030
1,31,525,456,86.86,55,10.48,14,2.67,01031
1,32,548,438,79.93,80,14.6,30,5.47,01032
1,33,659,534,81.03,101,15.33,24,3.64,01033
1,34,448,404,90.18,32,7.14,12,2.68,01034
1,35,693,571,82.4,90,12.99,32,4.62,01035
1,36,589,492,83.53,75,12.73,22,3.74,01036
1,37,583,472,80.96,88,15.09,23,3.95,01037
1,38,539,460,85.34,56,10.39,23,4.27,01038
1,39,498,427,85.74,53,10.64,18,3.61,01039
1,40,555,445,80.18,80,14.41,30,5.41,01040
1,41,331,300,90.63,22,6.65,9,2.72,01041
1,42,182,153,84.07,20,10.99,9,4.95,01042
1,43,350,313,89.43,27,7.71,10,2.86,01043
1,44,501,446,89.02,41,8.18,14,2.79,01044
2,1,647,531,82.07,85,13.14,31,4.79,02001
2,2,457,340,74.4,103,22.54,14,3.06,02002
2,3,662,554,83.69,86,12.99,22,3.32,02003
2,4,513,442,86.16,57,11.11,14,2.73,02004
2,5,685,577,84.23,81,11.82,27,3.94,02005
2,6,552,474,85.87,59,10.69,19,3.44,02006
2,7,550,441,80.18,85,15.45,24,4.36,02007
2,8,674,540,80.12,90,13.35,44,6.53,02008
2,9,536,380,70.9,137,25.56,19,3.54,02009
2,10,494,333,67.41,158,31.98,3,0.61,02010
2,11,633,447,70.62,179,28.28,7,1.11,02011
2,12,542,451,83.21,71,13.1,20,3.69,02012
2,13,508,383,75.39,113,22.24,12,2.36,02013
2,14,612,501,81.86,90,14.71,21,3.43,02014
2,15,556,463,83.27,68,12.23,25,4.5,02015
2,16,518,441,85.14,58,11.2,19,3.67,02016
2,17,682,583,85.48,85,12.46,14,2.05,02017
2,18,565,425,75.22,128,22.65,12,2.12,02018
2,19,443,298,67.27,141,31.83,4,0.9,02019
2,20,653,484,74.12,143,21.9,26,3.98,02020
2,21,603,520,86.24,66,10.95,17,2.82,02021
2,22,630,464,73.65,147,23.33,19,3.02,02022
2,23,415,287,69.16,123,29.64,5,1.2,02023
2,24,541,415,76.71,113,20.89,13,2.4,02024
2,25,616,504,81.82,84,13.64,28,4.55,02025
2,26,531,396,74.58,116,21.85,19,3.58,02026
2,27,540,361,66.85,166,30.74,13,2.41,02027
2,28,652,483,74.08,157,24.08,12,1.84,02028
2,29,652,486,74.54,152,23.31,14,2.15,02029
2,30,489,336,68.71,138,28.22,15,3.07,02030
2,31,674,492,73.0,164,24.33,18,2.67,02031
2,32,449,328,73.05,113,25.17,8,1.78,02032
2,33,857,609,71.06,227,26.49,21,2.45,02033
2,34,470,337,71.7,119,25.32,14,2.98,02034
2,35,745,541,72.62,172,23.09,32,4.3,02035
2,36,647,484,74.81,156,24.11,7,1.08,02036
2,37,534,396,74.16,120,22.47,18,3.37,02037
2,38,539,372,69.02,161,29.87,6,1.11,02038
2,39,410,249,60.73,148,36.1,13,3.17,02039
2,40,783,583,74.46,181,23.12,19,2.43,02040
2,41,591,438,74.11,136,23.01,17,2.88,02041
2,42,642,491,76.48,128,19.94,23,3.58,02042
2,43,778,563,72.37,201,25.84,14,1.8,02043
2,44,363,263,72.45,85,23.42,15,4.13,02044
2,45,667,503,75.41,138,20.69,26,3.9,02045
2,46,325,216,66.46,92,28.31,17,5.23,02046
3,1,644,602,93.48,13,2.02,29,4.5,03001
3,2,597,573,95.98,13,2.18,11,1.84,03002
3,3,446,395,88.57,36,8.07,15,3.36,03003
3,4,536,521,97.2,8,1.49,7,1.31,03004
3,5,312,289,92.63,9,2.88,14,4.49,03005
3,6,736,578,78.53,127,17.26,31,4.21,03006
3,7,325,311,95.69,6,1.85,8,2.46,03007
3,8,416,386,92.79,15,3.61,15,3.61,03008
3,9,507,480,94.67,14,2.76,13,2.56,03009
3,10,233,221,94.85,9,3.86,3,1.29,03010
3,11,510,483,94.71,10,1.96,17,3.33,03011
3,12,501,470,93.81,11,2.2,20,3.99,03012
3,13,628,530,84.39,83,13.22,15,2.39,03013
3,14,600,512,85.33,68,11.33,20,3.33,03014
3,15,466,442,94.85,5,1.07,19,4.08,03015
3,16,430,405,94.19,11,2.56,14,3.26,03016
3,17,737,659,89.42,54,7.33,24,3.26,03017
3,18,737,686,93.08,29,3.93,22,2.99,03018
3,19,641,494,77.07,131,20.44,16,2.5,03019
3,20,525,497,94.67,18,3.43,10,1.9,03020
3,21,609,491,80.62,101,16.58,17,2.79,03021
3,22,741,619,83.54,102,13.77,20,2.7,03022
3,23,442,404,91.4,24,5.43,14,3.17,03023
3,24,420,391,93.1,9,2.14,20,4.76,03024
3,25,945,722,76.4,203,21.48,20,2.12,03025
3,26,624,504,80.77,109,17.47,11,1.76,03026
3,27,711,556,78.2,135,18.99,20,2.81,03027
3,28,330,308,93.33,12,3.64,10,3.03,03028
3,29,493,454,92.09,16,3.25,23,4.67,03029
3,30,433,410,94.69,7,1.62,16,3.7,03030
3,31,547,523,95.61,11,2.01,13,2.38,03031
3,32,659,539,81.79,93,14.11,27,4.1,03032
3,33,664,539,81.17,94,14.16,31,4.67,03033
3,34,703,590,83.93,83,11.81,30,4.27,03034
3,35,237,222,93.67,10,4.22,5,2.11,03035
3,36,265,247,93.21,8,3.02,10,3.77,03036
3,37,445,423,95.06,9,2.02,13,2.92,03037
3,38,409,393,96.09,4,0.98,12,2.93,03038
3,39,894,742,83.0,117,13.09,35,3.91,03039
3,40,556,500,89.93,33,5.94,23,4.14,03040
3,41,353,309,87.54,29,8.22,15,4.25,03041
4,1,797,729,91.47,53,6.65,15,1.88,04001
4,2,709,581,81.95,102,14.39,26,3.67,04002
4,3,419,404,96.42,6,1.43,9,2.15,04003
4,4,707,670,94.77,18,2.55,19,2.69,04004
4,5,517,488,94.39,16,3.09,13,2.51,04005
4,6,622,572,91.96,35,5.63,15,2.41,04006
4,7,615,584,94.96,13,2.11,18,2.93,04007
4,8,562,537,95.55,5,0.89,20,3.56,04008
4,9,593,560,94.44,13,2.19,20,3.37,04009
4,10,653,613,93.87,20,3.06,20,3.06,04010
4,11,546,516,94.51,18,3.3,12,2.2,04011
4,12,598,573,95.82,12,2.01,13,2.17,04012
4,13,677,567,83.75,77,11.37,33,4.87,04013
4,14,542,513,94.65,16,2.95,13,2.4,04014
4,15,647,606,93.66,19,2.94,22,3.4,04015
4,16,930,808,86.88,95,10.22,27,2.9,04016
4,17,710,599,84.37,78,10.99,33,4.65,04017
4,18,509,475,93.32,17,3.34,17,3.34,04018
4,19,405,386,95.31,7,1.73,12,2.96,04019
4,20,516,427,82.75,69,13.37,20,3.88,04020
4,21,766,667,87.08,70,9.14,29,3.79,04021
4,22,548,508,92.7,31,5.66,9,1.64,04022
4,23,717,684,95.4,18,2.51,15,2.09,04023
4,24,497,461,92.76,26,5.23,10,2.01,04024
4,25,642,526,81.93,95,14.8,21,3.27,04025
4,26,506,482,95.26,6,1.19,18,3.56,04026
4,27,703,664,94.45,20,2.84,19,2.7,04027
4,28,445,412,92.58,24,5.39,9,2.02,04028
4,29,451,435,96.45,5,1.11,11,2.44,04029
4,30,713,669,93.83,21,2.95,23,3.23,04030
4,31,553,515,93.13,21,3.8,17,3.07,04031
4,32,588,540,91.84,23,3.91,25,4.25,04032
4,33,542,500,92.25,19,3.51,23,4.24,04033
4,34,459,420,91.5,20,4.36,19,4.14,04034
4,35,613,583,95.11,14,2.28,16,2.61,04035
4,36,607,575,94.73,19,3.13,13,2.14,04036
4,37,1025,859,83.8,124,12.1,42,4.1,04037
4,38,561,524,93.4,17,3.03,20,3.57,04038
5,1,407,389,95.58,10,2.46,8,1.97,05001
5,2,342,331,96.78,7,2.05,4,1.17,05002
5,3,583,539,92.45,32,5.49,12,2.06,05003
5,4,690,647,93.77,26,3.77,17,2.46,05004
5,5,452,423,93.58,13,2.88,16,3.54,05005
5,6,388,357,92.01,15,3.87,16,4.12,05006
5,7,530,490,92.45,20,3.77,20,3.77,05007
5,8,544,506,93.01,32,5.88,6,1.1,05008
5,9,619,588,94.99,16,2.58,15,2.42,05009
5,10,390,363,93.08,8,2.05,19,4.87,05010
5,11,553,513,92.77,26,4.7,14,2.53,05011
5,12,325,306,94.15,11,3.38,8,2.46,05012
5,13,414,389,93.96,10,2.42,15,3.62,05013
5,14,390,373,95.64,5,1.28,12,3.08,05014
5,15,478,433,90.59,30,6.28,15,3.14,05015
5,16,463,445,96.11,5,1.08,13,2.81,05016
5,17,410,387,94.39,11,2.68,12,2.93,05017
5,18,495,461,93.13,18,3.64,16,3.23,05018
5,19,490,462,94.29,20,4.08,8,1.63,05019
5,20,588,546,92.86,25,4.25,17,2.89,05020
5,21,560,525,93.75,20,3.57,15,2.68,05021
5,22,585,540,92.31,39,6.67,6,1.03,05022
5,23,902,824,91.35,52,5.76,26,2.88,05023
5,24,577,539,93.41,27,4.68,11,1.91,05024
5,25,450,433,96.22,7,1.56,10,2.22,05025
5,26,490,463,94.49,15,3.06,12,2.45,05026
5,27,619,552,89.18,50,8.08,17,2.75,05027
5,28,529,487,92.06,19,3.59,23,4.35,05028
5,29,503,468,93.04,18,3.58,17,3.38,05029
5,30,329,308,93.62,8,2.43,13,3.95,05030
5,31,380,362,95.26,9,2.37,9,2.37,05031
5,32,601,567,94.34,17,2.83,17,2.83,05032
5,33,536,509,94.96,8,1.49,19,3.54,05033
5,34,609,557,91.46,40,6.57,12,1.97,05034
5,35,623,574,92.13,30,4.82,19,3.05,05035
5,36,288,265,92.01,11,3.82,12,4.17,05036
5,37,572,526,91.96,32,5.59,14,2.45,05037
5,38,434,414,95.39,7,1.61,13,3.0,05038
5,39,425,389,91.53,24,5.65,12,2.82,05039
5,40,338,316,93.49,7,2.07,15,4.44,05040
5,41,295,279,94.58,12,4.07,4,1.36,05041
6,1,444,429,96.62,5,1.13,10,2.25,06001
6,2,422,401,95.02,5,1.18,16,3.79,06002
6,3,440,422,95.91,11,2.5,7,1.59,06003
6,4,317,300,94.64,8,2.52,9,2.84,06004
6,5,272,263,96.69,5,1.84,4,1.47,06005
6,6,432,406,93.98,11,2.55,15,3.47,06006
6,7,364,343,94.23,10,2.75,11,3.02,06007
6,8,388,367,94.59,7,1.8,14,3.61,06008
