ward,precinct,total,Robert Martwick,Robert Martwick Percent,Ammie Kessem,Ammie Kessem Percent,precinct_id
29,29,354,224,63.28,130,36.72,29029
29,31,162,96,59.26,66,40.74,29031
29,32,404,225,55.69,179,44.31,29032
38,1,390,276,70.77,114,29.23,38001
38,3,413,243,58.84,170,41.16,38003
38,5,426,265,62.21,161,37.79,38005
38,6,413,222,53.75,191,46.25,38006
38,7,271,134,49.45,137,50.55,38007
38,9,469,243,51.81,226,48.19,38009
38,11,366,244,66.67,122,33.33,38011
38,13,444,258,58.11,186,41.89,38013
38,14,453,286,63.13,167,36.87,38014
38,15,377,265,70.29,112,29.71,38015
38,17,455,240,52.75,215,47.25,38017
38,18,473,274,57.93,199,42.07,38018
38,19,486,299,61.52,187,38.48,38019
38,21,147,99,67.35,48,32.65,38021
38,22,415,287,69.16,128,30.84,38022
38,24,458,227,49.56,231,50.44,38024
38,25,377,247,65.52,130,34.48,38025
38,26,437,286,65.45,151,34.55,38026
38,27,419,247,58.95,172,41.05,38027
38,29,411,273,66.42,138,33.58,38029
38,30,420,224,53.33,196,46.67,38030
38,31,426,284,66.67,142,33.33,38031
38,32,422,286,67.77,136,32.23,38032
38,33,409,289,70.66,120,29.34,38033
38,36,392,282,71.94,110,28.06,38036
38,38,408,257,62.99,151,37.01,38038
38,40,437,303,69.34,134,30.66,38040
38,41,398,315,79.15,83,20.85,38041
39,20,561,318,56.68,243,43.32,39020
39,21,426,229,53.76,197,46.24,39021
39,23,479,251,52.4,228,47.6,39023
39,24,579,305,52.68,274,47.32,39024
39,41,3,2,66.67,1,33.33,39041
41,3,199,114,57.29,85,42.71,41003
41,12,464,242,52.16,222,47.84,41012
41,24,411,168,40.88,243,59.12,41024
41,30,486,237,48.77,249,51.23,41030
41,38,447,219,48.99,228,51.01,41038
45,12,441,331,75.06,110,24.94,45012
45,13,402,288,71.64,114,28.36,45013
45,14,583,435,74.61,148,25.39,45014
45,15,561,440,78.43,121,21.57,45015
45,16,405,302,74.57,103,25.43,45016
45,17,532,375,70.49,157,29.51,45017
45,18,482,305,63.28,177,36.72,45018
45,19,245,181,73.88,64,26.12,45019
45,20,332,233,70.18,99,29.82,45020
45,21,424,259,61.08,165,38.92,45021
45,22,419,285,68.02,134,31.98,45022
45,23,406,244,60.1,162,39.9,45023
45,24,366,211,57.65,155,42.35,45024
45,25,292,168,57.53,124,42.47,45025
45,26,251,120,47.81,131,52.19,45026
45,27,451,254,56.32,197,43.68,45027
45,28,366,251,68.58,115,31.42,45028
45,29,302,182,60.26,120,39.74,45029
45,30,383,306,79.9,77,20.1,45030
45,31,371,269,72.51,102,27.49,45031
45,32,291,208,71.48,83,28.52,45032
45,33,341,252,73.9,89,26.1,45033
45,34,453,307,67.77,146,32.23,45034
45,35,491,320,65.17,171,34.83,45035
45,36,480,290,60.42,190,39.58,45036
45,37,446,282,63.23,164,36.77,45037
45,38,415,250,60.24,165,39.76,45038
45,39,443,275,62.08,168,37.92,45039
45,40,438,239,54.57,199,45.43,45040
45,41,418,220,52.63,198,47.37,45041
45,42,426,203,47.65,223,52.35,45042
45,43,447,233,52.13,214,47.87,45043
45,44,443,229,51.69,214,48.31,45044
45,45,312,147,47.12,165,52.88,45045
45,46,334,180,53.89,154,46.11,45046
45,47,324,165,50.93,159,49.07,45047
45,48,383,166,43.34,217,56.66,45048
