ward,precinct,total,Frances Ann Hurley,Frances Ann Hurley Percent,Herbert Hebein,Herbert Hebein Percent,precinct_id
19,1,402,314,78.11,88,21.89,19001
19,2,600,548,91.33,52,8.67,19002
19,4,486,340,69.96,146,30.04,19004
19,6,454,306,67.4,148,32.6,19006
19,7,399,331,82.96,68,17.04,19007
19,8,487,316,64.89,171,35.11,19008
19,10,530,463,87.36,67,12.64,19010
19,11,420,289,68.81,131,31.19,19011
19,13,498,485,97.39,13,2.61,19013
19,15,538,356,66.17,182,33.83,19015
19,16,381,254,66.67,127,33.33,19016
19,17,391,290,74.17,101,25.83,19017
19,18,354,302,85.31,52,14.69,19018
19,19,562,491,87.37,71,12.63,19019
19,21,406,267,65.76,139,34.24,19021
19,22,477,403,84.49,74,15.51,19022
19,23,448,340,75.89,108,24.11,19023
19,24,15,10,66.67,5,33.33,19024
19,25,429,338,78.79,91,21.21,19025
19,26,454,365,80.4,89,19.6,19026
19,27,446,408,91.48,38,8.52,19027
19,28,481,466,96.88,15,3.12,19028
19,29,446,280,62.78,166,37.22,19029
19,30,377,246,65.25,131,34.75,19030
19,32,405,316,78.02,89,21.98,19032
19,33,347,216,62.25,131,37.75,19033
19,34,401,335,83.54,66,16.46,19034
19,35,398,336,84.42,62,15.58,19035
19,36,596,557,93.46,39,6.54,19036
19,37,424,396,93.4,28,6.6,19037
19,38,380,351,92.37,29,7.63,19038
19,39,163,149,91.41,14,8.59,19039
19,41,406,265,65.27,141,34.73,19041
19,44,486,325,66.87,161,33.13,19044
19,45,437,333,76.2,104,23.8,19045
19,46,457,345,75.49,112,24.51,19046
19,50,369,293,79.4,76,20.6,19050
19,51,482,387,80.29,95,19.71,19051
19,52,458,278,60.7,180,39.3,19052
19,53,398,331,83.17,67,16.83,19053
19,54,365,224,61.37,141,38.63,19054
19,56,141,114,80.85,27,19.15,19056
19,57,358,318,88.83,40,11.17,19057
21,1,404,396,98.02,8,1.98,21001
21,3,360,349,96.94,11,3.06,21003
21,8,373,363,97.32,10,2.68,21008
21,14,372,366,98.39,6,1.61,21014
21,16,333,322,96.7,11,3.3,21016
21,18,396,388,97.98,8,2.02,21018
21,22,86,85,98.84,1,1.16,21022
21,29,166,162,97.59,4,2.41,21029
21,32,330,328,99.39,2,0.61,21032
21,36,76,75,98.68,1,1.32,21036
21,42,166,161,96.99,5,3.01,21042
21,48,144,139,96.53,5,3.47,21048
34,49,55,53,96.36,2,3.64,34049
