ward,precinct,total,"Emil Jones, III","Emil Jones, III Percent",precinct_id
9,1,216,216,100.0,09001
9,2,313,313,100.0,09002
9,4,194,194,100.0,09004
9,5,344,344,100.0,09005
9,6,334,334,100.0,09006
9,9,71,71,100.0,09009
9,10,291,291,100.0,09010
9,13,87,87,100.0,09013
9,14,434,434,100.0,09014
9,17,231,231,100.0,09017
9,19,336,336,100.0,09019
9,20,347,347,100.0,09020
9,21,304,304,100.0,09021
9,22,338,338,100.0,09022
9,27,310,310,100.0,09027
9,29,323,323,100.0,09029
9,30,272,272,100.0,09030
9,31,212,212,100.0,09031
9,32,351,351,100.0,09032
9,34,252,252,100.0,09034
9,35,356,356,100.0,09035
9,38,121,121,100.0,09038
9,39,383,383,100.0,09039
9,40,380,380,100.0,09040
9,43,149,149,100.0,09043
9,44,59,59,100.0,09044
19,14,437,437,100.0,19014
19,20,342,342,100.0,19020
19,31,306,306,100.0,19031
19,40,372,372,100.0,19040
19,42,318,318,100.0,19042
19,43,563,563,100.0,19043
19,47,560,560,100.0,19047
19,48,479,479,100.0,19048
19,49,477,477,100.0,19049
21,2,94,94,100.0,21002
21,5,399,399,100.0,21005
21,6,297,297,100.0,21006
21,10,323,323,100.0,21010
21,11,325,325,100.0,21011
21,12,333,333,100.0,21012
21,17,280,280,100.0,21017
21,19,363,363,100.0,21019
21,20,76,76,100.0,21020
21,21,294,294,100.0,21021
21,22,228,228,100.0,21022
21,23,316,316,100.0,21023
21,24,364,364,100.0,21024
21,25,307,307,100.0,21025
21,27,357,357,100.0,21027
21,33,319,319,100.0,21033
21,34,157,157,100.0,21034
21,35,417,417,100.0,21035
21,36,253,253,100.0,21036
21,37,264,264,100.0,21037
21,38,337,337,100.0,21038
21,39,301,301,100.0,21039
21,40,334,334,100.0,21040
21,41,369,369,100.0,21041
21,42,233,233,100.0,21042
21,43,6,6,100.0,21043
21,44,245,245,100.0,21044
21,45,333,333,100.0,21045
21,46,395,395,100.0,21046
21,48,206,206,100.0,21048
21,49,395,395,100.0,21049
21,50,287,287,100.0,21050
21,52,27,27,100.0,21052
34,1,402,402,100.0,34001
34,2,306,306,100.0,34002
34,3,371,371,100.0,34003
34,4,270,270,100.0,34004
34,5,324,324,100.0,34005
34,6,423,423,100.0,34006
34,7,412,412,100.0,34007
34,8,297,297,100.0,34008
34,9,240,240,100.0,34009
34,10,353,353,100.0,34010
34,11,318,318,100.0,34011
34,12,406,406,100.0,34012
34,13,362,362,100.0,34013
34,14,281,281,100.0,34014
34,15,327,327,100.0,34015
34,16,307,307,100.0,34016
34,17,467,467,100.0,34017
34,18,272,272,100.0,34018
34,19,397,397,100.0,34019
34,20,418,418,100.0,34020
34,21,437,437,100.0,34021
34,22,370,370,100.0,34022
34,23,290,290,100.0,34023
34,24,320,320,100.0,34024
34,25,540,540,100.0,34025
34,26,386,386,100.0,34026
34,27,309,309,100.0,34027
34,28,237,237,100.0,34028
34,29,285,285,100.0,34029
34,30,362,362,100.0,34030
34,31,308,308,100.0,34031
34,32,365,365,100.0,34032
34,33,293,293,100.0,34033
34,34,381,381,100.0,34034
34,35,406,406,100.0,34035
34,36,324,324,100.0,34036
34,37,214,214,100.0,34037
34,38,172,172,100.0,34038
34,39,256,256,100.0,34039
34,40,404,404,100.0,34040
34,41,223,223,100.0,34041
34,42,361,361,100.0,34042
34,43,337,337,100.0,34043
34,44,374,374,100.0,34044
34,45,391,391,100.0,34045
34,46,250,250,100.0,34046
34,47,349,349,100.0,34047
34,48,387,387,100.0,34048
34,49,293,293,100.0,34049
34,50,292,292,100.0,34050
34,51,384,384,100.0,34051
34,52,275,275,100.0,34052
34,53,228,228,100.0,34053
