ward,precinct,total,Bill Cunningham,Bill Cunningham Percent,precinct_id
17,18,4,4,100.0,17018
18,9,191,191,100.0,18009
18,19,8,8,100.0,18019
18,26,105,105,100.0,18026
18,32,331,331,100.0,18032
18,34,401,401,100.0,18034
19,1,329,329,100.0,19001
19,2,551,551,100.0,19002
19,3,249,249,100.0,19003
19,4,381,381,100.0,19004
19,5,434,434,100.0,19005
19,6,335,335,100.0,19006
19,7,339,339,100.0,19007
19,8,346,346,100.0,19008
19,9,243,243,100.0,19009
19,10,468,468,100.0,19010
19,11,293,293,100.0,19011
19,12,263,263,100.0,19012
19,13,495,495,100.0,19013
19,15,414,414,100.0,19015
19,16,347,347,100.0,19016
19,17,324,324,100.0,19017
19,18,365,365,100.0,19018
19,19,513,513,100.0,19019
19,21,297,297,100.0,19021
19,22,434,434,100.0,19022
19,23,364,364,100.0,19023
19,24,242,242,100.0,19024
19,25,359,359,100.0,19025
19,26,389,389,100.0,19026
19,27,416,416,100.0,19027
19,28,468,468,100.0,19028
19,29,323,323,100.0,19029
19,30,313,313,100.0,19030
19,32,336,336,100.0,19032
19,33,343,343,100.0,19033
19,34,356,356,100.0,19034
19,35,363,363,100.0,19035
19,36,554,554,100.0,19036
19,37,391,391,100.0,19037
19,38,350,350,100.0,19038
19,39,159,159,100.0,19039
19,41,294,294,100.0,19041
19,44,358,358,100.0,19044
19,45,367,367,100.0,19045
19,46,372,372,100.0,19046
19,50,311,311,100.0,19050
19,51,412,412,100.0,19051
19,52,346,346,100.0,19052
19,53,345,345,100.0,19053
19,54,251,251,100.0,19054
19,55,271,271,100.0,19055
19,56,420,420,100.0,19056
19,57,324,324,100.0,19057
21,1,395,395,100.0,21001
21,3,383,383,100.0,21003
21,7,344,344,100.0,21007
21,8,359,359,100.0,21008
21,9,389,389,100.0,21009
21,13,299,299,100.0,21013
21,14,362,362,100.0,21014
21,15,69,69,100.0,21015
21,16,333,333,100.0,21016
21,18,385,385,100.0,21018
21,22,83,83,100.0,21022
21,26,9,9,100.0,21026
21,29,409,409,100.0,21029
21,32,312,312,100.0,21032
21,36,76,76,100.0,21036
21,42,164,164,100.0,21042
21,48,141,141,100.0,21048
34,49,51,51,100.0,34049
