ward,precinct,total,Martin J. Moylan,Martin J. Moylan Percent,Marilyn Smolenski,Marilyn Smolenski Percent,precinct_id
41,28,465,311,66.88,154,33.12,41028
41,29,321,200,62.31,121,37.69,41029
41,42,8,2,25.0,6,75.0,41042
