ward,precinct,total,"Larry Rogers, Jr.","Larry Rogers, Jr. Percent",precinct_id
2,10,225,225,100.0,02010
3,1,589,589,100.0,03001
3,2,554,554,100.0,03002
3,3,381,381,100.0,03003
3,4,498,498,100.0,03004
3,5,282,282,100.0,03005
3,6,577,577,100.0,03006
3,7,290,290,100.0,03007
3,8,357,357,100.0,03008
3,9,459,459,100.0,03009
3,10,205,205,100.0,03010
3,11,469,469,100.0,03011
3,12,468,468,100.0,03012
3,13,502,502,100.0,03013
3,14,508,508,100.0,03014
3,15,414,414,100.0,03015
3,16,403,403,100.0,03016
3,17,629,629,100.0,03017
3,18,665,665,100.0,03018
3,19,497,497,100.0,03019
3,20,483,483,100.0,03020
3,21,494,494,100.0,03021
3,22,603,603,100.0,03022
3,23,386,386,100.0,03023
3,24,381,381,100.0,03024
3,25,728,728,100.0,03025
3,26,485,485,100.0,03026
3,27,571,571,100.0,03027
3,28,287,287,100.0,03028
3,29,427,427,100.0,03029
3,30,394,394,100.0,03030
3,31,501,501,100.0,03031
3,32,540,540,100.0,03032
3,33,546,546,100.0,03033
3,34,565,565,100.0,03034
3,35,224,224,100.0,03035
3,36,241,241,100.0,03036
3,37,413,413,100.0,03037
3,38,372,372,100.0,03038
3,39,727,727,100.0,03039
3,40,475,475,100.0,03040
3,41,305,305,100.0,03041
4,1,705,705,100.0,04001
4,2,605,605,100.0,04002
4,3,377,377,100.0,04003
4,4,635,635,100.0,04004
4,5,474,474,100.0,04005
4,6,559,559,100.0,04006
4,7,576,576,100.0,04007
4,8,520,520,100.0,04008
4,9,552,552,100.0,04009
4,10,609,609,100.0,04010
4,11,491,491,100.0,04011
4,12,560,560,100.0,04012
4,13,582,582,100.0,04013
4,14,501,501,100.0,04014
4,15,599,599,100.0,04015
4,16,796,796,100.0,04016
4,17,603,603,100.0,04017
4,18,459,459,100.0,04018
4,19,351,351,100.0,04019
4,20,409,409,100.0,04020
4,21,667,667,100.0,04021
4,22,480,480,100.0,04022
4,23,649,649,100.0,04023
4,24,438,438,100.0,04024
4,25,521,521,100.0,04025
4,26,469,469,100.0,04026
4,27,637,637,100.0,04027
4,28,406,406,100.0,04028
4,29,408,408,100.0,04029
4,30,649,649,100.0,04030
4,31,508,508,100.0,04031
4,32,537,537,100.0,04032
4,33,481,481,100.0,04033
4,34,413,413,100.0,04034
4,35,581,581,100.0,04035
4,36,551,551,100.0,04036
4,37,861,861,100.0,04037
4,38,527,527,100.0,04038
5,1,369,369,100.0,05001
5,2,308,308,100.0,05002
5,3,481,481,100.0,05003
5,4,627,627,100.0,05004
5,5,403,403,100.0,05005
5,6,357,357,100.0,05006
5,7,487,487,100.0,05007
5,8,457,457,100.0,05008
5,9,565,565,100.0,05009
5,10,340,340,100.0,05010
5,11,476,476,100.0,05011
5,12,286,286,100.0,05012
5,13,383,383,100.0,05013
5,14,355,355,100.0,05014
5,15,422,422,100.0,05015
5,16,399,399,100.0,05016
5,17,369,369,100.0,05017
5,18,436,436,100.0,05018
5,19,434,434,100.0,05019
5,20,539,539,100.0,05020
5,21,499,499,100.0,05021
5,22,507,507,100.0,05022
5,23,771,771,100.0,05023
5,24,498,498,100.0,05024
5,25,415,415,100.0,05025
5,26,442,442,100.0,05026
5,27,502,502,100.0,05027
5,28,480,480,100.0,05028
5,29,461,461,100.0,05029
5,30,294,294,100.0,05030
5,31,347,347,100.0,05031
5,32,565,565,100.0,05032
5,33,486,486,100.0,05033
5,34,512,512,100.0,05034
5,35,536,536,100.0,05035
5,36,252,252,100.0,05036
5,37,492,492,100.0,05037
5,38,390,390,100.0,05038
5,39,351,351,100.0,05039
5,40,318,318,100.0,05040
5,41,259,259,100.0,05041
6,1,407,407,100.0,06001
6,2,389,389,100.0,06002
6,3,395,395,100.0,06003
