ward,precinct,total,Andrea Michelle Webber,Andrea Michelle Webber Percent,precinct_id
1,1,475,475,100.0,01001
1,2,377,377,100.0,01002
1,3,511,511,100.0,01003
1,4,491,491,100.0,01004
1,5,511,511,100.0,01005
1,6,431,431,100.0,01006
1,7,321,321,100.0,01007
1,8,358,358,100.0,01008
1,9,310,310,100.0,01009
1,10,569,569,100.0,01010
1,11,544,544,100.0,01011
1,12,500,500,100.0,01012
1,13,204,204,100.0,01013
1,14,400,400,100.0,01014
1,15,378,378,100.0,01015
1,16,536,536,100.0,01016
1,17,376,376,100.0,01017
1,18,411,411,100.0,01018
1,19,488,488,100.0,01019
1,20,360,360,100.0,01020
1,21,596,596,100.0,01021
1,22,291,291,100.0,01022
1,23,610,610,100.0,01023
1,24,365,365,100.0,01024
1,25,425,425,100.0,01025
1,26,272,272,100.0,01026
1,27,474,474,100.0,01027
1,28,81,81,100.0,01028
1,29,538,538,100.0,01029
1,30,442,442,100.0,01030
1,31,369,369,100.0,01031
1,32,409,409,100.0,01032
1,33,487,487,100.0,01033
1,34,348,348,100.0,01034
1,35,514,514,100.0,01035
1,36,447,447,100.0,01036
1,37,439,439,100.0,01037
1,38,393,393,100.0,01038
1,39,373,373,100.0,01039
1,40,387,387,100.0,01040
1,41,259,259,100.0,01041
1,42,147,147,100.0,01042
1,43,272,272,100.0,01043
1,44,401,401,100.0,01044
2,1,504,504,100.0,02001
2,3,495,495,100.0,02003
2,4,394,394,100.0,02004
2,5,522,522,100.0,02005
2,6,452,452,100.0,02006
2,7,388,388,100.0,02007
2,8,509,509,100.0,02008
2,14,473,473,100.0,02014
2,15,426,426,100.0,02015
2,16,404,404,100.0,02016
2,17,540,540,100.0,02017
2,20,5,5,100.0,02020
2,21,461,461,100.0,02021
2,25,466,466,100.0,02025
26,1,315,315,100.0,26001
26,2,78,78,100.0,26002
26,3,351,351,100.0,26003
26,4,178,178,100.0,26004
26,5,257,257,100.0,26005
26,6,239,239,100.0,26006
26,7,312,312,100.0,26007
26,8,137,137,100.0,26008
26,9,192,192,100.0,26009
26,10,69,69,100.0,26010
26,11,246,246,100.0,26011
26,12,303,303,100.0,26012
26,13,134,134,100.0,26013
26,14,218,218,100.0,26014
26,15,162,162,100.0,26015
26,16,147,147,100.0,26016
26,18,186,186,100.0,26018
