ward,precinct,total,Preston Jones Jr.,Preston Jones Jr. Percent,precinct_id
1,1,491,491,100.0,01001
1,2,402,402,100.0,01002
1,3,545,545,100.0,01003
1,4,514,514,100.0,01004
1,5,534,534,100.0,01005
1,6,445,445,100.0,01006
1,7,339,339,100.0,01007
1,8,389,389,100.0,01008
1,9,329,329,100.0,01009
1,10,595,595,100.0,01010
1,11,558,558,100.0,01011
1,12,512,512,100.0,01012
1,13,212,212,100.0,01013
1,14,416,416,100.0,01014
1,15,406,406,100.0,01015
1,16,561,561,100.0,01016
1,17,391,391,100.0,01017
1,18,441,441,100.0,01018
1,19,497,497,100.0,01019
1,20,373,373,100.0,01020
1,21,631,631,100.0,01021
1,22,295,295,100.0,01022
1,23,631,631,100.0,01023
1,24,394,394,100.0,01024
1,25,443,443,100.0,01025
1,26,281,281,100.0,01026
1,27,498,498,100.0,01027
1,28,105,105,100.0,01028
1,29,566,566,100.0,01029
1,30,484,484,100.0,01030
1,31,400,400,100.0,01031
1,32,434,434,100.0,01032
1,33,502,502,100.0,01033
1,34,362,362,100.0,01034
1,35,535,535,100.0,01035
1,36,475,475,100.0,01036
1,37,450,450,100.0,01037
1,38,415,415,100.0,01038
1,39,401,401,100.0,01039
1,40,408,408,100.0,01040
1,41,271,271,100.0,01041
1,42,150,150,100.0,01042
1,43,290,290,100.0,01043
1,44,411,411,100.0,01044
2,1,527,527,100.0,02001
2,2,321,321,100.0,02002
2,3,529,529,100.0,02003
2,4,411,411,100.0,02004
2,5,549,549,100.0,02005
2,6,466,466,100.0,02006
2,7,419,419,100.0,02007
2,8,540,540,100.0,02008
2,9,379,379,100.0,02009
2,10,309,309,100.0,02010
2,11,445,445,100.0,02011
2,12,410,410,100.0,02012
2,13,363,363,100.0,02013
2,14,483,483,100.0,02014
2,15,440,440,100.0,02015
2,16,415,415,100.0,02016
2,17,551,551,100.0,02017
2,18,410,410,100.0,02018
2,19,270,270,100.0,02019
2,20,494,494,100.0,02020
2,21,487,487,100.0,02021
2,22,436,436,100.0,02022
2,23,271,271,100.0,02023
2,24,387,387,100.0,02024
2,25,481,481,100.0,02025
2,26,366,366,100.0,02026
2,27,358,358,100.0,02027
2,28,473,473,100.0,02028
2,29,484,484,100.0,02029
2,30,363,363,100.0,02030
2,31,477,477,100.0,02031
2,32,343,343,100.0,02032
2,33,589,589,100.0,02033
2,34,313,313,100.0,02034
2,35,552,552,100.0,02035
2,36,473,473,100.0,02036
2,37,409,409,100.0,02037
2,38,358,358,100.0,02038
2,39,248,248,100.0,02039
2,40,625,625,100.0,02040
2,41,450,450,100.0,02041
2,42,493,493,100.0,02042
2,43,587,587,100.0,02043
2,44,262,262,100.0,02044
2,45,497,497,100.0,02045
2,46,216,216,100.0,02046
3,1,538,538,100.0,03001
3,2,524,524,100.0,03002
3,3,345,345,100.0,03003
3,4,475,475,100.0,03004
3,5,259,259,100.0,03005
3,6,558,558,100.0,03006
3,7,284,284,100.0,03007
3,8,338,338,100.0,03008
3,9,426,426,100.0,03009
3,10,197,197,100.0,03010
3,11,447,447,100.0,03011
3,12,433,433,100.0,03012
3,13,471,471,100.0,03013
3,14,493,493,100.0,03014
3,15,391,391,100.0,03015
3,16,376,376,100.0,03016
3,17,596,596,100.0,03017
3,18,631,631,100.0,03018
3,19,461,461,100.0,03019
3,20,448,448,100.0,03020
3,21,460,460,100.0,03021
3,22,579,579,100.0,03022
3,23,363,363,100.0,03023
3,24,356,356,100.0,03024
3,25,681,681,100.0,03025
3,26,466,466,100.0,03026
3,27,553,553,100.0,03027
3,28,279,279,100.0,03028
3,29,390,390,100.0,03029
3,30,367,367,100.0,03030
3,31,472,472,100.0,03031
3,32,520,520,100.0,03032
3,33,536,536,100.0,03033
3,34,547,547,100.0,03034
3,35,208,208,100.0,03035
3,36,235,235,100.0,03036
3,37,390,390,100.0,03037
3,38,355,355,100.0,03038
3,39,713,713,100.0,03039
3,40,458,458,100.0,03040
3,41,301,301,100.0,03041
4,1,696,696,100.0,04001
4,2,583,583,100.0,04002
4,3,355,355,100.0,04003
4,4,585,585,100.0,04004
4,5,443,443,100.0,04005
4,6,521,521,100.0,04006
4,7,536,536,100.0,04007
4,8,494,494,100.0,04008
4,9,511,511,100.0,04009
4,10,575,575,100.0,04010
4,11,451,451,100.0,04011
4,12,535,535,100.0,04012
4,13,565,565,100.0,04013
4,14,474,474,100.0,04014
4,15,568,568,100.0,04015
4,16,777,777,100.0,04016
4,17,587,587,100.0,04017
4,18,428,428,100.0,04018
4,19,329,329,100.0,04019
4,20,387,387,100.0,04020
4,21,648,648,100.0,04021
4,22,461,461,100.0,04022
4,23,628,628,100.0,04023
4,24,420,420,100.0,04024
4,25,502,502,100.0,04025
4,26,436,436,100.0,04026
4,27,595,595,100.0,04027
4,28,375,375,100.0,04028
4,29,383,383,100.0,04029
4,30,610,610,100.0,04030
4,31,475,475,100.0,04031
4,32,528,528,100.0,04032
4,33,461,461,100.0,04033
4,34,401,401,100.0,04034
4,35,556,556,100.0,04035
4,36,526,526,100.0,04036
4,37,833,833,100.0,04037
4,38,508,508,100.0,04038
5,1,348,348,100.0,05001
5,2,293,293,100.0,05002
5,3,463,463,100.0,05003
5,4,595,595,100.0,05004
5,5,381,381,100.0,05005
5,6,327,327,100.0,05006
5,7,471,471,100.0,05007
5,8,449,449,100.0,05008
5,9,538,538,100.0,05009
5,10,320,320,100.0,05010
5,11,461,461,100.0,05011
5,12,266,266,100.0,05012
5,13,363,363,100.0,05013
5,14,343,343,100.0,05014
5,15,401,401,100.0,05015
5,16,389,389,100.0,05016
5,17,333,333,100.0,05017
5,18,417,417,100.0,05018
5,19,418,418,100.0,05019
5,20,536,536,100.0,05020
5,21,486,486,100.0,05021
5,22,497,497,100.0,05022
5,23,748,748,100.0,05023
5,24,480,480,100.0,05024
5,25,401,401,100.0,05025
5,26,406,406,100.0,05026
5,27,491,491,100.0,05027
5,28,442,442,100.0,05028
5,29,435,435,100.0,05029
5,30,280,280,100.0,05030
5,31,318,318,100.0,05031
5,32,527,527,100.0,05032
5,33,447,447,100.0,05033
5,34,510,510,100.0,05034
5,35,526,526,100.0,05035
5,36,232,232,100.0,05036
5,37,472,472,100.0,05037
5,38,355,355,100.0,05038
5,39,347,347,100.0,05039
5,40,297,297,100.0,05040
5,41,245,245,100.0,05041
6,1,384,384,100.0,06001
6,2,370,370,100.0,06002
6,3,385,385,100.0,06003
6,4,273,273,100.0,06004
6,5,248,248,100.0,06005
6,6,368,368,100.0,06006
6,7,314,314,100.0,06007
6,8,346,346,100.0,06008
6,9,306,306,100.0,06009
6,10,211,211,100.0,06010
6,11,301,301,100.0,06011
6,12,254,254,100.0,06012
6,13,275,275,100.0,06013
6,14,322,322,100.0,06014
6,15,285,285,100.0,06015
6,16,357,357,100.0,06016
6,17,228,228,100.0,06017
6,18,239,239,100.0,06018
6,19,308,308,100.0,06019
6,20,195,195,100.0,06020
6,21,178,178,100.0,06021
6,22,200,200,100.0,06022
6,23,175,175,100.0,06023
6,24,172,172,100.0,06024
6,25,186,186,100.0,06025
6,26,253,253,100.0,06026
6,27,186,186,100.0,06027
6,28,169,169,100.0,06028
6,29,379,379,100.0,06029
6,30,266,266,100.0,06030
6,31,367,367,100.0,06031
