ward,precinct,total,Stanley S. Moore,Stanley S. Moore Percent,precinct_id
6,1,404,404,100.0,06001
6,2,380,380,100.0,06002
6,3,398,398,100.0,06003
6,8,357,357,100.0,06008
6,13,276,276,100.0,06013
6,14,331,331,100.0,06014
6,16,181,181,100.0,06016
6,19,51,51,100.0,06019
6,29,381,381,100.0,06029
6,31,373,373,100.0,06031
6,34,372,372,100.0,06034
6,35,336,336,100.0,06035
6,36,422,422,100.0,06036
6,37,376,376,100.0,06037
6,38,378,378,100.0,06038
6,41,363,363,100.0,06041
6,42,354,354,100.0,06042
6,43,137,137,100.0,06043
6,44,346,346,100.0,06044
6,45,373,373,100.0,06045
6,46,245,245,100.0,06046
7,1,324,324,100.0,07001
7,2,331,331,100.0,07002
7,3,372,372,100.0,07003
7,4,348,348,100.0,07004
7,5,284,284,100.0,07005
7,6,427,427,100.0,07006
7,7,331,331,100.0,07007
7,8,281,281,100.0,07008
7,9,598,598,100.0,07009
7,10,383,383,100.0,07010
7,11,366,366,100.0,07011
7,12,308,308,100.0,07012
7,13,213,213,100.0,07013
7,14,367,367,100.0,07014
7,15,329,329,100.0,07015
7,16,263,263,100.0,07016
7,17,281,281,100.0,07017
7,18,301,301,100.0,07018
7,19,326,326,100.0,07019
7,20,253,253,100.0,07020
7,21,254,254,100.0,07021
7,22,293,293,100.0,07022
7,23,343,343,100.0,07023
7,24,279,279,100.0,07024
7,25,270,270,100.0,07025
7,26,277,277,100.0,07026
7,27,270,270,100.0,07027
7,28,251,251,100.0,07028
7,29,281,281,100.0,07029
7,30,231,231,100.0,07030
7,31,227,227,100.0,07031
7,32,456,456,100.0,07032
7,33,448,448,100.0,07033
7,34,415,415,100.0,07034
7,35,373,373,100.0,07035
7,36,410,410,100.0,07036
7,37,363,363,100.0,07037
7,38,282,282,100.0,07038
7,39,314,314,100.0,07039
7,40,290,290,100.0,07040
7,41,345,345,100.0,07041
7,42,291,291,100.0,07042
7,43,344,344,100.0,07043
7,44,285,285,100.0,07044
7,45,311,311,100.0,07045
7,46,144,144,100.0,07046
8,3,391,391,100.0,08003
8,4,420,420,100.0,08004
8,5,400,400,100.0,08005
8,6,372,372,100.0,08006
8,7,411,411,100.0,08007
8,8,353,353,100.0,08008
8,9,132,132,100.0,08009
8,10,470,470,100.0,08010
8,11,296,296,100.0,08011
8,12,317,317,100.0,08012
8,15,319,319,100.0,08015
8,17,321,321,100.0,08017
8,19,390,390,100.0,08019
8,22,325,325,100.0,08022
8,23,305,305,100.0,08023
8,24,226,226,100.0,08024
8,25,354,354,100.0,08025
8,27,403,403,100.0,08027
8,28,88,88,100.0,08028
8,29,412,412,100.0,08029
8,30,370,370,100.0,08030
8,31,271,271,100.0,08031
8,32,297,297,100.0,08032
8,33,340,340,100.0,08033
8,34,344,344,100.0,08034
8,35,396,396,100.0,08035
8,36,392,392,100.0,08036
8,37,305,305,100.0,08037
8,38,232,232,100.0,08038
8,39,357,357,100.0,08039
8,40,275,275,100.0,08040
8,41,413,413,100.0,08041
8,44,243,243,100.0,08044
8,46,294,294,100.0,08046
8,47,286,286,100.0,08047
8,48,337,337,100.0,08048
8,49,345,345,100.0,08049
8,50,366,366,100.0,08050
8,51,387,387,100.0,08051
8,52,451,451,100.0,08052
8,53,208,208,100.0,08053
8,56,356,356,100.0,08056
9,1,130,130,100.0,09001
9,2,57,57,100.0,09002
9,8,335,335,100.0,09008
9,10,265,265,100.0,09010
9,12,383,383,100.0,09012
9,17,88,88,100.0,09017
9,20,331,331,100.0,09020
9,21,283,283,100.0,09021
9,23,392,392,100.0,09023
9,24,346,346,100.0,09024
9,25,344,344,100.0,09025
9,27,287,287,100.0,09027
9,30,258,258,100.0,09030
9,36,278,278,100.0,09036
