ward,precinct,total,Deborah Sims,Deborah Sims Percent,precinct_id
9,1,195,195,100.0,09001
9,2,255,255,100.0,09002
9,3,255,255,100.0,09003
9,4,253,253,100.0,09004
9,5,334,334,100.0,09005
9,6,322,322,100.0,09006
9,7,285,285,100.0,09007
9,9,351,351,100.0,09009
9,11,224,224,100.0,09011
9,13,394,394,100.0,09013
9,14,417,417,100.0,09014
9,15,360,360,100.0,09015
9,16,310,310,100.0,09016
9,17,139,139,100.0,09017
9,18,246,246,100.0,09018
9,19,319,319,100.0,09019
9,22,340,340,100.0,09022
9,26,383,383,100.0,09026
9,28,212,212,100.0,09028
9,29,302,302,100.0,09029
9,31,260,260,100.0,09031
9,32,344,344,100.0,09032
9,33,258,258,100.0,09033
9,34,250,250,100.0,09034
9,35,335,335,100.0,09035
9,37,22,22,100.0,09037
9,38,363,363,100.0,09038
9,39,376,376,100.0,09039
9,40,368,368,100.0,09040
9,41,285,285,100.0,09041
9,43,303,303,100.0,09043
9,44,306,306,100.0,09044
9,45,265,265,100.0,09045
9,46,306,306,100.0,09046
34,1,387,387,100.0,34001
34,2,305,305,100.0,34002
34,3,364,364,100.0,34003
34,4,267,267,100.0,34004
34,5,307,307,100.0,34005
34,6,408,408,100.0,34006
34,7,416,416,100.0,34007
34,8,291,291,100.0,34008
34,9,243,243,100.0,34009
34,10,343,343,100.0,34010
34,11,304,304,100.0,34011
34,12,388,388,100.0,34012
34,13,341,341,100.0,34013
34,14,271,271,100.0,34014
34,15,324,324,100.0,34015
34,16,302,302,100.0,34016
34,17,450,450,100.0,34017
34,18,266,266,100.0,34018
34,19,376,376,100.0,34019
34,20,418,418,100.0,34020
34,21,425,425,100.0,34021
34,22,366,366,100.0,34022
34,23,291,291,100.0,34023
34,24,327,327,100.0,34024
34,25,531,531,100.0,34025
34,26,384,384,100.0,34026
34,27,297,297,100.0,34027
34,28,236,236,100.0,34028
34,29,278,278,100.0,34029
34,30,348,348,100.0,34030
34,31,295,295,100.0,34031
34,32,353,353,100.0,34032
34,33,289,289,100.0,34033
34,34,378,378,100.0,34034
34,35,390,390,100.0,34035
34,36,312,312,100.0,34036
34,37,219,219,100.0,34037
34,38,168,168,100.0,34038
34,39,252,252,100.0,34039
34,40,385,385,100.0,34040
34,41,212,212,100.0,34041
34,42,355,355,100.0,34042
34,43,327,327,100.0,34043
34,44,364,364,100.0,34044
34,45,377,377,100.0,34045
34,46,244,244,100.0,34046
34,47,343,343,100.0,34047
34,48,369,369,100.0,34048
34,49,328,328,100.0,34049
34,50,291,291,100.0,34050
34,51,373,373,100.0,34051
34,52,265,265,100.0,34052
34,53,224,224,100.0,34053
