ward,precinct,total,John P. Daley,John P. Daley Percent,Steven S. Graves,Steven S. Graves Percent,precinct_id
3,29,62,57,91.94,5,8.06,03029
11,1,419,343,81.86,76,18.14,11001
11,4,360,301,83.61,59,16.39,11004
11,5,540,473,87.59,67,12.41,11005
11,8,411,354,86.13,57,13.87,11008
11,9,341,278,81.52,63,18.48,11009
11,10,389,331,85.09,58,14.91,11010
11,11,464,360,77.59,104,22.41,11011
11,12,571,465,81.44,106,18.56,11012
11,13,519,411,79.19,108,20.81,11013
11,14,216,177,81.94,39,18.06,11014
11,15,165,137,83.03,28,16.97,11015
11,16,285,229,80.35,56,19.65,11016
11,17,529,448,84.69,81,15.31,11017
11,18,328,276,84.15,52,15.85,11018
11,19,536,469,87.5,67,12.5,11019
11,20,289,249,86.16,40,13.84,11020
11,21,543,489,90.06,54,9.94,11021
11,22,485,401,82.68,84,17.32,11022
11,23,269,236,87.73,33,12.27,11023
11,24,505,456,90.3,49,9.7,11024
11,25,553,466,84.27,87,15.73,11025
11,26,504,433,85.91,71,14.09,11026
11,27,139,123,88.49,16,11.51,11027
11,28,194,154,79.38,40,20.62,11028
11,29,486,419,86.21,67,13.79,11029
11,30,218,165,75.69,53,24.31,11030
11,31,432,362,83.8,70,16.2,11031
11,32,212,180,84.91,32,15.09,11032
11,34,157,128,81.53,29,18.47,11034
11,35,117,100,85.47,17,14.53,11035
11,36,181,150,82.87,31,17.13,11036
12,19,274,236,86.13,38,13.87,12019
12,23,322,276,85.71,46,14.29,12023
13,1,288,202,70.14,86,29.86,13001
13,2,295,212,71.86,83,28.14,13002
13,4,344,235,68.31,109,31.69,13004
13,5,342,299,87.43,43,12.57,13005
13,6,347,235,67.72,112,32.28,13006
13,7,257,221,85.99,36,14.01,13007
13,8,274,203,74.09,71,25.91,13008
13,9,340,289,85.0,51,15.0,13009
13,10,320,197,61.56,123,38.44,13010
13,11,363,277,76.31,86,23.69,13011
13,12,299,243,81.27,56,18.73,13012
13,13,347,312,89.91,35,10.09,13013
13,14,335,284,84.78,51,15.22,13014
13,16,222,199,89.64,23,10.36,13016
13,17,286,225,78.67,61,21.33,13017
13,18,267,195,73.03,72,26.97,13018
13,19,357,335,93.84,22,6.16,13019
13,20,198,138,69.7,60,30.3,13020
13,21,396,262,66.16,134,33.84,13021
