ward,precinct,total,Michael P. McAuliffe,Michael P. McAuliffe Percent,precinct_id
38,2,391,391,100.0,38002
38,7,87,87,100.0,38007
38,12,323,323,100.0,38012
38,17,47,47,100.0,38017
38,20,317,317,100.0,38020
38,24,1,1,100.0,38024
38,28,371,371,100.0,38028
41,1,331,331,100.0,41001
41,2,368,368,100.0,41002
41,3,186,186,100.0,41003
41,4,366,366,100.0,41004
41,5,392,392,100.0,41005
41,7,415,415,100.0,41007
41,8,374,374,100.0,41008
41,10,401,401,100.0,41010
41,11,396,396,100.0,41011
41,13,414,414,100.0,41013
41,15,449,449,100.0,41015
41,16,326,326,100.0,41016
41,17,342,342,100.0,41017
41,18,335,335,100.0,41018
41,20,265,265,100.0,41020
41,21,355,355,100.0,41021
41,22,410,410,100.0,41022
41,23,377,377,100.0,41023
41,25,212,212,100.0,41025
41,26,343,343,100.0,41026
41,27,275,275,100.0,41027
41,31,413,413,100.0,41031
41,33,346,346,100.0,41033
41,34,322,322,100.0,41034
41,35,439,439,100.0,41035
41,36,345,345,100.0,41036
41,37,400,400,100.0,41037
41,40,408,408,100.0,41040
41,41,382,382,100.0,41041
41,42,335,335,100.0,41042
41,43,375,375,100.0,41043
41,44,402,402,100.0,41044
41,45,335,335,100.0,41045
41,46,387,387,100.0,41046
