ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,"Jimmy Lee Tillman, II","Jimmy Lee Tillman, II Percent",Thomas Rudbeck,Thomas Rudbeck Percent,precinct_id
3,2,17,15,88.24,0,0.0,2,11.76,03002
3,4,265,249,93.96,6,2.26,10,3.77,03004
3,7,331,315,95.17,7,2.11,9,2.72,03007
3,12,49,43,87.76,1,2.04,5,10.2,03012
3,18,247,217,87.85,14,5.67,16,6.48,03018
3,23,253,236,93.28,13,5.14,4,1.58,03023
3,29,0,0,0.0,0,0.0,0,0.0,03029
3,30,326,307,94.17,8,2.45,11,3.37,03030
3,31,22,20,90.91,0,0.0,2,9.09,03031
3,35,92,86,93.48,1,1.09,5,5.43,03035
3,38,402,390,97.01,4,1.0,8,1.99,03038
3,41,357,302,84.59,29,8.12,26,7.28,03041
4,1,797,696,87.33,43,5.4,58,7.28,04001
4,3,427,416,97.42,2,0.47,9,2.11,04003
4,4,40,38,95.0,1,2.5,1,2.5,04004
4,8,508,461,90.75,5,0.98,42,8.27,04008
4,9,596,550,92.28,14,2.35,32,5.37,04009
4,11,211,183,86.73,11,5.21,17,8.06,04011
4,12,591,545,92.22,9,1.52,37,6.26,04012
4,14,442,412,93.21,13,2.94,17,3.85,04014
4,15,461,441,95.66,9,1.95,11,2.39,04015
4,18,513,475,92.59,15,2.92,23,4.48,04018
4,19,408,384,94.12,8,1.96,16,3.92,04019
4,22,544,440,80.88,25,4.6,79,14.52,04022
4,23,715,588,82.24,26,3.64,101,14.13,04023
4,24,504,423,83.93,20,3.97,61,12.1,04024
4,26,508,476,93.7,13,2.56,19,3.74,04026
4,27,704,626,88.92,19,2.7,59,8.38,04027
4,28,129,120,93.02,4,3.1,5,3.88,04028
4,29,315,302,95.87,3,0.95,10,3.17,04029
4,30,645,608,94.26,14,2.17,23,3.57,04030
4,31,543,496,91.34,23,4.24,24,4.42,04031
4,32,585,524,89.57,18,3.08,43,7.35,04032
4,33,540,481,89.07,21,3.89,38,7.04,04033
4,36,305,271,88.85,12,3.93,22,7.21,04036
4,38,567,515,90.83,14,2.47,38,6.7,04038
5,2,335,318,94.93,7,2.09,10,2.99,05002
5,3,582,518,89.0,24,4.12,40,6.87,05003
5,4,691,621,89.87,18,2.6,52,7.53,05004
5,5,446,402,90.13,10,2.24,34,7.62,05005
5,7,539,482,89.42,22,4.08,35,6.49,05007
5,8,549,442,80.51,37,6.74,70,12.75,05008
5,9,611,545,89.2,20,3.27,46,7.53,05009
5,10,320,298,93.13,7,2.19,15,4.69,05010
5,11,218,193,88.53,15,6.88,10,4.59,05011
5,12,329,310,94.22,12,3.65,7,2.13,05012
5,13,415,393,94.7,10,2.41,12,2.89,05013
5,15,473,416,87.95,27,5.71,30,6.34,05015
5,16,465,437,93.98,9,1.94,19,4.09,05016
5,17,416,389,93.51,10,2.4,17,4.09,05017
5,18,309,280,90.61,9,2.91,20,6.47,05018
5,19,482,393,81.54,30,6.22,59,12.24,05019
5,20,589,541,91.85,20,3.4,28,4.75,05020
5,21,575,502,87.3,21,3.65,52,9.04,05021
5,22,577,477,82.67,44,7.63,56,9.71,05022
5,24,581,511,87.95,26,4.48,44,7.57,05024
5,25,54,51,94.44,1,1.85,2,3.7,05025
5,27,614,507,82.57,44,7.17,63,10.26,05027
5,30,332,313,94.28,5,1.51,14,4.22,05030
5,33,543,511,94.11,4,0.74,28,5.16,05033
5,34,604,506,83.77,36,5.96,62,10.26,05034
5,35,519,435,83.82,31,5.97,53,10.21,05035
5,39,424,351,82.78,34,8.02,39,9.2,05039
6,1,443,422,95.26,5,1.13,16,3.61,06001
6,2,424,396,93.4,8,1.89,20,4.72,06002
6,3,450,425,94.44,8,1.78,17,3.78,06003
6,4,311,298,95.82,6,1.93,7,2.25,06004
6,5,263,257,97.72,2,0.76,4,1.52,06005
6,6,426,398,93.43,11,2.58,17,3.99,06006
6,7,362,345,95.3,4,1.1,13,3.59,06007
6,8,388,366,94.33,7,1.8,15,3.87,06008
6,9,357,337,94.4,8,2.24,12,3.36,06009
6,10,235,218,92.77,11,4.68,6,2.55,06010
6,11,354,338,95.48,5,1.41,11,3.11,06011
6,12,286,266,93.01,6,2.1,14,4.9,06012
6,13,314,300,95.54,6,1.91,8,2.55,06013
6,14,370,348,94.05,6,1.62,16,4.32,06014
6,15,344,329,95.64,10,2.91,5,1.45,06015
6,16,413,391,94.67,10,2.42,12,2.91,06016
6,17,266,253,95.11,5,1.88,8,3.01,06017
6,18,293,281,95.9,7,2.39,5,1.71,06018
6,19,363,349,96.14,2,0.55,12,3.31,06019
6,20,235,222,94.47,9,3.83,4,1.7,06020
6,21,12,11,91.67,0,0.0,1,8.33,06021
6,22,239,231,96.65,7,2.93,1,0.42,06022
6,23,220,208,94.55,2,0.91,10,4.55,06023
6,24,205,198,96.59,4,1.95,3,1.46,06024
6,25,208,198,95.19,7,3.37,3,1.44,06025
6,26,295,283,95.93,4,1.36,8,2.71,06026
6,27,230,221,96.09,5,2.17,4,1.74,06027
6,28,195,188,96.41,3,1.54,4,2.05,06028
6,29,428,415,96.96,5,1.17,8,1.87,06029
6,30,320,298,93.13,6,1.88,16,5.0,06030
6,31,408,383,93.87,8,1.96,17,4.17,06031
6,32,366,344,93.99,10,2.73,12,3.28,06032
6,33,396,361,91.16,20,5.05,15,3.79,06033
6,34,402,384,95.52,3,0.75,15,3.73,06034
6,35,356,339,95.22,5,1.4,12,3.37,06035
6,36,469,449,95.74,7,1.49,13,2.77,06036
6,37,407,372,91.4,10,2.46,25,6.14,06037
6,38,419,387,92.36,12,2.86,20,4.77,06038
6,39,326,304,93.25,10,3.07,12,3.68,06039
6,40,368,351,95.38,4,1.09,13,3.53,06040
6,41,392,371,94.64,5,1.28,16,4.08,06041
6,42,409,384,93.89,10,2.44,15,3.67,06042
6,43,358,341,95.25,6,1.68,11,3.07,06043
6,44,397,376,94.71,10,2.52,11,2.77,06044
6,45,418,393,94.02,6,1.44,19,4.55,06045
6,46,270,252,93.33,6,2.22,12,4.44,06046
6,47,288,271,94.1,9,3.13,8,2.78,06047
6,48,421,395,93.82,10,2.38,16,3.8,06048
7,1,150,147,98.0,2,1.33,1,0.67,07001
8,1,351,326,92.88,12,3.42,13,3.7,08001
8,2,364,346,95.05,7,1.92,11,3.02,08002
8,3,444,421,94.82,4,0.9,19,4.28,08003
8,4,156,153,98.08,1,0.64,2,1.28,08004
8,5,417,392,94.0,9,2.16,16,3.84,08005
8,6,406,382,94.09,8,1.97,16,3.94,08006
8,8,392,372,94.9,5,1.28,15,3.83,08008
8,10,499,476,95.39,10,2.0,13,2.61,08010
8,11,333,319,95.8,8,2.4,6,1.8,08011
8,12,349,332,95.13,5,1.43,12,3.44,08012
