ward,precinct,total,Elizabeth ''Lisa'' Hernandez,Elizabeth ''Lisa'' Hernandez Percent,precinct_id
12,16,9,9,100.0,12016
22,3,433,433,100.0,22003
22,4,147,147,100.0,22004
22,5,282,282,100.0,22005
22,6,286,286,100.0,22006
22,7,172,172,100.0,22007
22,9,254,254,100.0,22009
22,10,14,14,100.0,22010
22,11,248,248,100.0,22011
22,13,121,121,100.0,22013
22,15,40,40,100.0,22015
22,16,9,9,100.0,22016
22,17,261,261,100.0,22017
22,18,109,109,100.0,22018
22,20,274,274,100.0,22020
22,24,322,322,100.0,22024
22,25,303,303,100.0,22025
