ward,precinct,total,Delia C. Ramirez,Delia C. Ramirez Percent,precinct_id
1,1,522,522,100.0,01001
1,3,582,582,100.0,01003
1,4,567,567,100.0,01004
1,5,580,580,100.0,01005
1,6,469,469,100.0,01006
1,8,60,60,100.0,01008
1,10,640,640,100.0,01010
1,11,523,523,100.0,01011
1,14,469,469,100.0,01014
1,15,434,434,100.0,01015
1,17,365,365,100.0,01017
1,18,484,484,100.0,01018
1,20,403,403,100.0,01020
1,21,621,621,100.0,01021
1,22,323,323,100.0,01022
1,24,437,437,100.0,01024
1,25,494,494,100.0,01025
1,26,260,260,100.0,01026
1,27,532,532,100.0,01027
1,29,601,601,100.0,01029
1,30,526,526,100.0,01030
1,31,435,435,100.0,01031
1,32,357,357,100.0,01032
1,33,505,505,100.0,01033
1,35,596,596,100.0,01035
1,36,504,504,100.0,01036
1,37,279,279,100.0,01037
1,38,449,449,100.0,01038
1,39,442,442,100.0,01039
1,40,470,470,100.0,01040
1,44,449,449,100.0,01044
2,1,214,214,100.0,02001
2,3,579,579,100.0,02003
2,4,454,454,100.0,02004
2,5,599,599,100.0,02005
2,14,527,527,100.0,02014
2,15,73,73,100.0,02015
2,16,463,463,100.0,02016
2,17,84,84,100.0,02017
2,21,529,529,100.0,02021
26,1,363,363,100.0,26001
26,2,280,280,100.0,26002
26,3,388,388,100.0,26003
26,4,161,161,100.0,26004
26,5,310,310,100.0,26005
26,6,283,283,100.0,26006
26,8,169,169,100.0,26008
26,9,235,235,100.0,26009
26,10,294,294,100.0,26010
26,11,287,287,100.0,26011
26,12,362,362,100.0,26012
26,13,168,168,100.0,26013
26,14,258,258,100.0,26014
26,15,186,186,100.0,26015
26,16,178,178,100.0,26016
26,18,231,231,100.0,26018
26,19,100,100,100.0,26019
26,20,289,289,100.0,26020
26,21,389,389,100.0,26021
26,22,156,156,100.0,26022
26,23,212,212,100.0,26023
26,24,260,260,100.0,26024
26,25,306,306,100.0,26025
26,26,229,229,100.0,26026
26,27,414,414,100.0,26027
26,28,99,99,100.0,26028
26,29,201,201,100.0,26029
26,30,266,266,100.0,26030
26,31,135,135,100.0,26031
26,32,386,386,100.0,26032
26,33,372,372,100.0,26033
26,34,27,27,100.0,26034
26,35,282,282,100.0,26035
26,36,339,339,100.0,26036
26,38,134,134,100.0,26038
26,39,358,358,100.0,26039
26,40,238,238,100.0,26040
26,41,380,380,100.0,26041
26,42,281,281,100.0,26042
26,43,189,189,100.0,26043
26,44,185,185,100.0,26044
26,45,149,149,100.0,26045
26,47,209,209,100.0,26047
26,48,314,314,100.0,26048
26,49,185,185,100.0,26049
27,5,10,10,100.0,27005
27,7,549,549,100.0,27007
27,13,80,80,100.0,27013
27,24,26,26,100.0,27024
27,27,22,22,100.0,27027
27,40,67,67,100.0,27040
27,43,7,7,100.0,27043
31,4,122,122,100.0,31004
31,16,136,136,100.0,31016
35,3,297,297,100.0,35003
35,12,280,280,100.0,35012
35,13,268,268,100.0,35013
35,16,235,235,100.0,35016
35,19,69,69,100.0,35019
35,21,341,341,100.0,35021
36,12,106,106,100.0,36012
37,12,37,37,100.0,37012
37,22,8,8,100.0,37022
