ward,precinct,total,Kent Delgado,Kent Delgado Percent,precinct_id
1,1,478,478,100.0,01001
1,2,379,379,100.0,01002
1,3,509,509,100.0,01003
1,4,499,499,100.0,01004
1,5,515,515,100.0,01005
1,6,432,432,100.0,01006
1,7,329,329,100.0,01007
1,8,361,361,100.0,01008
1,9,313,313,100.0,01009
1,10,567,567,100.0,01010
1,11,540,540,100.0,01011
1,12,494,494,100.0,01012
1,13,206,206,100.0,01013
1,14,400,400,100.0,01014
1,15,387,387,100.0,01015
1,16,542,542,100.0,01016
1,17,376,376,100.0,01017
1,18,406,406,100.0,01018
1,19,491,491,100.0,01019
1,20,365,365,100.0,01020
1,21,595,595,100.0,01021
1,22,295,295,100.0,01022
1,23,615,615,100.0,01023
1,24,360,360,100.0,01024
1,25,429,429,100.0,01025
1,26,276,276,100.0,01026
1,27,472,472,100.0,01027
1,28,93,93,100.0,01028
1,29,539,539,100.0,01029
1,30,455,455,100.0,01030
1,31,374,374,100.0,01031
1,32,415,415,100.0,01032
1,33,486,486,100.0,01033
1,34,351,351,100.0,01034
1,35,511,511,100.0,01035
1,36,445,445,100.0,01036
1,37,438,438,100.0,01037
1,38,392,392,100.0,01038
1,39,379,379,100.0,01039
1,40,401,401,100.0,01040
1,41,264,264,100.0,01041
1,42,148,148,100.0,01042
1,43,274,274,100.0,01043
1,44,405,405,100.0,01044
2,1,503,503,100.0,02001
2,3,499,499,100.0,02003
2,4,391,391,100.0,02004
2,5,526,526,100.0,02005
2,6,447,447,100.0,02006
2,7,393,393,100.0,02007
2,8,510,510,100.0,02008
2,14,467,467,100.0,02014
2,15,426,426,100.0,02015
2,16,405,405,100.0,02016
2,17,536,536,100.0,02017
2,20,5,5,100.0,02020
2,21,460,460,100.0,02021
2,25,470,470,100.0,02025
26,1,322,322,100.0,26001
26,2,80,80,100.0,26002
26,3,354,354,100.0,26003
26,4,185,185,100.0,26004
26,5,261,261,100.0,26005
26,6,245,245,100.0,26006
26,7,315,315,100.0,26007
26,8,140,140,100.0,26008
26,9,199,199,100.0,26009
26,10,71,71,100.0,26010
26,11,257,257,100.0,26011
26,12,311,311,100.0,26012
26,13,148,148,100.0,26013
