ward,precinct,total,Kwame Raoul,Kwame Raoul Percent,Erika Harold,Erika Harold Percent,Bubba Harsy,Bubba Harsy Percent,precinct_id
1,1,590,496,84.07,75,12.71,19,3.22,01001
1,2,471,423,89.81,33,7.01,15,3.18,01002
1,3,652,553,84.82,84,12.88,15,2.3,01003
1,4,633,522,82.46,95,15.01,16,2.53,01004
1,5,658,549,83.43,95,14.44,14,2.13,01005
1,6,554,427,77.08,111,20.04,16,2.89,01006
1,7,408,346,84.8,49,12.01,13,3.19,01007
1,8,514,415,80.74,85,16.54,14,2.72,01008
1,9,433,362,83.6,56,12.93,15,3.46,01009
1,10,738,596,80.76,126,17.07,16,2.17,01010
1,11,670,531,79.25,123,18.36,16,2.39,01011
1,12,664,529,79.67,120,18.07,15,2.26,01012
1,13,258,217,84.11,36,13.95,5,1.94,01013
1,14,539,453,84.04,73,13.54,13,2.41,01014
1,15,515,435,84.47,74,14.37,6,1.17,01015
1,16,664,572,86.14,76,11.45,16,2.41,01016
1,17,484,421,86.98,48,9.92,15,3.1,01017
1,18,533,487,91.37,41,7.69,5,0.94,01018
1,19,647,564,87.17,66,10.2,17,2.63,01019
1,20,449,411,91.54,31,6.9,7,1.56,01020
1,21,774,653,84.37,104,13.44,17,2.2,01021
1,22,364,314,86.26,43,11.81,7,1.92,01022
1,23,770,667,86.62,78,10.13,25,3.25,01023
1,24,483,425,87.99,49,10.14,9,1.86,01024
1,25,558,486,87.1,60,10.75,12,2.15,01025
1,26,351,306,87.18,39,11.11,6,1.71,01026
1,27,607,495,81.55,96,15.82,16,2.64,01027
1,28,155,142,91.61,11,7.1,2,1.29,01028
1,29,677,553,81.68,103,15.21,21,3.1,01029
1,30,599,529,88.31,56,9.35,14,2.34,01030
1,31,516,413,80.04,87,16.86,16,3.1,01031
1,32,552,447,80.98,95,17.21,10,1.81,01032
1,33,659,520,78.91,124,18.82,15,2.28,01033
1,34,452,387,85.62,46,10.18,19,4.2,01034
1,35,694,556,80.12,114,16.43,24,3.46,01035
1,36,600,482,80.33,102,17.0,16,2.67,01036
1,37,585,458,78.29,111,18.97,16,2.74,01037
1,38,540,435,80.56,76,14.07,29,5.37,01038
1,39,501,418,83.43,73,14.57,10,2.0,01039
