ward,precinct,total,Don Harmon,Don Harmon Percent,precinct_id
29,1,482,482,100.0,29001
29,4,376,376,100.0,29004
29,5,298,298,100.0,29005
29,7,374,374,100.0,29007
29,9,400,400,100.0,29009
29,10,495,495,100.0,29010
29,12,453,453,100.0,29012
29,13,378,378,100.0,29013
29,15,416,416,100.0,29015
29,17,332,332,100.0,29017
29,23,374,374,100.0,29023
29,24,266,266,100.0,29024
29,25,432,432,100.0,29025
29,26,350,350,100.0,29026
29,27,326,326,100.0,29027
29,30,206,206,100.0,29030
29,33,253,253,100.0,29033
29,35,273,273,100.0,29035
29,36,52,52,100.0,29036
29,37,356,356,100.0,29037
29,40,409,409,100.0,29040
29,41,275,275,100.0,29041
29,43,459,459,100.0,29043
29,44,455,455,100.0,29044
37,18,270,270,100.0,37018
37,29,161,161,100.0,37029
37,35,337,337,100.0,37035
37,37,331,331,100.0,37037
