ward,precinct,total,Tiana Ellis Blakely,Tiana Ellis Blakely Percent,precinct_id
9,1,297,297,100.0,09001
9,2,270,270,100.0,09002
9,3,197,197,100.0,09003
9,4,228,228,100.0,09004
9,5,295,295,100.0,09005
9,6,280,280,100.0,09006
9,7,240,240,100.0,09007
9,8,298,298,100.0,09008
9,9,309,309,100.0,09009
9,10,238,238,100.0,09010
9,11,199,199,100.0,09011
9,13,13,13,100.0,09013
9,14,58,58,100.0,09014
9,15,326,326,100.0,09015
9,16,287,287,100.0,09016
9,17,202,202,100.0,09017
9,18,220,220,100.0,09018
9,19,283,283,100.0,09019
9,20,282,282,100.0,09020
9,21,266,266,100.0,09021
9,22,288,288,100.0,09022
9,26,330,330,100.0,09026
9,27,252,252,100.0,09027
9,28,184,184,100.0,09028
9,29,244,244,100.0,09029
9,30,234,234,100.0,09030
9,31,228,228,100.0,09031
9,32,312,312,100.0,09032
9,33,221,221,100.0,09033
9,34,218,218,100.0,09034
9,35,203,203,100.0,09035
9,37,381,381,100.0,09037
9,38,314,314,100.0,09038
9,39,337,337,100.0,09039
9,40,324,324,100.0,09040
9,41,249,249,100.0,09041
9,43,259,259,100.0,09043
9,44,275,275,100.0,09044
9,45,236,236,100.0,09045
9,46,291,291,100.0,09046
19,28,255,255,100.0,19028
19,43,67,67,100.0,19043
21,1,347,347,100.0,21001
21,2,80,80,100.0,21002
21,3,337,337,100.0,21003
21,5,329,329,100.0,21005
21,6,252,252,100.0,21006
21,7,300,300,100.0,21007
21,8,313,313,100.0,21008
21,9,346,346,100.0,21009
21,10,297,297,100.0,21010
21,11,279,279,100.0,21011
21,12,290,290,100.0,21012
21,13,221,221,100.0,21013
21,14,324,324,100.0,21014
21,16,288,288,100.0,21016
21,17,148,148,100.0,21017
21,18,337,337,100.0,21018
21,19,334,334,100.0,21019
21,20,18,18,100.0,21020
21,21,257,257,100.0,21021
21,22,266,266,100.0,21022
21,23,273,273,100.0,21023
21,24,318,318,100.0,21024
21,25,259,259,100.0,21025
21,27,311,311,100.0,21027
21,29,351,351,100.0,21029
21,32,279,279,100.0,21032
21,33,124,124,100.0,21033
21,34,140,140,100.0,21034
21,35,363,363,100.0,21035
21,36,282,282,100.0,21036
21,37,224,224,100.0,21037
21,38,283,283,100.0,21038
21,39,261,261,100.0,21039
21,40,276,276,100.0,21040
21,41,305,305,100.0,21041
21,42,324,324,100.0,21042
21,44,207,207,100.0,21044
21,45,274,274,100.0,21045
21,46,330,330,100.0,21046
21,48,195,195,100.0,21048
21,49,337,337,100.0,21049
21,50,245,245,100.0,21050
21,52,25,25,100.0,21052
34,1,344,344,100.0,34001
34,2,255,255,100.0,34002
34,3,317,317,100.0,34003
34,4,241,241,100.0,34004
34,5,279,279,100.0,34005
34,6,366,366,100.0,34006
34,7,368,368,100.0,34007
34,8,259,259,100.0,34008
34,9,187,187,100.0,34009
34,10,305,305,100.0,34010
34,11,280,280,100.0,34011
34,12,348,348,100.0,34012
34,13,312,312,100.0,34013
34,14,225,225,100.0,34014
34,15,279,279,100.0,34015
34,16,267,267,100.0,34016
34,18,236,236,100.0,34018
34,19,243,243,100.0,34019
34,20,387,387,100.0,34020
34,21,385,385,100.0,34021
34,22,328,328,100.0,34022
34,23,260,260,100.0,34023
34,24,289,289,100.0,34024
34,25,470,470,100.0,34025
34,26,343,343,100.0,34026
34,27,263,263,100.0,34027
34,28,202,202,100.0,34028
34,29,230,230,100.0,34029
34,30,313,313,100.0,34030
34,31,254,254,100.0,34031
34,32,321,321,100.0,34032
34,33,253,253,100.0,34033
34,34,340,340,100.0,34034
34,35,352,352,100.0,34035
34,36,278,278,100.0,34036
34,37,189,189,100.0,34037
34,38,150,150,100.0,34038
34,39,218,218,100.0,34039
34,40,346,346,100.0,34040
34,41,188,188,100.0,34041
34,42,307,307,100.0,34042
34,43,289,289,100.0,34043
34,44,297,297,100.0,34044
34,45,311,311,100.0,34045
34,46,212,212,100.0,34046
34,47,303,303,100.0,34047
34,48,348,348,100.0,34048
34,49,105,105,100.0,34049
34,50,255,255,100.0,34050
34,51,342,342,100.0,34051
34,52,249,249,100.0,34052
34,53,201,201,100.0,34053
