ward,precinct,total,Kevin Patrick Cunningham,Kevin Patrick Cunningham Percent,precinct_id
13,1,216,216,100.0,13001
13,2,208,208,100.0,13002
13,3,214,214,100.0,13003
13,4,246,246,100.0,13004
13,5,302,302,100.0,13005
13,6,236,236,100.0,13006
13,7,197,197,100.0,13007
13,8,191,191,100.0,13008
13,9,273,273,100.0,13009
13,10,222,222,100.0,13010
13,11,264,264,100.0,13011
13,12,229,229,100.0,13012
13,13,261,261,100.0,13013
13,14,271,271,100.0,13014
13,15,381,381,100.0,13015
13,16,177,177,100.0,13016
13,17,206,206,100.0,13017
13,18,191,191,100.0,13018
13,19,289,289,100.0,13019
13,20,147,147,100.0,13020
13,21,247,247,100.0,13021
13,22,257,257,100.0,13022
13,23,184,184,100.0,13023
13,24,260,260,100.0,13024
13,25,262,262,100.0,13025
13,26,241,241,100.0,13026
13,27,247,247,100.0,13027
13,28,201,201,100.0,13028
13,29,196,196,100.0,13029
13,30,215,215,100.0,13030
13,31,258,258,100.0,13031
13,32,187,187,100.0,13032
13,33,245,245,100.0,13033
13,34,311,311,100.0,13034
13,35,244,244,100.0,13035
13,36,162,162,100.0,13036
13,37,297,297,100.0,13037
13,38,197,197,100.0,13038
13,39,268,268,100.0,13039
13,40,265,265,100.0,13040
13,41,290,290,100.0,13041
13,42,221,221,100.0,13042
13,43,271,271,100.0,13043
13,44,270,270,100.0,13044
13,45,274,274,100.0,13045
13,46,307,307,100.0,13046
13,47,292,292,100.0,13047
13,48,217,217,100.0,13048
14,1,271,271,100.0,14001
14,2,351,351,100.0,14002
14,3,274,274,100.0,14003
14,4,241,241,100.0,14004
14,7,318,318,100.0,14007
14,8,290,290,100.0,14008
14,9,318,318,100.0,14009
14,12,303,303,100.0,14012
14,13,243,243,100.0,14013
14,18,114,114,100.0,14018
14,22,341,341,100.0,14022
14,23,208,208,100.0,14023
14,24,299,299,100.0,14024
14,27,259,259,100.0,14027
14,28,212,212,100.0,14028
15,22,98,98,100.0,15022
16,29,22,22,100.0,16029
17,1,274,274,100.0,17001
17,3,264,264,100.0,17003
17,8,178,178,100.0,17008
17,11,192,192,100.0,17011
17,12,127,127,100.0,17012
17,14,120,120,100.0,17014
17,17,239,239,100.0,17017
17,19,90,90,100.0,17019
17,25,32,32,100.0,17025
17,30,205,205,100.0,17030
17,31,161,161,100.0,17031
17,32,184,184,100.0,17032
17,33,172,172,100.0,17033
17,34,183,183,100.0,17034
17,35,13,13,100.0,17035
17,36,139,139,100.0,17036
17,37,223,223,100.0,17037
17,40,0,0,0.0,17040
18,1,268,268,100.0,18001
18,2,248,248,100.0,18002
18,3,243,243,100.0,18003
18,4,311,311,100.0,18004
18,5,185,185,100.0,18005
18,6,235,235,100.0,18006
18,7,294,294,100.0,18007
18,8,304,304,100.0,18008
18,9,292,292,100.0,18009
18,10,409,409,100.0,18010
18,11,241,241,100.0,18011
18,12,291,291,100.0,18012
18,13,299,299,100.0,18013
18,14,317,317,100.0,18014
18,15,326,326,100.0,18015
18,16,288,288,100.0,18016
18,17,298,298,100.0,18017
18,18,251,251,100.0,18018
18,19,278,278,100.0,18019
18,21,359,359,100.0,18021
18,22,336,336,100.0,18022
18,23,291,291,100.0,18023
18,24,258,258,100.0,18024
18,25,268,268,100.0,18025
18,26,372,372,100.0,18026
18,27,243,243,100.0,18027
18,28,263,263,100.0,18028
18,29,328,328,100.0,18029
18,30,311,311,100.0,18030
18,31,310,310,100.0,18031
18,32,298,298,100.0,18032
18,33,208,208,100.0,18033
18,34,354,354,100.0,18034
18,35,356,356,100.0,18035
18,36,301,301,100.0,18036
18,37,359,359,100.0,18037
18,39,235,235,100.0,18039
18,40,327,327,100.0,18040
18,41,362,362,100.0,18041
18,42,263,263,100.0,18042
18,43,200,200,100.0,18043
18,44,235,235,100.0,18044
18,45,264,264,100.0,18045
18,46,296,296,100.0,18046
18,47,232,232,100.0,18047
18,48,240,240,100.0,18048
18,49,186,186,100.0,18049
18,50,218,218,100.0,18050
19,1,264,264,100.0,19001
19,2,473,473,100.0,19002
19,3,210,210,100.0,19003
19,4,317,317,100.0,19004
19,5,363,363,100.0,19005
19,6,295,295,100.0,19006
19,7,281,281,100.0,19007
19,8,286,286,100.0,19008
19,9,213,213,100.0,19009
19,10,416,416,100.0,19010
19,11,233,233,100.0,19011
19,12,216,216,100.0,19012
19,13,412,412,100.0,19013
19,14,400,400,100.0,19014
19,15,322,322,100.0,19015
19,16,284,284,100.0,19016
