ward,precinct,total,Christian L. Mitchell,Christian L. Mitchell Percent,precinct_id
2,2,342,342,100.0,02002
2,10,337,337,100.0,02010
2,11,483,483,100.0,02011
2,13,395,395,100.0,02013
2,18,453,453,100.0,02018
2,19,311,311,100.0,02019
2,23,286,286,100.0,02023
2,27,295,295,100.0,02027
2,29,343,343,100.0,02029
2,34,347,347,100.0,02034
2,42,248,248,100.0,02042
3,2,17,17,100.0,03002
3,4,508,508,100.0,03004
3,11,215,215,100.0,03011
3,12,180,180,100.0,03012
3,19,514,514,100.0,03019
3,21,154,154,100.0,03021
3,27,366,366,100.0,03027
3,30,391,391,100.0,03030
3,31,276,276,100.0,03031
4,3,382,382,100.0,04003
4,4,634,634,100.0,04004
4,6,145,145,100.0,04006
4,7,560,560,100.0,04007
4,8,494,494,100.0,04008
4,11,370,370,100.0,04011
4,12,548,548,100.0,04012
4,15,112,112,100.0,04015
4,18,454,454,100.0,04018
4,19,366,366,100.0,04019
4,23,68,68,100.0,04023
4,24,452,452,100.0,04024
4,26,450,450,100.0,04026
4,28,408,408,100.0,04028
4,29,415,415,100.0,04029
4,30,637,637,100.0,04030
4,32,543,543,100.0,04032
4,33,481,481,100.0,04033
4,34,93,93,100.0,04034
4,35,569,569,100.0,04035
4,36,310,310,100.0,04036
4,38,361,361,100.0,04038
5,4,633,633,100.0,05004
5,5,393,393,100.0,05005
5,6,345,345,100.0,05006
5,10,340,340,100.0,05010
5,13,362,362,100.0,05013
5,14,110,110,100.0,05014
5,15,427,427,100.0,05015
5,16,415,415,100.0,05016
5,17,208,208,100.0,05017
5,21,259,259,100.0,05021
5,28,226,226,100.0,05028
5,30,138,138,100.0,05030
5,36,245,245,100.0,05036
7,1,300,300,100.0,07001
7,2,326,326,100.0,07002
7,3,363,363,100.0,07003
7,4,351,351,100.0,07004
7,10,397,397,100.0,07010
7,11,38,38,100.0,07011
7,15,333,333,100.0,07015
7,16,6,6,100.0,07016
7,17,0,0,0.0,07017
7,19,324,324,100.0,07019
7,20,248,248,100.0,07020
7,21,25,25,100.0,07021
7,23,332,332,100.0,07023
7,24,284,284,100.0,07024
7,25,252,252,100.0,07025
7,28,10,10,100.0,07028
7,30,41,41,100.0,07030
7,31,217,217,100.0,07031
7,33,22,22,100.0,07033
8,1,28,28,100.0,08001
8,2,224,224,100.0,08002
8,21,41,41,100.0,08021
8,42,447,447,100.0,08042
10,18,204,204,100.0,10018
10,27,292,292,100.0,10027
10,34,174,174,100.0,10034
10,36,0,0,0.0,10036
20,5,390,390,100.0,20005
20,9,502,502,100.0,20009
20,16,400,400,100.0,20016
20,22,433,433,100.0,20022
20,24,136,136,100.0,20024
42,1,400,400,100.0,42001
42,2,551,551,100.0,42002
42,4,957,957,100.0,42004
42,6,439,439,100.0,42006
42,7,588,588,100.0,42007
42,8,415,415,100.0,42008
42,11,290,290,100.0,42011
42,13,386,386,100.0,42013
42,19,214,214,100.0,42019
42,24,472,472,100.0,42024
42,26,656,656,100.0,42026
42,28,522,522,100.0,42028
42,29,509,509,100.0,42029
42,30,378,378,100.0,42030
42,31,553,553,100.0,42031
42,34,386,386,100.0,42034
42,35,649,649,100.0,42035
42,40,564,564,100.0,42040
43,35,509,509,100.0,43035
