ward,precinct,total,Camille Lilly,Camille Lilly Percent,precinct_id
29,1,470,470,100.0,29001
29,4,380,380,100.0,29004
29,5,294,294,100.0,29005
29,7,375,375,100.0,29007
29,9,400,400,100.0,29009
29,10,479,479,100.0,29010
29,12,442,442,100.0,29012
29,13,377,377,100.0,29013
29,15,413,413,100.0,29015
29,17,320,320,100.0,29017
29,23,372,372,100.0,29023
29,24,262,262,100.0,29024
29,25,429,429,100.0,29025
29,26,360,360,100.0,29026
29,27,322,322,100.0,29027
29,30,206,206,100.0,29030
29,33,265,265,100.0,29033
29,35,275,275,100.0,29035
29,36,51,51,100.0,29036
29,37,348,348,100.0,29037
29,40,402,402,100.0,29040
29,41,278,278,100.0,29041
29,43,448,448,100.0,29043
29,44,458,458,100.0,29044
37,18,268,268,100.0,37018
37,29,154,154,100.0,37029
37,35,330,330,100.0,37035
37,37,332,332,100.0,37037
