ward,precinct,total,Patricia Van Pelt,Patricia Van Pelt Percent,precinct_id
1,8,369,369,100.0,01008
1,11,60,60,100.0,01011
1,12,573,573,100.0,01012
1,21,76,76,100.0,01021
1,32,122,122,100.0,01032
1,33,39,39,100.0,01033
1,37,209,209,100.0,01037
2,1,357,357,100.0,02001
2,6,495,495,100.0,02006
2,7,467,467,100.0,02007
2,8,583,583,100.0,02008
2,9,415,415,100.0,02009
2,12,450,450,100.0,02012
2,15,418,418,100.0,02015
2,17,508,508,100.0,02017
2,20,471,471,100.0,02020
2,25,532,532,100.0,02025
2,41,157,157,100.0,02041
2,46,234,234,100.0,02046
11,2,26,26,100.0,11002
11,6,605,605,100.0,11006
11,7,623,623,100.0,11007
11,33,473,473,100.0,11033
12,10,60,60,100.0,12010
22,19,153,153,100.0,22019
22,21,308,308,100.0,22021
24,1,252,252,100.0,24001
24,2,261,261,100.0,24002
24,3,291,291,100.0,24003
24,4,221,221,100.0,24004
24,5,148,148,100.0,24005
24,6,279,279,100.0,24006
24,7,180,180,100.0,24007
24,8,129,129,100.0,24008
24,9,262,262,100.0,24009
24,10,116,116,100.0,24010
24,11,306,306,100.0,24011
24,12,161,161,100.0,24012
24,13,154,154,100.0,24013
24,14,251,251,100.0,24014
24,15,135,135,100.0,24015
24,16,26,26,100.0,24016
24,17,230,230,100.0,24017
24,18,323,323,100.0,24018
24,19,340,340,100.0,24019
24,20,247,247,100.0,24020
24,21,138,138,100.0,24021
24,22,343,343,100.0,24022
24,23,212,212,100.0,24023
24,24,284,284,100.0,24024
24,25,231,231,100.0,24025
24,26,399,399,100.0,24026
24,27,303,303,100.0,24027
24,28,173,173,100.0,24028
24,29,218,218,100.0,24029
24,30,166,166,100.0,24030
24,31,310,310,100.0,24031
24,32,144,144,100.0,24032
24,33,170,170,100.0,24033
24,34,262,262,100.0,24034
24,35,256,256,100.0,24035
24,36,334,334,100.0,24036
24,37,166,166,100.0,24037
24,38,239,239,100.0,24038
24,39,298,298,100.0,24039
24,40,320,320,100.0,24040
24,41,198,198,100.0,24041
25,3,669,669,100.0,25003
25,4,345,345,100.0,25004
25,10,637,637,100.0,25010
25,16,618,618,100.0,25016
25,20,266,266,100.0,25020
25,25,382,382,100.0,25025
25,27,269,269,100.0,25027
25,29,326,326,100.0,25029
25,31,760,760,100.0,25031
26,4,55,55,100.0,26004
26,17,258,258,100.0,26017
26,19,92,92,100.0,26019
26,28,373,373,100.0,26028
26,46,220,220,100.0,26046
27,1,788,788,100.0,27001
27,2,392,392,100.0,27002
27,3,217,217,100.0,27003
27,4,194,194,100.0,27004
27,5,273,273,100.0,27005
27,6,417,417,100.0,27006
27,8,273,273,100.0,27008
27,9,191,191,100.0,27009
27,10,388,388,100.0,27010
27,11,513,513,100.0,27011
27,13,428,428,100.0,27013
27,14,181,181,100.0,27014
27,15,171,171,100.0,27015
27,16,436,436,100.0,27016
27,17,371,371,100.0,27017
27,18,265,265,100.0,27018
27,19,173,173,100.0,27019
27,20,272,272,100.0,27020
27,21,397,397,100.0,27021
27,22,163,163,100.0,27022
27,23,265,265,100.0,27023
27,24,222,222,100.0,27024
27,25,325,325,100.0,27025
27,26,281,281,100.0,27026
27,27,428,428,100.0,27027
27,28,370,370,100.0,27028
27,29,231,231,100.0,27029
27,30,164,164,100.0,27030
27,31,284,284,100.0,27031
27,32,336,336,100.0,27032
27,33,419,419,100.0,27033
27,34,251,251,100.0,27034
27,35,443,443,100.0,27035
27,36,313,313,100.0,27036
27,37,454,454,100.0,27037
27,38,422,422,100.0,27038
27,39,255,255,100.0,27039
27,40,456,456,100.0,27040
27,41,294,294,100.0,27041
27,42,258,258,100.0,27042
27,43,230,230,100.0,27043
27,44,246,246,100.0,27044
27,45,841,841,100.0,27045
27,47,243,243,100.0,27047
27,48,711,711,100.0,27048
27,49,264,264,100.0,27049
27,50,338,338,100.0,27050
28,1,0,0,0.0,28001
28,2,266,266,100.0,28002
28,3,238,238,100.0,28003
28,4,288,288,100.0,28004
28,5,197,197,100.0,28005
28,6,171,171,100.0,28006
28,7,282,282,100.0,28007
28,8,378,378,100.0,28008
28,9,276,276,100.0,28009
28,10,394,394,100.0,28010
28,11,622,622,100.0,28011
28,13,314,314,100.0,28013
28,15,62,62,100.0,28015
28,16,182,182,100.0,28016
28,17,262,262,100.0,28017
28,18,269,269,100.0,28018
28,19,259,259,100.0,28019
28,20,267,267,100.0,28020
28,21,242,242,100.0,28021
28,22,256,256,100.0,28022
28,23,331,331,100.0,28023
28,24,232,232,100.0,28024
28,25,391,391,100.0,28025
28,26,278,278,100.0,28026
28,27,302,302,100.0,28027
28,28,378,378,100.0,28028
28,29,152,152,100.0,28029
28,30,47,47,100.0,28030
28,32,266,266,100.0,28032
28,33,312,312,100.0,28033
28,34,500,500,100.0,28034
28,35,350,350,100.0,28035
28,36,161,161,100.0,28036
28,37,370,370,100.0,28037
28,38,137,137,100.0,28038
28,40,400,400,100.0,28040
28,42,104,104,100.0,28042
28,44,196,196,100.0,28044
28,45,398,398,100.0,28045
28,46,564,564,100.0,28046
29,6,5,5,100.0,29006
32,2,522,522,100.0,32002
32,4,473,473,100.0,32004
32,5,478,478,100.0,32005
32,6,612,612,100.0,32006
32,29,440,440,100.0,32029
32,31,531,531,100.0,32031
32,32,565,565,100.0,32032
32,33,267,267,100.0,32033
32,34,504,504,100.0,32034
32,35,521,521,100.0,32035
32,36,530,530,100.0,32036
32,37,211,211,100.0,32037
37,2,254,254,100.0,37002
37,3,237,237,100.0,37003
37,4,255,255,100.0,37004
37,7,218,218,100.0,37007
37,8,230,230,100.0,37008
37,12,186,186,100.0,37012
37,13,234,234,100.0,37013
37,14,19,19,100.0,37014
37,19,219,219,100.0,37019
37,20,2,2,100.0,37020
37,21,290,290,100.0,37021
37,22,34,34,100.0,37022
37,27,1,1,100.0,37027
37,28,280,280,100.0,37028
37,30,14,14,100.0,37030
42,3,531,531,100.0,42003
42,9,3,3,100.0,42009
42,12,250,250,100.0,42012
42,16,525,525,100.0,42016
42,18,0,0,0.0,42018
42,21,141,141,100.0,42021
42,36,352,352,100.0,42036
42,41,159,159,100.0,42041
43,1,269,269,100.0,43001
43,3,470,470,100.0,43003
43,5,445,445,100.0,43005
43,7,321,321,100.0,43007
43,10,588,588,100.0,43010
43,11,454,454,100.0,43011
43,23,359,359,100.0,43023
43,45,287,287,100.0,43045
