ward,precinct,total,Bill Lowry,Bill Lowry Percent,George Blakemore,George Blakemore Percent,precinct_id
2,2,433,325,75.06,108,24.94,02002
2,9,491,340,69.25,151,30.75,02009
2,10,452,293,64.82,159,35.18,02010
2,11,595,418,70.25,177,29.75,02011
2,12,481,408,84.82,73,15.18,02012
2,13,488,368,75.41,120,24.59,02013
2,18,539,403,74.77,136,25.23,02018
2,19,407,277,68.06,130,31.94,02019
2,23,389,269,69.15,120,30.85,02023
2,27,393,253,64.38,140,35.62,02027
2,28,608,465,76.48,143,23.52,02028
2,29,609,461,75.7,148,24.3,02029
2,30,459,311,67.76,148,32.24,02030
2,31,624,440,70.51,184,29.49,02031
2,33,794,579,72.92,215,27.08,02033
2,34,445,310,69.66,135,30.34,02034
2,35,685,513,74.89,172,25.11,02035
2,36,597,454,76.05,143,23.95,02036
2,37,500,378,75.6,122,24.4,02037
2,38,510,340,66.67,170,33.33,02038
2,42,283,211,74.56,72,25.44,02042
2,44,329,228,69.3,101,30.7,02044
2,46,298,203,68.12,95,31.88,02046
3,1,476,455,95.59,21,4.41,03001
3,2,560,543,96.96,17,3.04,03002
3,4,518,506,97.68,12,2.32,03004
3,7,298,287,96.31,11,3.69,03007
3,9,476,459,96.43,17,3.57,03009
3,11,491,482,98.17,9,1.83,03011
3,12,483,470,97.31,13,2.69,03012
3,15,433,423,97.69,10,2.31,03015
3,18,216,204,94.44,12,5.56,03018
3,19,603,473,78.44,130,21.56,03019
3,20,499,484,96.99,15,3.01,03020
3,21,174,130,74.71,44,25.29,03021
3,23,396,376,94.95,20,5.05,03023
3,24,360,349,96.94,11,3.06,03024
3,27,416,328,78.85,88,21.15,03027
3,29,219,204,93.15,15,6.85,03029
3,30,410,398,97.07,12,2.93,03030
3,31,523,509,97.32,14,2.68,03031
3,35,229,217,94.76,12,5.24,03035
3,37,283,274,96.82,9,3.18,03037
3,38,367,357,97.28,10,2.72,03038
3,41,337,302,89.61,35,10.39,03041
4,1,772,722,93.52,50,6.48,04001
4,2,683,567,83.02,116,16.98,04002
4,3,406,394,97.04,12,2.96,04003
4,4,648,627,96.76,21,3.24,04004
4,5,495,473,95.56,22,4.44,04005
4,6,586,545,93.0,41,7.0,04006
4,7,589,562,95.42,27,4.58,04007
4,8,538,528,98.14,10,1.86,04008
4,9,567,547,96.47,20,3.53,04009
4,10,629,611,97.14,18,2.86,04010
4,11,523,503,96.18,20,3.82,04011
4,12,578,558,96.54,20,3.46,04012
4,13,405,363,89.63,42,10.37,04013
4,14,525,502,95.62,23,4.38,04014
4,15,617,598,96.92,19,3.08,04015
4,16,896,791,88.28,105,11.72,04016
4,17,678,595,87.76,83,12.24,04017
4,18,481,466,96.88,15,3.12,04018
4,19,375,363,96.8,12,3.2,04019
4,20,495,420,84.85,75,15.15,04020
4,21,738,650,88.08,88,11.92,04021
4,22,528,503,95.27,25,4.73,04022
4,23,693,668,96.39,25,3.61,04023
4,24,481,450,93.56,31,6.44,04024
4,25,608,504,82.89,104,17.11,04025
4,26,487,467,95.89,20,4.11,04026
4,27,670,637,95.07,33,4.93,04027
4,28,425,405,95.29,20,4.71,04028
4,29,424,414,97.64,10,2.36,04029
4,30,672,654,97.32,18,2.68,04030
4,31,526,503,95.63,23,4.37,04031
4,32,563,546,96.98,17,3.02,04032
4,33,524,506,96.56,18,3.44,04033
4,34,439,425,96.81,14,3.19,04034
