ward,precinct,total,Lindsay Huge,Lindsay Huge Percent,precinct_id
2,2,306,306,100.0,02002
2,9,363,363,100.0,02009
2,10,283,283,100.0,02010
2,11,416,416,100.0,02011
2,12,378,378,100.0,02012
2,13,350,350,100.0,02013
2,18,388,388,100.0,02018
2,19,243,243,100.0,02019
2,20,479,479,100.0,02020
2,22,416,416,100.0,02022
2,23,246,246,100.0,02023
2,24,374,374,100.0,02024
2,26,345,345,100.0,02026
2,27,349,349,100.0,02027
2,28,453,453,100.0,02028
2,29,441,441,100.0,02029
2,30,351,351,100.0,02030
2,31,450,450,100.0,02031
2,32,334,334,100.0,02032
2,33,555,555,100.0,02033
2,34,297,297,100.0,02034
2,35,531,531,100.0,02035
2,36,450,450,100.0,02036
2,37,378,378,100.0,02037
2,38,334,334,100.0,02038
2,39,241,241,100.0,02039
2,40,591,591,100.0,02040
2,41,427,427,100.0,02041
2,42,468,468,100.0,02042
2,43,540,540,100.0,02043
2,44,251,251,100.0,02044
2,45,477,477,100.0,02045
2,46,198,198,100.0,02046
3,3,297,297,100.0,03003
3,6,526,526,100.0,03006
3,13,449,449,100.0,03013
3,14,461,461,100.0,03014
3,17,575,575,100.0,03017
3,18,81,81,100.0,03018
3,19,449,449,100.0,03019
3,21,435,435,100.0,03021
3,22,549,549,100.0,03022
3,25,668,668,100.0,03025
3,26,444,444,100.0,03026
3,27,529,529,100.0,03027
3,32,492,492,100.0,03032
3,33,509,509,100.0,03033
3,34,530,530,100.0,03034
3,39,680,680,100.0,03039
3,40,417,417,100.0,03040
4,2,565,565,100.0,04002
4,6,128,128,100.0,04006
4,13,548,548,100.0,04013
4,16,749,749,100.0,04016
4,17,561,561,100.0,04017
4,20,367,367,100.0,04020
4,21,607,607,100.0,04021
4,25,474,474,100.0,04025
4,37,801,801,100.0,04037
11,30,149,149,100.0,11030
11,36,121,121,100.0,11036
11,37,77,77,100.0,11037
25,6,107,107,100.0,25006
25,14,164,164,100.0,25014
25,18,161,161,100.0,25018
25,21,680,680,100.0,25021
25,27,208,208,100.0,25027
27,6,378,378,100.0,27006
27,9,153,153,100.0,27009
27,11,159,159,100.0,27011
27,12,263,263,100.0,27012
27,20,238,238,100.0,27020
27,21,346,346,100.0,27021
27,28,335,335,100.0,27028
27,35,293,293,100.0,27035
27,37,375,375,100.0,27037
27,38,484,484,100.0,27038
27,42,228,228,100.0,27042
27,46,262,262,100.0,27046
27,47,190,190,100.0,27047
27,48,592,592,100.0,27048
32,7,473,473,100.0,32007
32,8,522,522,100.0,32008
32,10,446,446,100.0,32010
32,13,159,159,100.0,32013
32,18,371,371,100.0,32018
32,23,468,468,100.0,32023
32,27,46,46,100.0,32027
32,39,453,453,100.0,32039
40,13,308,308,100.0,40013
40,21,140,140,100.0,40021
40,22,480,480,100.0,40022
40,23,516,516,100.0,40023
40,26,458,458,100.0,40026
40,28,115,115,100.0,40028
40,31,489,489,100.0,40031
40,32,476,476,100.0,40032
40,33,434,434,100.0,40033
40,36,370,370,100.0,40036
42,1,321,321,100.0,42001
42,2,495,495,100.0,42002
42,4,848,848,100.0,42004
42,5,386,386,100.0,42005
42,6,384,384,100.0,42006
42,7,515,515,100.0,42007
42,8,348,348,100.0,42008
42,9,538,538,100.0,42009
42,10,596,596,100.0,42010
42,11,253,253,100.0,42011
42,12,210,210,100.0,42012
42,13,342,342,100.0,42013
42,14,569,569,100.0,42014
42,15,471,471,100.0,42015
42,17,556,556,100.0,42017
42,18,0,0,0.0,42018
42,19,486,486,100.0,42019
42,20,472,472,100.0,42020
42,22,207,207,100.0,42022
42,23,440,440,100.0,42023
42,24,415,415,100.0,42024
42,25,422,422,100.0,42025
42,26,582,582,100.0,42026
42,27,299,299,100.0,42027
42,28,458,458,100.0,42028
42,29,467,467,100.0,42029
42,30,323,323,100.0,42030
42,31,509,509,100.0,42031
42,32,451,451,100.0,42032
42,33,519,519,100.0,42033
42,34,347,347,100.0,42034
42,35,566,566,100.0,42035
42,36,152,152,100.0,42036
42,37,344,344,100.0,42037
42,38,400,400,100.0,42038
42,39,635,635,100.0,42039
42,40,614,614,100.0,42040
42,42,764,764,100.0,42042
43,1,238,238,100.0,43001
43,2,473,473,100.0,43002
43,3,415,415,100.0,43003
43,4,490,490,100.0,43004
43,5,391,391,100.0,43005
43,6,356,356,100.0,43006
43,7,279,279,100.0,43007
43,8,308,308,100.0,43008
43,9,428,428,100.0,43009
43,10,503,503,100.0,43010
43,11,382,382,100.0,43011
43,12,322,322,100.0,43012
43,13,434,434,100.0,43013
43,14,414,414,100.0,43014
43,15,437,437,100.0,43015
43,16,515,515,100.0,43016
43,17,339,339,100.0,43017
43,18,494,494,100.0,43018
43,19,481,481,100.0,43019
43,20,483,483,100.0,43020
43,21,471,471,100.0,43021
43,22,300,300,100.0,43022
43,23,327,327,100.0,43023
43,24,300,300,100.0,43024
43,25,341,341,100.0,43025
43,26,265,265,100.0,43026
43,27,430,430,100.0,43027
43,28,547,547,100.0,43028
43,29,422,422,100.0,43029
43,30,478,478,100.0,43030
43,31,422,422,100.0,43031
43,32,454,454,100.0,43032
43,33,419,419,100.0,43033
43,34,313,313,100.0,43034
43,35,412,412,100.0,43035
43,36,266,266,100.0,43036
43,37,511,511,100.0,43037
43,38,283,283,100.0,43038
43,39,399,399,100.0,43039
43,40,322,322,100.0,43040
43,41,577,577,100.0,43041
43,42,431,431,100.0,43042
43,43,368,368,100.0,43043
43,44,416,416,100.0,43044
43,45,257,257,100.0,43045
43,46,258,258,100.0,43046
44,1,786,786,100.0,44001
44,2,451,451,100.0,44002
44,3,295,295,100.0,44003
44,4,379,379,100.0,44004
44,5,576,576,100.0,44005
44,6,630,630,100.0,44006
44,7,309,309,100.0,44007
44,8,686,686,100.0,44008
44,9,477,477,100.0,44009
44,10,512,512,100.0,44010
44,11,511,511,100.0,44011
44,12,513,513,100.0,44012
44,13,373,373,100.0,44013
44,14,446,446,100.0,44014
44,15,433,433,100.0,44015
44,16,528,528,100.0,44016
44,17,671,671,100.0,44017
44,18,541,541,100.0,44018
44,19,604,604,100.0,44019
44,20,555,555,100.0,44020
44,21,648,648,100.0,44021
44,22,505,505,100.0,44022
44,23,505,505,100.0,44023
44,24,355,355,100.0,44024
44,25,487,487,100.0,44025
44,26,609,609,100.0,44026
44,27,571,571,100.0,44027
44,28,488,488,100.0,44028
44,29,493,493,100.0,44029
44,30,581,581,100.0,44030
44,31,414,414,100.0,44031
44,32,531,531,100.0,44032
44,33,542,542,100.0,44033
44,34,530,530,100.0,44034
44,35,549,549,100.0,44035
44,36,532,532,100.0,44036
44,37,553,553,100.0,44037
44,38,483,483,100.0,44038
44,39,512,512,100.0,44039
44,40,433,433,100.0,44040
44,41,625,625,100.0,44041
46,1,335,335,100.0,46001
46,2,422,422,100.0,46002
46,3,544,544,100.0,46003
46,4,437,437,100.0,46004
46,5,619,619,100.0,46005
46,6,369,369,100.0,46006
46,7,437,437,100.0,46007
46,8,290,290,100.0,46008
46,9,509,509,100.0,46009
46,10,746,746,100.0,46010
46,11,408,408,100.0,46011
46,12,516,516,100.0,46012
46,13,452,452,100.0,46013
46,14,400,400,100.0,46014
46,15,454,454,100.0,46015
46,16,545,545,100.0,46016
46,17,502,502,100.0,46017
46,18,516,516,100.0,46018
46,19,301,301,100.0,46019
46,20,355,355,100.0,46020
