ward,precinct,total,Janice D. Schakowsky,Janice D. Schakowsky Percent,John D. Elleson,John D. Elleson Percent,precinct_id
40,4,285,241,84.56,44,15.44,40004
40,9,405,351,86.67,54,13.33,40009
40,10,348,310,89.08,38,10.92,40010
40,18,378,341,90.21,37,9.79,40018
40,22,586,546,93.17,40,6.83,40022
40,25,114,110,96.49,4,3.51,40025
40,26,565,526,93.1,39,6.9,40026
40,27,706,623,88.24,83,11.76,40027
40,28,569,515,90.51,54,9.49,40028
40,31,507,473,93.29,34,6.71,40031
40,33,529,495,93.57,34,6.43,40033
40,35,340,285,83.82,55,16.18,40035
40,36,493,438,88.84,55,11.16,40036
40,37,469,428,91.26,41,8.74,40037
40,39,187,164,87.7,23,12.3,40039
41,1,423,227,53.66,196,46.34,41001
41,2,436,217,49.77,219,50.23,41002
41,4,478,299,62.55,179,37.45,41004
41,5,546,346,63.37,200,36.63,41005
41,7,523,308,58.89,215,41.11,41007
41,8,467,269,57.6,198,42.4,41008
41,10,497,308,61.97,189,38.03,41010
41,11,376,197,52.39,179,47.61,41011
41,13,546,314,57.51,232,42.49,41013
41,15,586,356,60.75,230,39.25,41015
41,17,85,49,57.65,36,42.35,41017
41,18,440,272,61.82,168,38.18,41018
41,20,353,208,58.92,145,41.08,41020
41,23,252,108,42.86,144,57.14,41023
41,25,355,231,65.07,124,34.93,41025
41,28,468,334,71.37,134,28.63,41028
41,29,324,214,66.05,110,33.95,41029
41,31,503,323,64.21,180,35.79,41031
41,33,82,54,65.85,28,34.15,41033
41,34,418,251,60.05,167,39.95,41034
41,36,471,295,62.63,176,37.37,41036
41,37,530,344,64.91,186,35.09,41037
41,40,500,251,50.2,249,49.8,41040
41,41,495,275,55.56,220,44.44,41041
41,42,446,257,57.62,189,42.38,41042
41,43,490,305,62.24,185,37.76,41043
41,44,483,230,47.62,253,52.38,41044
41,45,258,163,63.18,95,36.82,41045
44,3,398,334,83.92,64,16.08,44003
44,4,566,462,81.63,104,18.37,44004
44,7,458,356,77.73,102,22.27,44007
44,24,472,397,84.11,75,15.89,44024
44,35,764,651,85.21,113,14.79,44035
46,1,418,377,90.19,41,9.81,46001
46,2,542,510,94.1,32,5.9,46002
46,4,541,504,93.16,37,6.84,46004
46,5,16,12,75.0,4,25.0,46005
46,6,495,462,93.33,33,6.67,46006
46,7,637,540,84.77,97,15.23,46007
46,8,385,343,89.09,42,10.91,46008
46,9,650,604,92.92,46,7.08,46009
46,11,572,493,86.19,79,13.81,46011
46,12,532,494,92.86,38,7.14,46012
46,13,566,511,90.28,55,9.72,46013
46,14,525,480,91.43,45,8.57,46014
46,15,582,505,86.77,77,13.23,46015
46,16,387,359,92.76,28,7.24,46016
46,17,662,577,87.16,85,12.84,46017
46,18,645,555,86.05,90,13.95,46018
46,20,467,433,92.72,34,7.28,46020
46,21,391,338,86.45,53,13.55,46021
46,22,442,402,90.95,40,9.05,46022
46,23,458,433,94.54,25,5.46,46023
46,24,506,441,87.15,65,12.85,46024
46,25,546,521,95.42,25,4.58,46025
46,26,662,620,93.66,42,6.34,46026
46,27,760,686,90.26,74,9.74,46027
46,29,493,432,87.63,61,12.37,46029
46,32,572,507,88.64,65,11.36,46032
46,34,675,619,91.7,56,8.3,46034
46,35,649,597,91.99,52,8.01,46035
46,37,519,470,90.56,49,9.44,46037
46,38,81,73,90.12,8,9.88,46038
46,40,488,449,92.01,39,7.99,46040
47,15,735,696,94.69,39,5.31,47015
47,19,758,723,95.38,35,4.62,47019
47,23,658,619,94.07,39,5.93,47023
47,30,379,353,93.14,26,6.86,47030
48,1,522,495,94.83,27,5.17,48001
48,2,276,239,86.59,37,13.41,48002
48,3,618,561,90.78,57,9.22,48003
48,4,550,516,93.82,34,6.18,48004
48,5,343,303,88.34,40,11.66,48005
48,6,675,615,91.11,60,8.89,48006
48,7,570,540,94.74,30,5.26,48007
48,8,314,267,85.03,47,14.97,48008
48,9,359,290,80.78,69,19.22,48009
48,10,816,767,94.0,49,6.0,48010
48,11,518,477,92.08,41,7.92,48011
48,12,689,637,92.45,52,7.55,48012
48,13,703,612,87.06,91,12.94,48013
48,14,289,246,85.12,43,14.88,48014
48,15,391,351,89.77,40,10.23,48015
48,16,588,540,91.84,48,8.16,48016
48,17,508,462,90.94,46,9.06,48017
48,18,387,350,90.44,37,9.56,48018
48,19,379,351,92.61,28,7.39,48019
48,20,654,609,93.12,45,6.88,48020
48,21,713,640,89.76,73,10.24,48021
48,22,494,422,85.43,72,14.57,48022
48,23,622,525,84.41,97,15.59,48023
48,24,638,509,79.78,129,20.22,48024
48,25,519,478,92.1,41,7.9,48025
48,26,272,245,90.07,27,9.93,48026
48,27,798,745,93.36,53,6.64,48027
48,28,634,497,78.39,137,21.61,48028
48,29,298,269,90.27,29,9.73,48029
48,30,501,464,92.61,37,7.39,48030
48,31,712,638,89.61,74,10.39,48031
48,32,587,537,91.48,50,8.52,48032
48,33,312,266,85.26,46,14.74,48033
48,34,496,460,92.74,36,7.26,48034
48,35,387,320,82.69,67,17.31,48035
48,36,332,283,85.24,49,14.76,48036
48,37,589,556,94.4,33,5.6,48037
48,38,580,518,89.31,62,10.69,48038
48,39,456,394,86.4,62,13.6,48039
48,40,503,465,92.45,38,7.55,48040
48,41,713,664,93.13,49,6.87,48041
48,42,665,628,94.44,37,5.56,48042
48,43,613,563,91.84,50,8.16,48043
48,44,714,685,95.94,29,4.06,48044
48,45,432,400,92.59,32,7.41,48045
48,46,383,338,88.25,45,11.75,48046
49,1,351,335,95.44,16,4.56,49001
49,2,385,361,93.77,24,6.23,49002
49,3,611,582,95.25,29,4.75,49003
49,4,694,647,93.23,47,6.77,49004
49,5,556,528,94.96,28,5.04,49005
49,6,517,476,92.07,41,7.93,49006
49,7,618,549,88.83,69,11.17,49007
49,8,454,424,93.39,30,6.61,49008
49,9,607,565,93.08,42,6.92,49009
49,10,547,503,91.96,44,8.04,49010
49,11,647,603,93.2,44,6.8,49011
49,12,764,719,94.11,45,5.89,49012
49,13,642,592,92.21,50,7.79,49013
49,14,482,438,90.87,44,9.13,49014
49,15,397,368,92.7,29,7.3,49015
49,16,545,496,91.01,49,8.99,49016
49,17,394,341,86.55,53,13.45,49017
49,18,751,717,95.47,34,4.53,49018
49,19,513,482,93.96,31,6.04,49019
49,20,812,765,94.21,47,5.79,49020
49,21,325,295,90.77,30,9.23,49021
49,22,549,495,90.16,54,9.84,49022
49,23,746,701,93.97,45,6.03,49023
49,24,456,427,93.64,29,6.36,49024
49,25,744,691,92.88,53,7.12,49025
49,26,651,585,89.86,66,10.14,49026
49,27,646,602,93.19,44,6.81,49027
49,28,756,719,95.11,37,4.89,49028
49,29,696,638,91.67,58,8.33,49029
49,30,653,592,90.66,61,9.34,49030
49,31,441,402,91.16,39,8.84,49031
49,32,541,515,95.19,26,4.81,49032
49,33,456,431,94.52,25,5.48,49033
50,1,405,243,60.0,162,40.0,50001
50,2,270,170,62.96,100,37.04,50002
50,3,390,239,61.28,151,38.72,50003
50,4,461,360,78.09,101,21.91,50004
50,5,302,156,51.66,146,48.34,50005
50,6,473,377,79.7,96,20.3,50006
50,7,476,419,88.03,57,11.97,50007
50,8,430,389,90.47,41,9.53,50008
50,9,355,283,79.72,72,20.28,50009
50,10,378,264,69.84,114,30.16,50010
50,11,286,116,40.56,170,59.44,50011
50,12,179,131,73.18,48,26.82,50012
50,13,455,416,91.43,39,8.57,50013
50,14,152,100,65.79,52,34.21,50014
50,15,483,417,86.34,66,13.66,50015
50,16,139,86,61.87,53,38.13,50016
50,17,410,298,72.68,112,27.32,50017
50,18,112,62,55.36,50,44.64,50018
50,19,256,214,83.59,42,16.41,50019
50,20,401,331,82.54,70,17.46,50020
50,21,379,315,83.11,64,16.89,50021
50,22,353,233,66.01,120,33.99,50022
50,23,275,196,71.27,79,28.73,50023
50,25,377,221,58.62,156,41.38,50025
50,26,383,306,79.9,77,20.1,50026
50,27,126,81,64.29,45,35.71,50027
50,28,445,373,83.82,72,16.18,50028
50,29,355,314,88.45,41,11.55,50029
50,30,276,245,88.77,31,11.23,50030
50,31,516,471,91.28,45,8.72,50031
50,32,447,412,92.17,35,7.83,50032
50,33,358,169,47.21,189,52.79,50033
50,34,590,433,73.39,157,26.61,50034
50,35,535,483,90.28,52,9.72,50035
50,36,390,321,82.31,69,17.69,50036
50,37,456,392,85.96,64,14.04,50037
50,38,187,137,73.26,50,26.74,50038
50,39,257,166,64.59,91,35.41,50039
50,40,435,180,41.38,255,58.62,50040
