ward,precinct,total,Aaron M. Ortiz,Aaron M. Ortiz Percent,precinct_id
12,20,3,3,100.0,12020
14,1,261,261,100.0,14001
14,2,397,397,100.0,14002
14,4,283,283,100.0,14004
14,5,434,434,100.0,14005
14,6,122,122,100.0,14006
14,7,370,370,100.0,14007
14,8,342,342,100.0,14008
14,9,358,358,100.0,14009
14,10,217,217,100.0,14010
14,12,336,336,100.0,14012
14,13,256,256,100.0,14013
14,14,281,281,100.0,14014
14,16,218,218,100.0,14016
14,17,261,261,100.0,14017
14,18,27,27,100.0,14018
14,19,282,282,100.0,14019
14,20,223,223,100.0,14020
14,21,300,300,100.0,14021
14,22,123,123,100.0,14022
14,23,177,177,100.0,14023
14,24,339,339,100.0,14024
14,25,183,183,100.0,14025
14,26,241,241,100.0,14026
14,27,296,296,100.0,14027
14,28,239,239,100.0,14028
14,29,256,256,100.0,14029
14,30,180,180,100.0,14030
14,31,186,186,100.0,14031
15,3,27,27,100.0,15003
15,4,299,299,100.0,15004
15,8,253,253,100.0,15008
15,9,42,42,100.0,15009
15,10,178,178,100.0,15010
15,11,176,176,100.0,15011
15,12,319,319,100.0,15012
15,16,325,325,100.0,15016
15,19,261,261,100.0,15019
16,1,348,348,100.0,16001
16,2,77,77,100.0,16002
16,7,230,230,100.0,16007
16,11,242,242,100.0,16011
16,13,240,240,100.0,16013
16,17,195,195,100.0,16017
16,23,290,290,100.0,16023
16,32,273,273,100.0,16032
16,35,308,308,100.0,16035
17,1,187,187,100.0,17001
17,7,254,254,100.0,17007
17,12,401,401,100.0,17012
17,14,349,349,100.0,17014
17,16,275,275,100.0,17016
17,30,80,80,100.0,17030
22,1,195,195,100.0,22001
22,2,362,362,100.0,22002
22,8,403,403,100.0,22008
22,12,272,272,100.0,22012
22,23,419,419,100.0,22023
23,3,261,261,100.0,23003
23,6,107,107,100.0,23006
23,12,22,22,100.0,23012
23,14,221,221,100.0,23014
23,17,130,130,100.0,23017
23,19,260,260,100.0,23019
23,20,16,16,100.0,23020
23,22,95,95,100.0,23022
23,24,159,159,100.0,23024
23,25,234,234,100.0,23025
23,26,136,136,100.0,23026
23,31,249,249,100.0,23031
23,37,106,106,100.0,23037
