ward,precinct,total,Brandon Johnson,Brandon Johnson Percent,precinct_id
1,12,151,151,100.0,01012
1,32,467,467,100.0,01032
26,28,457,457,100.0,26028
26,32,373,373,100.0,26032
27,3,218,218,100.0,27003
27,4,202,202,100.0,27004
27,5,283,283,100.0,27005
27,8,274,274,100.0,27008
27,15,177,177,100.0,27015
27,19,172,172,100.0,27019
27,22,161,161,100.0,27022
27,23,273,273,100.0,27023
27,24,257,257,100.0,27024
27,26,273,273,100.0,27026
27,29,228,228,100.0,27029
27,31,282,282,100.0,27031
27,34,252,252,100.0,27034
27,36,302,302,100.0,27036
27,43,37,37,100.0,27043
27,44,240,240,100.0,27044
28,1,198,198,100.0,28001
28,2,269,269,100.0,28002
28,3,231,231,100.0,28003
28,7,283,283,100.0,28007
28,9,156,156,100.0,28009
28,12,297,297,100.0,28012
28,13,319,319,100.0,28013
28,14,221,221,100.0,28014
28,15,58,58,100.0,28015
28,17,186,186,100.0,28017
28,20,275,275,100.0,28020
28,21,248,248,100.0,28021
28,22,262,262,100.0,28022
28,23,333,333,100.0,28023
28,24,235,235,100.0,28024
28,25,396,396,100.0,28025
28,26,276,276,100.0,28026
28,31,387,387,100.0,28031
28,33,309,309,100.0,28033
28,36,4,4,100.0,28036
28,37,363,363,100.0,28037
28,38,139,139,100.0,28038
28,39,216,216,100.0,28039
28,40,292,292,100.0,28040
28,41,223,223,100.0,28041
28,42,295,295,100.0,28042
28,43,368,368,100.0,28043
28,44,206,206,100.0,28044
29,1,471,471,100.0,29001
29,2,303,303,100.0,29002
29,3,392,392,100.0,29003
29,4,387,387,100.0,29004
29,5,306,306,100.0,29005
29,6,47,47,100.0,29006
29,7,371,371,100.0,29007
29,8,321,321,100.0,29008
29,9,392,392,100.0,29009
29,10,473,473,100.0,29010
29,11,213,213,100.0,29011
29,12,454,454,100.0,29012
29,13,394,394,100.0,29013
29,14,344,344,100.0,29014
29,15,417,417,100.0,29015
29,16,355,355,100.0,29016
29,17,330,330,100.0,29017
29,18,350,350,100.0,29018
29,19,376,376,100.0,29019
29,20,434,434,100.0,29020
29,21,463,463,100.0,29021
29,22,250,250,100.0,29022
29,23,374,374,100.0,29023
29,24,326,326,100.0,29024
29,25,440,440,100.0,29025
29,26,358,358,100.0,29026
29,27,337,337,100.0,29027
29,28,434,434,100.0,29028
29,29,288,288,100.0,29029
29,30,474,474,100.0,29030
29,31,305,305,100.0,29031
29,32,289,289,100.0,29032
29,33,262,262,100.0,29033
29,34,263,263,100.0,29034
29,35,283,283,100.0,29035
29,36,327,327,100.0,29036
29,37,348,348,100.0,29037
29,38,353,353,100.0,29038
29,39,304,304,100.0,29039
29,40,411,411,100.0,29040
29,41,285,285,100.0,29041
29,42,408,408,100.0,29042
29,43,457,457,100.0,29043
29,44,462,462,100.0,29044
36,1,301,301,100.0,36001
36,3,285,285,100.0,36003
36,4,201,201,100.0,36004
36,7,336,336,100.0,36007
36,10,370,370,100.0,36010
36,19,359,359,100.0,36019
36,24,40,40,100.0,36024
36,26,280,280,100.0,36026
36,27,309,309,100.0,36027
36,28,268,268,100.0,36028
36,29,319,319,100.0,36029
37,1,221,221,100.0,37001
37,2,264,264,100.0,37002
37,3,232,232,100.0,37003
37,4,248,248,100.0,37004
37,5,352,352,100.0,37005
37,6,368,368,100.0,37006
37,7,225,225,100.0,37007
37,8,224,224,100.0,37008
37,9,338,338,100.0,37009
37,10,375,375,100.0,37010
37,11,212,212,100.0,37011
37,12,228,228,100.0,37012
37,13,230,230,100.0,37013
37,14,342,342,100.0,37014
37,15,332,332,100.0,37015
37,16,348,348,100.0,37016
37,17,262,262,100.0,37017
37,18,265,265,100.0,37018
37,19,227,227,100.0,37019
37,20,265,265,100.0,37020
37,21,282,282,100.0,37021
37,22,270,270,100.0,37022
37,23,305,305,100.0,37023
37,24,348,348,100.0,37024
37,25,289,289,100.0,37025
37,26,414,414,100.0,37026
37,27,297,297,100.0,37027
37,28,268,268,100.0,37028
37,29,280,280,100.0,37029
37,30,314,314,100.0,37030
37,31,332,332,100.0,37031
37,32,276,276,100.0,37032
37,33,342,342,100.0,37033
37,34,303,303,100.0,37034
37,35,338,338,100.0,37035
37,36,313,313,100.0,37036
37,37,335,335,100.0,37037
37,38,314,314,100.0,37038
37,39,299,299,100.0,37039
37,40,339,339,100.0,37040
37,41,314,314,100.0,37041
