ward,precinct,total,Ram Villivalam,Ram Villivalam Percent,precinct_id
33,2,265,265,100.0,33002
33,7,118,118,100.0,33007
35,30,2,2,100.0,35030
39,1,348,348,100.0,39001
39,2,333,333,100.0,39002
39,4,305,305,100.0,39004
39,5,369,369,100.0,39005
39,6,360,360,100.0,39006
39,7,348,348,100.0,39007
39,8,384,384,100.0,39008
39,9,350,350,100.0,39009
39,10,202,202,100.0,39010
39,11,325,325,100.0,39011
39,12,229,229,100.0,39012
39,13,266,266,100.0,39013
39,14,407,407,100.0,39014
39,15,356,356,100.0,39015
39,16,296,296,100.0,39016
39,17,386,386,100.0,39017
39,18,365,365,100.0,39018
39,19,382,382,100.0,39019
39,24,6,6,100.0,39024
39,25,58,58,100.0,39025
39,26,316,316,100.0,39026
39,27,62,62,100.0,39027
39,29,227,227,100.0,39029
39,30,430,430,100.0,39030
39,31,41,41,100.0,39031
39,32,285,285,100.0,39032
39,33,411,411,100.0,39033
39,35,384,384,100.0,39035
39,36,113,113,100.0,39036
39,37,347,347,100.0,39037
39,38,209,209,100.0,39038
39,39,232,232,100.0,39039
39,40,304,304,100.0,39040
39,41,360,360,100.0,39041
39,42,322,322,100.0,39042
39,43,357,357,100.0,39043
39,44,258,258,100.0,39044
39,45,311,311,100.0,39045
40,4,206,206,100.0,40004
40,10,302,302,100.0,40010
40,29,0,0,0.0,40029
40,35,0,0,0.0,40035
40,39,95,95,100.0,40039
41,6,384,384,100.0,41006
41,9,314,314,100.0,41009
41,14,367,367,100.0,41014
41,19,358,358,100.0,41019
41,32,267,267,100.0,41032
41,39,334,334,100.0,41039
41,47,335,335,100.0,41047
45,32,86,86,100.0,45032
50,1,278,278,100.0,50001
50,2,194,194,100.0,50002
50,3,258,258,100.0,50003
50,4,350,350,100.0,50004
50,5,179,179,100.0,50005
50,6,390,390,100.0,50006
50,7,400,400,100.0,50007
50,8,62,62,100.0,50008
50,9,288,288,100.0,50009
50,10,274,274,100.0,50010
50,11,148,148,100.0,50011
50,12,130,130,100.0,50012
50,13,403,403,100.0,50013
50,14,105,105,100.0,50014
50,15,413,413,100.0,50015
50,16,94,94,100.0,50016
50,17,297,297,100.0,50017
50,18,55,55,100.0,50018
50,19,218,218,100.0,50019
50,20,327,327,100.0,50020
50,21,299,299,100.0,50021
50,22,232,232,100.0,50022
50,23,201,201,100.0,50023
50,24,172,172,100.0,50024
50,25,259,259,100.0,50025
50,26,295,295,100.0,50026
50,27,79,79,100.0,50027
50,28,359,359,100.0,50028
50,29,311,311,100.0,50029
50,30,236,236,100.0,50030
50,31,459,459,100.0,50031
50,32,388,388,100.0,50032
50,33,221,221,100.0,50033
50,34,446,446,100.0,50034
50,35,473,473,100.0,50035
50,36,326,326,100.0,50036
50,37,387,387,100.0,50037
50,38,134,134,100.0,50038
50,39,180,180,100.0,50039
50,40,216,216,100.0,50040
