ward,precinct,total,Karen A. Yarbrough,Karen A. Yarbrough Percent,precinct_id
1,1,527,527,100.0,01001
1,2,423,423,100.0,01002
1,3,568,568,100.0,01003
1,4,548,548,100.0,01004
1,5,578,578,100.0,01005
1,6,471,471,100.0,01006
1,7,359,359,100.0,01007
1,8,419,419,100.0,01008
1,9,360,360,100.0,01009
1,10,627,627,100.0,01010
1,11,573,573,100.0,01011
1,12,565,565,100.0,01012
1,13,221,221,100.0,01013
1,14,452,452,100.0,01014
1,15,433,433,100.0,01015
1,16,584,584,100.0,01016
1,17,426,426,100.0,01017
1,18,467,467,100.0,01018
1,19,553,553,100.0,01019
1,20,399,399,100.0,01020
1,21,666,666,100.0,01021
1,22,316,316,100.0,01022
1,23,685,685,100.0,01023
1,24,420,420,100.0,01024
1,25,475,475,100.0,01025
1,26,307,307,100.0,01026
1,27,517,517,100.0,01027
1,28,112,112,100.0,01028
1,29,589,589,100.0,01029
1,30,520,520,100.0,01030
1,31,436,436,100.0,01031
1,32,465,465,100.0,01032
1,33,545,545,100.0,01033
1,34,386,386,100.0,01034
1,35,587,587,100.0,01035
1,36,492,492,100.0,01036
1,37,478,478,100.0,01037
1,38,442,442,100.0,01038
1,39,425,425,100.0,01039
1,40,464,464,100.0,01040
1,41,287,287,100.0,01041
1,42,161,161,100.0,01042
1,43,302,302,100.0,01043
1,44,446,446,100.0,01044
2,1,554,554,100.0,02001
2,2,350,350,100.0,02002
2,3,568,568,100.0,02003
2,4,435,435,100.0,02004
2,5,585,585,100.0,02005
2,6,486,486,100.0,02006
2,7,459,459,100.0,02007
2,8,565,565,100.0,02008
2,9,405,405,100.0,02009
2,10,343,343,100.0,02010
2,11,476,476,100.0,02011
2,12,455,455,100.0,02012
2,13,403,403,100.0,02013
2,14,511,511,100.0,02014
2,15,481,481,100.0,02015
2,16,443,443,100.0,02016
2,17,591,591,100.0,02017
2,18,451,451,100.0,02018
2,19,314,314,100.0,02019
2,20,519,519,100.0,02020
2,21,526,526,100.0,02021
2,22,480,480,100.0,02022
2,23,308,308,100.0,02023
2,24,430,430,100.0,02024
2,25,522,522,100.0,02025
2,26,406,406,100.0,02026
2,27,393,393,100.0,02027
2,28,513,513,100.0,02028
2,29,529,529,100.0,02029
2,30,398,398,100.0,02030
2,31,517,517,100.0,02031
2,32,351,351,100.0,02032
2,33,654,654,100.0,02033
2,34,347,347,100.0,02034
2,35,584,584,100.0,02035
2,36,501,501,100.0,02036
2,37,432,432,100.0,02037
2,38,399,399,100.0,02038
2,39,279,279,100.0,02039
2,40,653,653,100.0,02040
2,41,484,484,100.0,02041
2,42,530,530,100.0,02042
2,43,608,608,100.0,02043
2,44,286,286,100.0,02044
2,45,542,542,100.0,02045
2,46,240,240,100.0,02046
3,1,599,599,100.0,03001
3,2,564,564,100.0,03002
3,3,391,391,100.0,03003
3,4,522,522,100.0,03004
3,5,294,294,100.0,03005
3,6,596,596,100.0,03006
3,7,307,307,100.0,03007
3,8,380,380,100.0,03008
3,9,476,476,100.0,03009
3,10,210,210,100.0,03010
3,11,495,495,100.0,03011
3,12,476,476,100.0,03012
3,13,516,516,100.0,03013
3,14,532,532,100.0,03014
3,15,434,434,100.0,03015
3,16,409,409,100.0,03016
3,17,652,652,100.0,03017
