ward,precinct,total,Ann M. Williams,Ann M. Williams Percent,precinct_id
1,28,112,112,100.0,01028
1,42,52,52,100.0,01042
2,20,58,58,100.0,02020
2,22,493,493,100.0,02022
2,24,428,428,100.0,02024
2,26,408,408,100.0,02026
32,1,390,390,100.0,32001
32,5,31,31,100.0,32005
32,7,526,526,100.0,32007
32,8,604,604,100.0,32008
32,9,457,457,100.0,32009
32,10,491,491,100.0,32010
32,13,516,516,100.0,32013
32,15,485,485,100.0,32015
32,16,510,510,100.0,32016
32,18,434,434,100.0,32018
32,19,516,516,100.0,32019
32,21,525,525,100.0,32021
32,23,531,531,100.0,32023
32,24,362,362,100.0,32024
32,25,516,516,100.0,32025
32,27,452,452,100.0,32027
32,29,130,130,100.0,32029
32,30,488,488,100.0,32030
32,33,234,234,100.0,32033
32,34,65,65,100.0,32034
32,36,13,13,100.0,32036
32,37,281,281,100.0,32037
32,38,453,453,100.0,32038
32,39,524,524,100.0,32039
32,40,555,555,100.0,32040
32,41,524,524,100.0,32041
32,42,446,446,100.0,32042
33,3,105,105,100.0,33003
33,5,102,102,100.0,33005
33,8,653,653,100.0,33008
33,10,452,452,100.0,33010
33,20,61,61,100.0,33020
33,23,526,526,100.0,33023
33,24,626,626,100.0,33024
43,2,542,542,100.0,43002
43,6,391,391,100.0,43006
43,9,490,490,100.0,43009
43,16,589,589,100.0,43016
43,17,369,369,100.0,43017
43,18,574,574,100.0,43018
43,20,544,544,100.0,43020
43,21,543,543,100.0,43021
43,22,360,360,100.0,43022
43,24,368,368,100.0,43024
43,29,467,467,100.0,43029
43,30,546,546,100.0,43030
43,31,469,469,100.0,43031
43,37,574,574,100.0,43037
43,39,473,473,100.0,43039
43,40,364,364,100.0,43040
43,41,651,651,100.0,43041
43,44,468,468,100.0,43044
43,46,294,294,100.0,43046
44,2,532,532,100.0,44002
44,9,546,546,100.0,44009
44,11,388,388,100.0,44011
44,16,623,623,100.0,44016
44,25,521,521,100.0,44025
44,30,675,675,100.0,44030
47,1,359,359,100.0,47001
47,2,525,525,100.0,47002
47,3,479,479,100.0,47003
47,4,568,568,100.0,47004
47,5,110,110,100.0,47005
47,6,640,640,100.0,47006
47,7,467,467,100.0,47007
47,8,504,504,100.0,47008
47,9,499,499,100.0,47009
47,11,510,510,100.0,47011
47,12,562,562,100.0,47012
47,13,525,525,100.0,47013
47,14,472,472,100.0,47014
47,16,523,523,100.0,47016
47,17,518,518,100.0,47017
47,18,488,488,100.0,47018
47,21,499,499,100.0,47021
47,24,548,548,100.0,47024
47,25,621,621,100.0,47025
47,27,499,499,100.0,47027
47,28,38,38,100.0,47028
47,29,588,588,100.0,47029
47,33,501,501,100.0,47033
47,35,518,518,100.0,47035
47,39,527,527,100.0,47039
47,40,535,535,100.0,47040
47,41,86,86,100.0,47041
47,43,486,486,100.0,47043
47,44,466,466,100.0,47044
47,46,486,486,100.0,47046
47,47,611,611,100.0,47047
47,48,37,37,100.0,47048
