ward,precinct,total,Martin A. Sandoval,Martin A. Sandoval Percent,precinct_id
12,2,290,290,100.0,12002
12,6,324,324,100.0,12006
12,7,314,314,100.0,12007
12,10,345,345,100.0,12010
12,11,342,342,100.0,12011
12,12,337,337,100.0,12012
12,13,69,69,100.0,12013
12,14,311,311,100.0,12014
12,15,255,255,100.0,12015
12,16,302,302,100.0,12016
12,17,200,200,100.0,12017
12,18,287,287,100.0,12018
12,20,389,389,100.0,12020
12,22,280,280,100.0,12022
13,1,238,238,100.0,13001
13,2,233,233,100.0,13002
13,3,250,250,100.0,13003
13,4,270,270,100.0,13004
13,5,344,344,100.0,13005
13,6,261,261,100.0,13006
13,7,221,221,100.0,13007
13,8,230,230,100.0,13008
13,9,308,308,100.0,13009
13,10,243,243,100.0,13010
13,11,305,305,100.0,13011
13,12,258,258,100.0,13012
13,13,274,274,100.0,13013
13,14,294,294,100.0,13014
13,15,413,413,100.0,13015
13,16,209,209,100.0,13016
13,17,234,234,100.0,13017
13,18,205,205,100.0,13018
13,19,331,331,100.0,13019
13,20,151,151,100.0,13020
13,21,291,291,100.0,13021
13,22,304,304,100.0,13022
13,23,212,212,100.0,13023
13,24,286,286,100.0,13024
13,25,300,300,100.0,13025
13,26,280,280,100.0,13026
13,27,266,266,100.0,13027
13,28,232,232,100.0,13028
13,29,219,219,100.0,13029
13,30,244,244,100.0,13030
13,31,297,297,100.0,13031
13,32,223,223,100.0,13032
13,33,269,269,100.0,13033
13,34,329,329,100.0,13034
13,35,263,263,100.0,13035
13,36,190,190,100.0,13036
13,37,315,315,100.0,13037
13,38,227,227,100.0,13038
13,39,300,300,100.0,13039
13,40,286,286,100.0,13040
13,41,330,330,100.0,13041
13,42,245,245,100.0,13042
13,43,281,281,100.0,13043
13,44,279,279,100.0,13044
13,45,297,297,100.0,13045
13,46,353,353,100.0,13046
13,47,329,329,100.0,13047
13,48,223,223,100.0,13048
14,1,34,34,100.0,14001
14,3,323,323,100.0,14003
14,6,25,25,100.0,14006
14,10,0,0,0.0,14010
14,11,193,193,100.0,14011
14,15,350,350,100.0,14015
14,18,93,93,100.0,14018
14,22,284,284,100.0,14022
14,23,68,68,100.0,14023
15,6,286,286,100.0,15006
15,9,36,36,100.0,15009
15,10,224,224,100.0,15010
15,11,147,147,100.0,15011
15,12,39,39,100.0,15012
18,15,343,343,100.0,18015
18,43,225,225,100.0,18043
18,46,207,207,100.0,18046
22,4,99,99,100.0,22004
22,5,4,4,100.0,22005
22,7,52,52,100.0,22007
22,10,388,388,100.0,22010
22,13,177,177,100.0,22013
22,14,216,216,100.0,22014
22,15,204,204,100.0,22015
22,16,255,255,100.0,22016
22,17,48,48,100.0,22017
22,18,150,150,100.0,22018
22,19,2,2,100.0,22019
22,22,272,272,100.0,22022
23,1,261,261,100.0,23001
23,2,280,280,100.0,23002
23,4,322,322,100.0,23004
23,5,321,321,100.0,23005
23,6,225,225,100.0,23006
23,7,251,251,100.0,23007
23,8,353,353,100.0,23008
23,9,268,268,100.0,23009
23,10,353,353,100.0,23010
23,11,324,324,100.0,23011
23,12,256,256,100.0,23012
23,13,285,285,100.0,23013
23,14,37,37,100.0,23014
23,15,280,280,100.0,23015
23,16,274,274,100.0,23016
23,17,76,76,100.0,23017
23,18,224,224,100.0,23018
23,20,158,158,100.0,23020
23,21,263,263,100.0,23021
23,22,206,206,100.0,23022
23,23,258,258,100.0,23023
23,24,102,102,100.0,23024
23,25,18,18,100.0,23025
23,26,186,186,100.0,23026
23,27,219,219,100.0,23027
23,28,285,285,100.0,23028
23,29,248,248,100.0,23029
23,30,341,341,100.0,23030
23,32,298,298,100.0,23032
23,33,323,323,100.0,23033
23,34,297,297,100.0,23034
23,35,180,180,100.0,23035
23,36,269,269,100.0,23036
23,37,173,173,100.0,23037
23,38,254,254,100.0,23038
23,39,335,335,100.0,23039
24,16,358,358,100.0,24016
