ward,precinct,total,Toya T. Harvey,Toya T. Harvey Percent,precinct_id
9,1,299,299,100.0,09001
9,2,271,271,100.0,09002
9,3,202,202,100.0,09003
9,4,229,229,100.0,09004
9,5,284,284,100.0,09005
9,6,281,281,100.0,09006
9,7,241,241,100.0,09007
9,8,293,293,100.0,09008
9,9,307,307,100.0,09009
9,10,233,233,100.0,09010
9,11,200,200,100.0,09011
9,13,13,13,100.0,09013
9,14,59,59,100.0,09014
9,15,319,319,100.0,09015
9,16,280,280,100.0,09016
9,17,202,202,100.0,09017
9,18,217,217,100.0,09018
9,19,280,280,100.0,09019
9,20,274,274,100.0,09020
9,21,264,264,100.0,09021
9,22,285,285,100.0,09022
9,26,324,324,100.0,09026
9,27,251,251,100.0,09027
9,28,180,180,100.0,09028
9,29,248,248,100.0,09029
9,30,231,231,100.0,09030
9,31,224,224,100.0,09031
9,32,308,308,100.0,09032
9,33,221,221,100.0,09033
9,34,223,223,100.0,09034
9,35,205,205,100.0,09035
9,37,376,376,100.0,09037
9,38,308,308,100.0,09038
9,39,341,341,100.0,09039
9,40,320,320,100.0,09040
9,41,243,243,100.0,09041
9,43,251,251,100.0,09043
9,44,271,271,100.0,09044
9,45,236,236,100.0,09045
9,46,292,292,100.0,09046
19,28,255,255,100.0,19028
19,43,67,67,100.0,19043
21,1,349,349,100.0,21001
21,2,81,81,100.0,21002
21,3,333,333,100.0,21003
21,5,332,332,100.0,21005
21,6,255,255,100.0,21006
21,7,297,297,100.0,21007
21,8,315,315,100.0,21008
21,9,348,348,100.0,21009
21,10,292,292,100.0,21010
21,11,279,279,100.0,21011
21,12,284,284,100.0,21012
21,13,225,225,100.0,21013
21,14,322,322,100.0,21014
21,16,286,286,100.0,21016
21,17,152,152,100.0,21017
21,18,337,337,100.0,21018
21,19,337,337,100.0,21019
21,20,20,20,100.0,21020
21,21,258,258,100.0,21021
21,22,264,264,100.0,21022
21,23,272,272,100.0,21023
21,24,318,318,100.0,21024
21,25,267,267,100.0,21025
21,27,322,322,100.0,21027
21,29,354,354,100.0,21029
21,32,276,276,100.0,21032
21,33,123,123,100.0,21033
21,34,139,139,100.0,21034
21,35,354,354,100.0,21035
21,36,280,280,100.0,21036
21,37,226,226,100.0,21037
21,38,281,281,100.0,21038
21,39,255,255,100.0,21039
21,40,270,270,100.0,21040
21,41,306,306,100.0,21041
21,42,324,324,100.0,21042
21,44,207,207,100.0,21044
21,45,272,272,100.0,21045
21,46,334,334,100.0,21046
21,48,194,194,100.0,21048
21,49,339,339,100.0,21049
21,50,241,241,100.0,21050
21,52,23,23,100.0,21052
34,1,353,353,100.0,34001
34,2,254,254,100.0,34002
34,3,318,318,100.0,34003
34,4,237,237,100.0,34004
34,5,284,284,100.0,34005
34,6,367,367,100.0,34006
34,7,368,368,100.0,34007
34,8,265,265,100.0,34008
34,9,187,187,100.0,34009
34,10,303,303,100.0,34010
34,11,280,280,100.0,34011
34,12,351,351,100.0,34012
34,13,312,312,100.0,34013
34,14,228,228,100.0,34014
34,15,274,274,100.0,34015
34,16,266,266,100.0,34016
34,18,234,234,100.0,34018
34,19,239,239,100.0,34019
34,20,384,384,100.0,34020
34,21,382,382,100.0,34021
34,22,334,334,100.0,34022
34,23,256,256,100.0,34023
34,24,287,287,100.0,34024
34,25,468,468,100.0,34025
34,26,337,337,100.0,34026
34,27,263,263,100.0,34027
34,28,196,196,100.0,34028
34,29,232,232,100.0,34029
34,30,307,307,100.0,34030
34,31,249,249,100.0,34031
34,32,318,318,100.0,34032
34,33,256,256,100.0,34033
34,34,337,337,100.0,34034
34,35,348,348,100.0,34035
34,36,282,282,100.0,34036
34,37,187,187,100.0,34037
34,38,147,147,100.0,34038
34,39,219,219,100.0,34039
34,40,347,347,100.0,34040
34,41,189,189,100.0,34041
34,42,310,310,100.0,34042
34,43,289,289,100.0,34043
34,44,300,300,100.0,34044
34,45,308,308,100.0,34045
34,46,217,217,100.0,34046
34,47,304,304,100.0,34047
34,48,341,341,100.0,34048
34,49,103,103,100.0,34049
34,50,259,259,100.0,34050
34,51,340,340,100.0,34051
34,52,248,248,100.0,34052
34,53,198,198,100.0,34053
