ward,precinct,total,Mike Quigley,Mike Quigley Percent,Tom Hanson,Tom Hanson Percent,precinct_id
1,3,650,588,90.46,62,9.54,01003
1,4,631,563,89.22,68,10.78,01004
1,5,649,590,90.91,59,9.09,01005
1,6,552,476,86.23,76,13.77,01006
1,8,505,445,88.12,60,11.88,01008
1,10,736,652,88.59,84,11.41,01010
1,11,665,581,87.37,84,12.63,01011
1,14,395,359,90.89,36,9.11,01014
1,21,774,708,91.47,66,8.53,01021
1,28,135,121,89.63,14,10.37,01028
1,32,316,283,89.56,33,10.44,01032
1,33,649,560,86.29,89,13.71,01033
1,35,684,594,86.84,90,13.16,01035
1,36,596,528,88.59,68,11.41,01036
1,37,579,487,84.11,92,15.89,01037
1,38,57,51,89.47,6,10.53,01038
1,39,494,435,88.06,59,11.94,01039
1,40,544,461,84.74,83,15.26,01040
2,1,648,564,87.04,84,12.96,02001
2,3,665,590,88.72,75,11.28,02003
2,4,514,464,90.27,50,9.73,02004
2,5,693,615,88.74,78,11.26,02005
2,6,552,494,89.49,58,10.51,02006
2,7,549,472,85.97,77,14.03,02007
2,8,674,586,86.94,88,13.06,02008
2,12,241,193,80.08,48,19.92,02012
2,14,96,85,88.54,11,11.46,02014
2,15,557,491,88.15,66,11.85,02015
2,16,515,467,90.68,48,9.32,02016
2,17,1,1,100.0,0,0.0,02017
2,20,354,279,78.81,75,21.19,02020
2,21,591,531,89.85,60,10.15,02021
2,22,631,508,80.51,123,19.49,02022
2,24,532,426,80.08,106,19.92,02024
2,25,614,531,86.48,83,13.52,02025
2,26,519,426,82.08,93,17.92,02026
2,28,397,319,80.35,78,19.65,02028
2,30,489,356,72.8,133,27.2,02030
2,31,679,516,75.99,163,24.01,02031
2,33,860,649,75.47,211,24.53,02033
2,37,537,424,78.96,113,21.04,02037
2,38,122,81,66.39,41,33.61,02038
2,44,357,272,76.19,85,23.81,02044
26,28,294,256,87.07,38,12.93,26028
26,32,442,389,88.01,53,11.99,26032
27,7,626,566,90.42,60,9.58,27007
27,12,342,276,80.7,66,19.3,27012
27,13,91,80,87.91,11,12.09,27013
27,27,24,22,91.67,2,8.33,27027
27,35,31,30,96.77,1,3.23,27035
27,37,20,19,95.0,1,5.0,27037
27,40,82,70,85.37,12,14.63,27040
27,42,190,147,77.37,43,22.63,27042
27,43,15,14,93.33,1,6.67,27043
27,46,380,293,77.11,87,22.89,27046
29,23,55,46,83.64,9,16.36,29023
29,29,384,279,72.66,105,27.34,29029
29,31,415,281,67.71,134,32.29,29031
29,32,406,271,66.75,135,33.25,29032
29,38,2,2,100.0,0,0.0,29038
29,39,201,158,78.61,43,21.39,29039
30,15,304,261,85.86,43,14.14,30015
30,17,209,179,85.65,30,14.35,30017
30,21,318,265,83.33,53,16.67,30021
32,1,633,553,87.36,80,12.64,32001
32,2,627,532,84.85,95,15.15,32002
32,4,548,477,87.04,71,12.96,32004
32,5,587,508,86.54,79,13.46,32005
32,6,683,624,91.36,59,8.64,32006
32,7,629,543,86.33,86,13.67,32007
32,8,716,580,81.01,136,18.99,32008
32,9,552,462,83.7,90,16.3,32009
32,10,608,501,82.4,107,17.6,32010
32,13,626,493,78.75,133,21.25,32013
32,15,581,478,82.27,103,17.73,32015
32,16,566,502,88.69,64,11.31,32016
32,18,542,412,76.01,130,23.99,32018
32,19,583,509,87.31,74,12.69,32019
32,21,633,542,85.62,91,14.38,32021
32,23,664,549,82.68,115,17.32,32023
32,24,460,356,77.39,104,22.61,32024
32,25,583,506,86.79,77,13.21,32025
32,27,563,436,77.44,127,22.56,32027
32,29,639,574,89.83,65,10.17,32029
32,30,605,490,80.99,115,19.01,32030
32,31,624,526,84.29,98,15.71,32031
32,32,650,566,87.08,84,12.92,32032
32,33,613,511,83.36,102,16.64,32033
32,34,647,582,89.95,65,10.05,32034
32,35,625,522,83.52,103,16.48,32035
32,36,644,554,86.02,90,13.98,32036
32,37,583,509,87.31,74,12.69,32037
32,38,547,463,84.64,84,15.36,32038
32,39,668,519,77.69,149,22.31,32039
32,40,654,569,87.0,85,13.0,32040
32,41,618,527,85.28,91,14.72,32041
32,42,528,439,83.14,89,16.86,32042
33,2,703,641,91.18,62,8.82,33002
33,3,51,47,92.16,4,7.84,33003
33,5,512,454,88.67,58,11.33,33005
33,7,395,355,89.87,40,10.13,33007
33,8,469,424,90.41,45,9.59,33008
33,10,77,69,89.61,8,10.39,33010
33,18,757,688,90.89,69,9.11,33018
33,19,286,253,88.46,33,11.54,33019
33,23,38,32,84.21,6,15.79,33023
33,24,746,658,88.2,88,11.8,33024
