ward,precinct,total,Erika Orr,Erika Orr Percent,precinct_id
5,12,123,123,100.0,05012
6,1,350,350,100.0,06001
6,2,348,348,100.0,06002
6,3,337,337,100.0,06003
6,4,243,243,100.0,06004
6,5,200,200,100.0,06005
6,6,349,349,100.0,06006
6,8,334,334,100.0,06008
6,10,188,188,100.0,06010
6,12,236,236,100.0,06012
6,13,243,243,100.0,06013
6,14,297,297,100.0,06014
6,15,45,45,100.0,06015
6,16,318,318,100.0,06016
6,17,212,212,100.0,06017
6,18,160,160,100.0,06018
6,19,286,286,100.0,06019
6,20,183,183,100.0,06020
6,21,10,10,100.0,06021
6,22,194,194,100.0,06022
6,25,146,146,100.0,06025
6,26,33,33,100.0,06026
6,27,178,178,100.0,06027
6,29,342,342,100.0,06029
6,30,23,23,100.0,06030
6,31,343,343,100.0,06031
6,33,305,305,100.0,06033
6,34,332,332,100.0,06034
6,35,288,288,100.0,06035
6,36,386,386,100.0,06036
6,37,325,325,100.0,06037
6,38,338,338,100.0,06038
6,39,245,245,100.0,06039
6,40,193,193,100.0,06040
6,41,320,320,100.0,06041
6,42,317,317,100.0,06042
6,43,273,273,100.0,06043
6,44,301,301,100.0,06044
6,45,327,327,100.0,06045
6,46,212,212,100.0,06046
6,47,217,217,100.0,06047
7,7,289,289,100.0,07007
7,10,356,356,100.0,07010
7,11,332,332,100.0,07011
7,12,256,256,100.0,07012
7,13,145,145,100.0,07013
7,14,308,308,100.0,07014
7,15,289,289,100.0,07015
7,16,242,242,100.0,07016
7,17,243,243,100.0,07017
7,18,254,254,100.0,07018
7,19,295,295,100.0,07019
7,20,224,224,100.0,07020
7,21,220,220,100.0,07021
7,22,247,247,100.0,07022
7,23,301,301,100.0,07023
7,24,233,233,100.0,07024
7,25,241,241,100.0,07025
7,26,260,260,100.0,07026
7,27,237,237,100.0,07027
7,28,221,221,100.0,07028
7,29,247,247,100.0,07029
7,30,212,212,100.0,07030
7,31,212,212,100.0,07031
7,32,419,419,100.0,07032
7,33,422,422,100.0,07033
7,34,376,376,100.0,07034
7,35,323,323,100.0,07035
7,36,380,380,100.0,07036
7,37,332,332,100.0,07037
7,38,266,266,100.0,07038
7,39,290,290,100.0,07039
7,40,257,257,100.0,07040
7,41,316,316,100.0,07041
7,42,255,255,100.0,07042
7,43,317,317,100.0,07043
7,44,261,261,100.0,07044
7,45,262,262,100.0,07045
7,46,129,129,100.0,07046
8,2,42,42,100.0,08002
8,3,358,358,100.0,08003
8,4,376,376,100.0,08004
8,5,337,337,100.0,08005
8,6,339,339,100.0,08006
8,7,363,363,100.0,08007
8,8,316,316,100.0,08008
8,9,227,227,100.0,08009
8,10,421,421,100.0,08010
8,11,258,258,100.0,08011
8,12,269,269,100.0,08012
8,13,322,322,100.0,08013
8,14,228,228,100.0,08014
8,15,281,281,100.0,08015
8,16,86,86,100.0,08016
8,17,283,283,100.0,08017
8,18,284,284,100.0,08018
8,19,344,344,100.0,08019
8,20,361,361,100.0,08020
8,21,379,379,100.0,08021
8,22,278,278,100.0,08022
8,23,273,273,100.0,08023
8,24,190,190,100.0,08024
8,25,315,315,100.0,08025
8,26,187,187,100.0,08026
8,27,365,365,100.0,08027
8,28,324,324,100.0,08028
8,29,356,356,100.0,08029
8,30,316,316,100.0,08030
8,31,232,232,100.0,08031
8,32,259,259,100.0,08032
8,33,288,288,100.0,08033
8,34,298,298,100.0,08034
8,35,339,339,100.0,08035
8,36,336,336,100.0,08036
8,37,263,263,100.0,08037
8,38,199,199,100.0,08038
8,39,307,307,100.0,08039
8,40,257,257,100.0,08040
8,41,354,354,100.0,08041
8,43,162,162,100.0,08043
8,44,214,214,100.0,08044
8,45,302,302,100.0,08045
8,46,261,261,100.0,08046
8,47,250,250,100.0,08047
8,48,291,291,100.0,08048
8,49,300,300,100.0,08049
8,50,311,311,100.0,08050
8,51,339,339,100.0,08051
8,52,402,402,100.0,08052
8,53,185,185,100.0,08053
8,54,245,245,100.0,08054
8,55,255,255,100.0,08055
8,56,313,313,100.0,08056
9,12,331,331,100.0,09012
9,13,345,345,100.0,09013
9,14,309,309,100.0,09014
9,23,340,340,100.0,09023
9,24,313,313,100.0,09024
9,25,312,312,100.0,09025
9,35,105,105,100.0,09035
9,36,246,246,100.0,09036
9,42,300,300,100.0,09042
9,47,313,313,100.0,09047
9,48,335,335,100.0,09048
9,49,319,319,100.0,09049
9,50,406,406,100.0,09050
9,51,304,304,100.0,09051
10,1,249,249,100.0,10001
10,2,245,245,100.0,10002
10,3,253,253,100.0,10003
10,4,206,206,100.0,10004
10,5,188,188,100.0,10005
10,6,214,214,100.0,10006
10,7,201,201,100.0,10007
10,8,165,165,100.0,10008
10,9,219,219,100.0,10009
10,10,251,251,100.0,10010
10,11,326,326,100.0,10011
10,12,173,173,100.0,10012
10,13,255,255,100.0,10013
10,14,349,349,100.0,10014
10,15,562,562,100.0,10015
10,16,189,189,100.0,10016
10,17,330,330,100.0,10017
10,18,183,183,100.0,10018
10,19,265,265,100.0,10019
10,20,297,297,100.0,10020
10,21,255,255,100.0,10021
10,22,164,164,100.0,10022
10,23,240,240,100.0,10023
10,24,236,236,100.0,10024
10,25,86,86,100.0,10025
10,26,201,201,100.0,10026
10,27,278,278,100.0,10027
10,28,303,303,100.0,10028
10,29,246,246,100.0,10029
10,30,252,252,100.0,10030
