ward,precinct,total,Will Guzzardi,Will Guzzardi Percent,precinct_id
1,2,88,88,100.0,01002
1,7,369,369,100.0,01007
1,9,363,363,100.0,01009
1,13,226,226,100.0,01013
1,16,591,591,100.0,01016
1,17,50,50,100.0,01017
1,19,577,577,100.0,01019
1,23,696,696,100.0,01023
1,34,403,403,100.0,01034
1,41,281,281,100.0,01041
1,42,87,87,100.0,01042
1,43,311,311,100.0,01043
26,7,353,353,100.0,26007
26,34,386,386,100.0,26034
26,37,19,19,100.0,26037
30,1,392,392,100.0,30001
30,4,323,323,100.0,30004
30,7,375,375,100.0,30007
30,9,167,167,100.0,30009
30,17,336,336,100.0,30017
30,18,177,177,100.0,30018
30,19,78,78,100.0,30019
30,20,393,393,100.0,30020
30,23,366,366,100.0,30023
30,24,194,194,100.0,30024
30,25,285,285,100.0,30025
30,26,203,203,100.0,30026
30,27,233,233,100.0,30027
30,31,222,222,100.0,30031
31,1,217,217,100.0,31001
31,2,192,192,100.0,31002
31,5,249,249,100.0,31005
31,6,167,167,100.0,31006
31,7,404,404,100.0,31007
31,8,189,189,100.0,31008
31,9,215,215,100.0,31009
31,10,208,208,100.0,31010
31,11,174,174,100.0,31011
31,12,207,207,100.0,31012
31,13,242,242,100.0,31013
31,14,175,175,100.0,31014
31,17,204,204,100.0,31017
31,18,227,227,100.0,31018
31,20,196,196,100.0,31020
31,21,178,178,100.0,31021
31,23,236,236,100.0,31023
31,24,219,219,100.0,31024
31,26,250,250,100.0,31026
31,27,236,236,100.0,31027
31,28,186,186,100.0,31028
31,29,244,244,100.0,31029
31,30,179,179,100.0,31030
31,32,193,193,100.0,31032
31,33,190,190,100.0,31033
31,34,206,206,100.0,31034
31,35,246,246,100.0,31035
31,36,253,253,100.0,31036
31,37,225,225,100.0,31037
31,38,192,192,100.0,31038
31,40,272,272,100.0,31040
31,41,192,192,100.0,31041
32,3,270,270,100.0,32003
32,11,481,481,100.0,32011
32,12,384,384,100.0,32012
32,14,529,529,100.0,32014
32,20,498,498,100.0,32020
32,22,644,644,100.0,32022
32,26,287,287,100.0,32026
32,28,296,296,100.0,32028
32,43,28,28,100.0,32043
35,2,65,65,100.0,35002
35,10,581,581,100.0,35010
35,11,474,474,100.0,35011
35,15,520,520,100.0,35015
35,17,499,499,100.0,35017
35,25,494,494,100.0,35025
35,28,405,405,100.0,35028
36,9,5,5,100.0,36009
36,14,334,334,100.0,36014
36,16,330,330,100.0,36016
36,17,354,354,100.0,36017
36,18,238,238,100.0,36018
36,20,336,336,100.0,36020
38,23,358,358,100.0,38023
38,34,336,336,100.0,38034
38,35,353,353,100.0,38035
38,39,115,115,100.0,38039
45,8,376,376,100.0,45008
45,9,353,353,100.0,45009
45,10,382,382,100.0,45010
45,11,274,274,100.0,45011
