ward,precinct,total,Linda Perez,Linda Perez Percent,precinct_id
1,1,472,472,100.0,01001
1,2,376,376,100.0,01002
1,3,501,501,100.0,01003
1,4,492,492,100.0,01004
1,5,495,495,100.0,01005
1,6,433,433,100.0,01006
1,7,318,318,100.0,01007
1,8,361,361,100.0,01008
1,9,305,305,100.0,01009
1,10,563,563,100.0,01010
1,11,531,531,100.0,01011
1,12,488,488,100.0,01012
1,13,197,197,100.0,01013
1,14,395,395,100.0,01014
1,15,384,384,100.0,01015
1,16,535,535,100.0,01016
1,17,376,376,100.0,01017
1,18,405,405,100.0,01018
1,19,474,474,100.0,01019
1,20,361,361,100.0,01020
1,21,579,579,100.0,01021
1,22,292,292,100.0,01022
1,23,596,596,100.0,01023
1,24,359,359,100.0,01024
1,25,429,429,100.0,01025
1,26,276,276,100.0,01026
1,27,457,457,100.0,01027
1,28,89,89,100.0,01028
1,29,522,522,100.0,01029
1,30,449,449,100.0,01030
1,31,375,375,100.0,01031
1,32,406,406,100.0,01032
1,33,478,478,100.0,01033
1,34,342,342,100.0,01034
1,35,503,503,100.0,01035
1,36,432,432,100.0,01036
1,37,428,428,100.0,01037
1,38,391,391,100.0,01038
1,39,367,367,100.0,01039
1,40,396,396,100.0,01040
1,41,262,262,100.0,01041
1,42,152,152,100.0,01042
1,43,271,271,100.0,01043
1,44,395,395,100.0,01044
2,1,500,500,100.0,02001
2,3,482,482,100.0,02003
2,4,386,386,100.0,02004
2,5,513,513,100.0,02005
2,6,448,448,100.0,02006
2,7,383,383,100.0,02007
2,8,507,507,100.0,02008
2,14,466,466,100.0,02014
2,15,413,413,100.0,02015
2,16,397,397,100.0,02016
2,17,527,527,100.0,02017
2,20,5,5,100.0,02020
2,21,452,452,100.0,02021
2,25,458,458,100.0,02025
26,1,313,313,100.0,26001
26,2,85,85,100.0,26002
26,3,347,347,100.0,26003
26,4,191,191,100.0,26004
26,5,269,269,100.0,26005
26,6,262,262,100.0,26006
26,7,310,310,100.0,26007
26,8,152,152,100.0,26008
26,9,202,202,100.0,26009
26,10,75,75,100.0,26010
26,11,260,260,100.0,26011
26,12,312,312,100.0,26012
26,13,144,144,100.0,26013
26,14,223,223,100.0,26014
26,15,169,169,100.0,26015
26,16,161,161,100.0,26016
26,18,201,201,100.0,26018
26,19,173,173,100.0,26019
26,20,245,245,100.0,26020
26,21,325,325,100.0,26021
26,22,146,146,100.0,26022
26,23,191,191,100.0,26023
26,24,234,234,100.0,26024
26,25,254,254,100.0,26025
26,26,204,204,100.0,26026
26,27,331,331,100.0,26027
26,28,413,413,100.0,26028
26,29,188,188,100.0,26029
26,30,242,242,100.0,26030
26,31,119,119,100.0,26031
26,32,332,332,100.0,26032
26,33,327,327,100.0,26033
26,34,363,363,100.0,26034
26,35,239,239,100.0,26035
26,36,284,284,100.0,26036
26,37,317,317,100.0,26037
26,38,112,112,100.0,26038
26,39,316,316,100.0,26039
26,40,203,203,100.0,26040
26,41,353,353,100.0,26041
26,42,241,241,100.0,26042
26,43,150,150,100.0,26043
26,44,180,180,100.0,26044
26,45,124,124,100.0,26045
26,47,184,184,100.0,26047
26,48,275,275,100.0,26048
26,49,145,145,100.0,26049
27,1,691,691,100.0,27001
27,5,10,10,100.0,27005
27,7,488,488,100.0,27007
27,11,289,289,100.0,27011
27,13,425,425,100.0,27013
27,16,18,18,100.0,27016
27,24,20,20,100.0,27024
27,27,26,26,100.0,27027
27,33,91,91,100.0,27033
27,35,86,86,100.0,27035
27,40,435,435,100.0,27040
27,43,19,19,100.0,27043
27,45,28,28,100.0,27045
30,14,201,201,100.0,30014
30,19,304,304,100.0,30019
31,1,204,204,100.0,31001
31,2,183,183,100.0,31002
31,4,306,306,100.0,31004
31,5,242,242,100.0,31005
31,6,143,143,100.0,31006
31,7,367,367,100.0,31007
31,10,191,191,100.0,31010
31,13,232,232,100.0,31013
31,16,267,267,100.0,31016
31,17,137,137,100.0,31017
31,18,209,209,100.0,31018
