ward,precinct,total,John C. D'Amico,John C. D'Amico Percent,Amanda Biela,Amanda Biela Percent,precinct_id
33,2,304,249,81.91,55,18.09,33002
33,7,132,111,84.09,21,15.91,33007
35,30,2,2,100.0,0,0.0,35030
39,1,473,272,57.51,201,42.49,39001
39,2,464,279,60.13,185,39.87,39002
39,4,424,261,61.56,163,38.44,39004
39,5,460,321,69.78,139,30.22,39005
39,6,424,340,80.19,84,19.81,39006
39,7,409,310,75.79,99,24.21,39007
39,8,474,385,81.22,89,18.78,39008
39,9,431,337,78.19,94,21.81,39009
39,10,223,190,85.2,33,14.8,39010
39,11,411,305,74.21,106,25.79,39011
39,12,258,219,84.88,39,15.12,39012
39,13,344,237,68.9,107,31.1,39013
39,14,486,358,73.66,128,26.34,39014
39,15,509,303,59.53,206,40.47,39015
39,16,364,282,77.47,82,22.53,39016
39,17,486,355,73.05,131,26.95,39017
39,18,434,317,73.04,117,26.96,39018
39,19,464,355,76.51,109,23.49,39019
39,24,7,4,57.14,3,42.86,39024
39,25,61,54,88.52,7,11.48,39025
39,26,430,256,59.53,174,40.47,39026
39,27,83,42,50.6,41,49.4,39027
39,29,255,220,86.27,35,13.73,39029
39,30,476,387,81.3,89,18.7,39030
39,31,49,38,77.55,11,22.45,39031
39,32,391,259,66.24,132,33.76,39032
39,33,496,376,75.81,120,24.19,39033
39,35,448,317,70.76,131,29.24,39035
39,36,124,101,81.45,23,18.55,39036
39,37,461,276,59.87,185,40.13,39037
39,38,276,189,68.48,87,31.52,39038
39,39,301,218,72.43,83,27.57,39039
39,40,421,273,64.85,148,35.15,39040
39,41,488,297,60.86,191,39.14,39041
39,42,510,281,55.1,229,44.9,39042
39,43,511,279,54.6,232,45.4,39043
39,44,360,161,44.72,199,55.28,39044
39,45,453,243,53.64,210,46.36,39045
41,6,573,279,48.69,294,51.31,41006
41,9,460,254,55.22,206,44.78,41009
41,14,540,288,53.33,252,46.67,41014
41,19,551,233,42.29,318,57.71,41019
41,32,390,218,55.9,172,44.1,41032
41,39,514,269,52.33,245,47.67,41039
41,47,500,257,51.4,243,48.6,41047
45,32,107,74,69.16,33,30.84,45032
50,24,321,131,40.81,190,59.19,50024
50,25,50,18,36.0,32,64.0,50025
