ward,precinct,total,Jesse White,Jesse White Percent,Jason Helland,Jason Helland Percent,Steve Dutner,Steve Dutner Percent,precinct_id
1,1,587,522,88.93,43,7.33,22,3.75,01001
1,2,473,436,92.18,23,4.86,14,2.96,01002
1,3,647,575,88.87,53,8.19,19,2.94,01003
1,4,634,551,86.91,61,9.62,22,3.47,01004
1,5,655,575,87.79,59,9.01,21,3.21,01005
1,6,556,474,85.25,57,10.25,25,4.5,01006
1,7,411,362,88.08,28,6.81,21,5.11,01007
1,8,515,441,85.63,62,12.04,12,2.33,01008
1,9,459,405,88.24,35,7.63,19,4.14,01009
1,10,733,630,85.95,86,11.73,17,2.32,01010
1,11,668,564,84.43,72,10.78,32,4.79,01011
1,12,667,567,85.01,79,11.84,21,3.15,01012
1,13,259,227,87.64,21,8.11,11,4.25,01013
1,14,541,479,88.54,45,8.32,17,3.14,01014
1,15,516,451,87.4,51,9.88,14,2.71,01015
1,16,661,601,90.92,40,6.05,20,3.03,01016
1,17,485,442,91.13,28,5.77,15,3.09,01017
1,18,536,499,93.1,24,4.48,13,2.43,01018
1,19,645,589,91.32,39,6.05,17,2.64,01019
1,20,448,408,91.07,24,5.36,16,3.57,01020
1,21,775,687,88.65,67,8.65,21,2.71,01021
1,22,363,327,90.08,18,4.96,18,4.96,01022
1,23,771,700,90.79,48,6.23,23,2.98,01023
1,24,482,444,92.12,26,5.39,12,2.49,01024
1,25,557,498,89.41,34,6.1,25,4.49,01025
1,26,352,323,91.76,18,5.11,11,3.13,01026
1,27,609,526,86.37,57,9.36,26,4.27,01027
1,28,158,146,92.41,9,5.7,3,1.9,01028
1,29,674,587,87.09,63,9.35,24,3.56,01029
1,30,595,537,90.25,35,5.88,23,3.87,01030
1,31,524,471,89.89,34,6.49,19,3.63,01031
1,32,552,466,84.42,65,11.78,21,3.8,01032
1,33,656,565,86.13,75,11.43,16,2.44,01033
1,34,448,402,89.73,30,6.7,16,3.57,01034
1,35,693,578,83.41,85,12.27,30,4.33,01035
1,36,593,510,86.0,65,10.96,18,3.04,01036
1,37,587,480,81.77,80,13.63,27,4.6,01037
1,38,536,458,85.45,51,9.51,27,5.04,01038
1,39,501,429,85.63,56,11.18,16,3.19,01039
1,40,560,471,84.11,66,11.79,23,4.11,01040
1,41,330,300,90.91,15,4.55,15,4.55,01041
1,42,181,158,87.29,16,8.84,7,3.87,01042
1,43,354,326,92.09,22,6.21,6,1.69,01043
1,44,509,447,87.82,38,7.47,24,4.72,01044
2,1,647,542,83.77,75,11.59,30,4.64,02001
2,2,462,368,79.65,84,18.18,10,2.16,02002
2,3,669,569,85.05,78,11.66,22,3.29,02003
2,4,523,456,87.19,45,8.6,22,4.21,02004
2,5,691,596,86.25,69,9.99,26,3.76,02005
2,6,556,488,87.77,49,8.81,19,3.42,02006
2,7,556,450,80.94,78,14.03,28,5.04,02007
2,8,682,565,82.84,74,10.85,43,6.3,02008
2,9,542,406,74.91,115,21.22,21,3.87,02009
2,10,502,387,77.09,112,22.31,3,0.6,02010
2,11,634,498,78.55,129,20.35,7,1.1,02011
2,12,546,483,88.46,50,9.16,13,2.38,02012
2,13,511,418,81.8,88,17.22,5,0.98,02013
2,14,612,518,84.64,70,11.44,24,3.92,02014
2,15,561,485,86.45,59,10.52,17,3.03,02015
2,16,520,445,85.58,54,10.38,21,4.04,02016
2,17,681,589,86.49,68,9.99,24,3.52,02017
2,18,569,454,79.79,106,18.63,9,1.58,02018
2,19,447,336,75.17,103,23.04,8,1.79,02019
2,20,655,504,76.95,130,19.85,21,3.21,02020
2,21,609,542,89.0,52,8.54,15,2.46,02021
2,22,633,499,78.83,113,17.85,21,3.32,02022
2,23,418,336,80.38,76,18.18,6,1.44,02023
2,24,542,447,82.47,82,15.13,13,2.4,02024
2,25,618,515,83.33,78,12.62,25,4.05,02025
2,26,532,428,80.45,90,16.92,14,2.63,02026
2,27,541,407,75.23,120,22.18,14,2.59,02027
2,28,660,517,78.33,117,17.73,26,3.94,02028
2,29,656,527,80.34,112,17.07,17,2.59,02029
2,30,494,368,74.49,106,21.46,20,4.05,02030
2,31,678,535,78.91,131,19.32,12,1.77,02031
2,32,457,366,80.09,82,17.94,9,1.97,02032
2,33,861,674,78.28,173,20.09,14,1.63,02033
2,34,473,371,78.44,95,20.08,7,1.48,02034
2,35,753,568,75.43,159,21.12,26,3.45,02035
2,36,649,515,79.35,118,18.18,16,2.47,02036
2,37,534,424,79.4,93,17.42,17,3.18,02037
2,38,543,406,74.77,124,22.84,13,2.39,02038
2,39,418,271,64.83,129,30.86,18,4.31,02039
2,40,794,616,77.58,154,19.4,24,3.02,02040
2,41,595,471,79.16,110,18.49,14,2.35,02041
2,42,650,524,80.62,117,18.0,9,1.38,02042
2,43,788,629,79.82,149,18.91,10,1.27,02043
2,44,368,291,79.08,66,17.93,11,2.99,02044
2,45,677,541,79.91,114,16.84,22,3.25,02045
2,46,325,240,73.85,74,22.77,11,3.38,02046
3,1,648,628,96.91,10,1.54,10,1.54,03001
3,2,612,594,97.06,7,1.14,11,1.8,03002
3,3,456,422,92.54,28,6.14,6,1.32,03003
3,4,551,537,97.46,7,1.27,7,1.27,03004
3,5,316,307,97.15,3,0.95,6,1.9,03005
3,6,738,599,81.17,109,14.77,30,4.07,03006
3,7,335,327,97.61,3,0.9,5,1.49,03007
3,8,421,412,97.86,6,1.43,3,0.71,03008
3,9,518,488,94.21,14,2.7,16,3.09,03009
3,10,237,231,97.47,4,1.69,2,0.84,03010
3,11,523,507,96.94,5,0.96,11,2.1,03011
3,12,509,494,97.05,5,0.98,10,1.96,03012
3,13,629,537,85.37,77,12.24,15,2.38,03013
3,14,609,539,88.51,58,9.52,12,1.97,03014
3,15,476,467,98.11,2,0.42,7,1.47,03015
3,16,441,428,97.05,4,0.91,9,2.04,03016
3,17,752,669,88.96,53,7.05,30,3.99,03017
3,18,751,712,94.81,26,3.46,13,1.73,03018
3,19,642,523,81.46,103,16.04,16,2.49,03019
3,20,527,515,97.72,6,1.14,6,1.14,03020
3,21,619,528,85.3,75,12.12,16,2.58,03021
3,22,744,629,84.54,89,11.96,26,3.49,03022
3,23,445,424,95.28,14,3.15,7,1.57,03023
3,24,429,419,97.67,4,0.93,6,1.4,03024
3,25,955,790,82.72,152,15.92,13,1.36,03025
3,26,628,546,86.94,69,10.99,13,2.07,03026
3,27,718,582,81.06,116,16.16,20,2.79,03027
3,28,339,328,96.76,7,2.06,4,1.18,03028
3,29,507,490,96.65,11,2.17,6,1.18,03029
3,30,446,426,95.52,8,1.79,12,2.69,03030
3,31,562,550,97.86,4,0.71,8,1.42,03031
3,32,672,574,85.42,81,12.05,17,2.53,03032
3,33,675,572,84.74,79,11.7,24,3.56,03033
3,34,704,605,85.94,74,10.51,25,3.55,03034
3,35,243,233,95.88,5,2.06,5,2.06,03035
3,36,272,265,97.43,5,1.84,2,0.74,03036
3,37,457,443,96.94,4,0.88,10,2.19,03037
3,38,414,405,97.83,1,0.24,8,1.93,03038
3,39,900,765,85.0,112,12.44,23,2.56,03039
3,40,563,520,92.36,30,5.33,13,2.31,03040
3,41,361,330,91.41,22,6.09,9,2.49,03041
