ward,precinct,total,Sonya Marie Harper,Sonya Marie Harper Percent,precinct_id
3,1,118,118,100.0,03001
3,3,363,363,100.0,03003
3,5,270,270,100.0,03005
3,10,179,179,100.0,03010
3,13,511,511,100.0,03013
3,18,367,367,100.0,03018
3,26,505,505,100.0,03026
3,29,51,51,100.0,03029
3,36,100,100,100.0,03036
3,41,202,202,100.0,03041
4,13,605,605,100.0,04013
4,16,147,147,100.0,04016
4,17,620,620,100.0,04017
4,20,423,423,100.0,04020
4,21,463,463,100.0,04021
4,37,878,878,100.0,04037
6,15,110,110,100.0,06015
6,18,25,25,100.0,06018
6,28,58,58,100.0,06028
11,12,403,403,100.0,11012
11,13,341,341,100.0,11013
11,21,429,429,100.0,11021
11,24,386,386,100.0,11024
11,28,141,141,100.0,11028
11,29,357,357,100.0,11029
11,31,333,333,100.0,11031
11,32,136,136,100.0,11032
11,34,106,106,100.0,11034
11,35,98,98,100.0,11035
15,1,273,273,100.0,15001
15,2,199,199,100.0,15002
15,3,178,178,100.0,15003
15,5,46,46,100.0,15005
15,7,86,86,100.0,15007
15,13,65,65,100.0,15013
15,14,3,3,100.0,15014
15,17,228,228,100.0,15017
15,18,190,190,100.0,15018
15,20,226,226,100.0,15020
15,21,186,186,100.0,15021
15,22,24,24,100.0,15022
15,23,238,238,100.0,15023
15,24,185,185,100.0,15024
16,2,169,169,100.0,16002
16,3,209,209,100.0,16003
16,4,253,253,100.0,16004
16,5,175,175,100.0,16005
16,6,102,102,100.0,16006
16,8,170,170,100.0,16008
16,9,264,264,100.0,16009
16,10,233,233,100.0,16010
16,12,229,229,100.0,16012
16,14,190,190,100.0,16014
16,15,268,268,100.0,16015
16,17,103,103,100.0,16017
16,18,266,266,100.0,16018
16,19,219,219,100.0,16019
16,20,195,195,100.0,16020
16,21,217,217,100.0,16021
16,22,197,197,100.0,16022
16,25,273,273,100.0,16025
16,26,189,189,100.0,16026
16,27,209,209,100.0,16027
16,28,209,209,100.0,16028
16,30,18,18,100.0,16030
16,31,255,255,100.0,16031
16,33,58,58,100.0,16033
16,34,224,224,100.0,16034
16,36,199,199,100.0,16036
17,1,0,0,0.0,17001
17,6,257,257,100.0,17006
17,8,122,122,100.0,17008
17,16,33,33,100.0,17016
17,17,5,5,100.0,17017
17,25,233,233,100.0,17025
18,50,103,103,100.0,18050
20,2,135,135,100.0,20002
20,4,152,152,100.0,20004
20,6,152,152,100.0,20006
20,13,333,333,100.0,20013
20,15,255,255,100.0,20015
20,17,186,186,100.0,20017
20,20,205,205,100.0,20020
20,21,231,231,100.0,20021
20,25,235,235,100.0,20025
20,27,166,166,100.0,20027
20,29,375,375,100.0,20029
20,32,321,321,100.0,20032
20,36,108,108,100.0,20036
20,38,108,108,100.0,20038
20,39,20,20,100.0,20039
25,14,0,0,0.0,25014
25,21,762,762,100.0,25021
25,27,234,234,100.0,25027
42,5,427,427,100.0,42005
42,9,594,594,100.0,42009
42,10,191,191,100.0,42010
42,12,161,161,100.0,42012
42,14,182,182,100.0,42014
42,15,436,436,100.0,42015
42,17,665,665,100.0,42017
42,18,545,545,100.0,42018
42,21,421,421,100.0,42021
42,33,1,1,100.0,42033
42,36,497,497,100.0,42036
42,37,373,373,100.0,42037
42,38,474,474,100.0,42038
42,41,357,357,100.0,42041
