ward,precinct,total,Theresa Mah,Theresa Mah Percent,precinct_id
11,1,340,340,100.0,11001
11,3,391,391,100.0,11003
11,4,327,327,100.0,11004
11,5,487,487,100.0,11005
11,8,367,367,100.0,11008
11,9,299,299,100.0,11009
11,10,323,323,100.0,11010
11,11,400,400,100.0,11011
11,14,227,227,100.0,11014
11,15,145,145,100.0,11015
11,16,241,241,100.0,11016
11,17,467,467,100.0,11017
11,18,270,270,100.0,11018
11,19,474,474,100.0,11019
11,20,239,239,100.0,11020
11,22,412,412,100.0,11022
11,23,224,224,100.0,11023
11,25,479,479,100.0,11025
11,26,419,419,100.0,11026
11,27,126,126,100.0,11027
11,30,188,188,100.0,11030
11,36,147,147,100.0,11036
11,37,114,114,100.0,11037
11,38,204,204,100.0,11038
12,1,321,321,100.0,12001
12,3,453,453,100.0,12003
12,4,374,374,100.0,12004
12,5,283,283,100.0,12005
12,6,16,16,100.0,12006
12,8,356,356,100.0,12008
12,9,275,275,100.0,12009
12,13,240,240,100.0,12013
12,17,137,137,100.0,12017
12,19,345,345,100.0,12019
12,21,317,317,100.0,12021
12,23,339,339,100.0,12023
15,5,228,228,100.0,15005
15,9,284,284,100.0,15009
15,13,210,210,100.0,15013
15,14,256,256,100.0,15014
15,15,222,222,100.0,15015
20,20,0,0,0.0,20020
25,1,319,319,100.0,25001
25,2,480,480,100.0,25002
25,5,413,413,100.0,25005
25,6,129,129,100.0,25006
25,7,427,427,100.0,25007
25,8,449,449,100.0,25008
25,9,394,394,100.0,25009
25,11,441,441,100.0,25011
25,12,404,404,100.0,25012
25,13,478,478,100.0,25013
25,14,272,272,100.0,25014
25,15,347,347,100.0,25015
25,17,465,465,100.0,25017
25,18,246,246,100.0,25018
25,19,439,439,100.0,25019
25,22,384,384,100.0,25022
25,23,468,468,100.0,25023
25,24,412,412,100.0,25024
25,26,349,349,100.0,25026
25,27,32,32,100.0,25027
25,28,425,425,100.0,25028
25,30,391,391,100.0,25030
25,32,322,322,100.0,25032
28,19,3,3,100.0,28019
