ward,precinct,total,M. Cameron ''Cam'' Davis,M. Cameron ''Cam'' Davis Percent,Geoffrey Cubbage,Geoffrey Cubbage Percent,precinct_id
1,1,551,397,72.05,154,27.95,01001
1,2,445,333,74.83,112,25.17,01002
1,3,582,464,79.73,118,20.27,01003
1,4,569,437,76.8,132,23.2,01004
1,5,604,465,76.99,139,23.01,01005
1,6,490,360,73.47,130,26.53,01006
1,7,384,269,70.05,115,29.95,01007
1,8,430,343,79.77,87,20.23,01008
1,9,393,290,73.79,103,26.21,01009
1,10,657,515,78.39,142,21.61,01010
1,11,611,432,70.7,179,29.3,01011
1,12,594,433,72.9,161,27.1,01012
1,13,239,174,72.8,65,27.2,01013
1,14,475,384,80.84,91,19.16,01014
1,15,458,327,71.4,131,28.6,01015
1,16,621,467,75.2,154,24.8,01016
1,17,445,325,73.03,120,26.97,01017
1,18,495,354,71.52,141,28.48,01018
1,19,581,418,71.94,163,28.06,01019
1,20,408,292,71.57,116,28.43,01020
1,21,707,550,77.79,157,22.21,01021
1,22,334,261,78.14,73,21.86,01022
1,23,722,501,69.39,221,30.61,01023
1,24,438,332,75.8,106,24.2,01024
1,25,500,354,70.8,146,29.2,01025
1,26,327,256,78.29,71,21.71,01026
1,27,558,430,77.06,128,22.94,01027
1,28,113,107,94.69,6,5.31,01028
1,29,618,477,77.18,141,22.82,01029
1,30,542,396,73.06,146,26.94,01030
1,31,467,359,76.87,108,23.13,01031
1,32,492,365,74.19,127,25.81,01032
1,33,586,432,73.72,154,26.28,01033
1,34,419,302,72.08,117,27.92,01034
1,35,611,447,73.16,164,26.84,01035
1,36,530,394,74.34,136,25.66,01036
1,37,510,370,72.55,140,27.45,01037
1,38,468,345,73.72,123,26.28,01038
1,39,439,334,76.08,105,23.92,01039
1,40,488,369,75.61,119,24.39,01040
1,41,306,217,70.92,89,29.08,01041
1,42,164,117,71.34,47,28.66,01042
1,43,325,254,78.15,71,21.85,01043
1,44,469,328,69.94,141,30.06,01044
2,1,591,423,71.57,168,28.43,02001
2,2,389,306,78.66,83,21.34,02002
2,3,602,462,76.74,140,23.26,02003
2,4,460,343,74.57,117,25.43,02004
2,5,628,459,73.09,169,26.91,02005
2,6,501,358,71.46,143,28.54,02006
2,7,472,350,74.15,122,25.85,02007
2,8,617,454,73.58,163,26.42,02008
2,9,447,334,74.72,113,25.28,02009
2,10,386,306,79.27,80,20.73,02010
2,11,520,431,82.88,89,17.12,02011
2,12,467,407,87.15,60,12.85,02012
2,13,445,356,80.0,89,20.0,02013
2,14,544,387,71.14,157,28.86,02014
2,15,515,389,75.53,126,24.47,02015
2,16,463,347,74.95,116,25.05,02016
2,17,623,457,73.35,166,26.65,02017
2,18,488,377,77.25,111,22.75,02018
2,19,349,263,75.36,86,24.64,02019
2,20,557,419,75.22,138,24.78,02020
2,21,544,399,73.35,145,26.65,02021
2,22,528,413,78.22,115,21.78,02022
2,23,335,272,81.19,63,18.81,02023
2,24,454,376,82.82,78,17.18,02024
2,25,552,430,77.9,122,22.1,02025
2,26,439,352,80.18,87,19.82,02026
2,27,443,328,74.04,115,25.96,02027
2,28,541,433,80.04,108,19.96,02028
2,29,556,444,79.86,112,20.14,02029
2,30,425,299,70.35,126,29.65,02030
2,31,566,414,73.14,152,26.86,02031
2,32,391,294,75.19,97,24.81,02032
2,33,711,545,76.65,166,23.35,02033
2,34,393,319,81.17,74,18.83,02034
2,35,615,482,78.37,133,21.63,02035
2,36,544,446,81.99,98,18.01,02036
2,37,460,362,78.7,98,21.3,02037
2,38,433,344,79.45,89,20.55,02038
2,39,310,220,70.97,90,29.03,02039
2,40,679,542,79.82,137,20.18,02040
2,41,505,406,80.4,99,19.6,02041
2,42,561,456,81.28,105,18.72,02042
2,43,659,530,80.42,129,19.58,02043
2,44,300,242,80.67,58,19.33,02044
2,45,574,457,79.62,117,20.38,02045
2,46,267,201,75.28,66,24.72,02046
3,1,603,570,94.53,33,5.47,03001
3,2,561,532,94.83,29,5.17,03002
3,3,407,357,87.71,50,12.29,03003
3,4,506,468,92.49,38,7.51,03004
3,5,289,269,93.08,20,6.92,03005
3,6,645,491,76.12,154,23.88,03006
3,7,298,281,94.3,17,5.7,03007
3,8,383,358,93.47,25,6.53,03008
3,9,471,435,92.36,36,7.64,03009
3,10,211,200,94.79,11,5.21,03010
3,11,497,464,93.36,33,6.64,03011
3,12,470,434,92.34,36,7.66,03012
3,13,556,431,77.52,125,22.48,03013
3,14,553,446,80.65,107,19.35,03014
3,15,437,417,95.42,20,4.58,03015
3,16,404,384,95.05,20,4.95,03016
3,17,681,567,83.26,114,16.74,03017
3,18,692,618,89.31,74,10.69,03018
3,19,548,416,75.91,132,24.09,03019
3,20,499,465,93.19,34,6.81,03020
3,21,539,453,84.04,86,15.96,03021
3,22,665,501,75.34,164,24.66,03022
3,23,396,366,92.42,30,7.58,03023
3,24,388,363,93.56,25,6.44,03024
3,25,815,641,78.65,174,21.35,03025
3,26,553,430,77.76,123,22.24,03026
3,27,638,488,76.49,150,23.51,03027
3,28,311,296,95.18,15,4.82,03028
3,29,446,419,93.95,27,6.05,03029
3,30,401,374,93.27,27,6.73,03030
3,31,513,475,92.59,38,7.41,03031
3,32,591,473,80.03,118,19.97,03032
3,33,598,480,80.27,118,19.73,03033
3,34,629,513,81.56,116,18.44,03034
3,35,225,205,91.11,20,8.89,03035
3,36,248,236,95.16,12,4.84,03036
3,37,422,397,94.08,25,5.92,03037
3,38,385,366,95.06,19,4.94,03038
3,39,812,645,79.43,167,20.57,03039
3,40,506,443,87.55,63,12.45,03040
3,41,327,272,83.18,55,16.82,03041
4,1,751,565,75.23,186,24.77,04001
4,2,653,521,79.79,132,20.21,04002
4,3,390,364,93.33,26,6.67,04003
4,4,664,625,94.13,39,5.87,04004
4,5,494,445,90.08,49,9.92,04005
4,6,578,525,90.83,53,9.17,04006
4,7,583,531,91.08,52,8.92,04007
4,8,532,492,92.48,40,7.52,04008
4,9,569,524,92.09,45,7.91,04009
4,10,621,569,91.63,52,8.37,04010
4,11,517,484,93.62,33,6.38,04011
4,12,576,549,95.31,27,4.69,04012
4,13,630,491,77.94,139,22.06,04013
4,14,514,475,92.41,39,7.59,04014
4,15,608,565,92.93,43,7.07,04015
4,16,863,687,79.61,176,20.39,04016
4,17,656,507,77.29,149,22.71,04017
4,18,479,449,93.74,30,6.26,04018
4,19,374,357,95.45,17,4.55,04019
4,20,463,384,82.94,79,17.06,04020
4,21,722,561,77.7,161,22.3,04021
4,22,512,437,85.35,75,14.65,04022
4,23,685,532,77.66,153,22.34,04023
4,24,471,406,86.2,65,13.8,04024
4,25,574,437,76.13,137,23.87,04025
4,26,479,447,93.32,32,6.68,04026
4,27,655,515,78.63,140,21.37,04027
4,28,430,385,89.53,45,10.47,04028
4,29,427,392,91.8,35,8.2,04029
4,30,685,657,95.91,28,4.09,04030
4,31,515,469,91.07,46,8.93,04031
4,32,556,512,92.09,44,7.91,04032
4,33,509,437,85.85,72,14.15,04033
4,34,440,402,91.36,38,8.64,04034
4,35,590,556,94.24,34,5.76,04035
4,36,570,525,92.11,45,7.89,04036
4,37,929,765,82.35,164,17.65,04037
4,38,541,501,92.61,40,7.39,04038
5,1,377,357,94.69,20,5.31,05001
5,2,322,299,92.86,23,7.14,05002
5,3,545,408,74.86,137,25.14,05003
5,4,650,537,82.62,113,17.38,05004
5,5,415,393,94.7,22,5.3,05005
5,6,367,346,94.28,21,5.72,05006
5,7,502,441,87.85,61,12.15,05007
5,8,512,374,73.05,138,26.95,05008
5,9,589,502,85.23,87,14.77,05009
5,10,357,334,93.56,23,6.44,05010
5,11,508,402,79.13,106,20.87,05011
5,12,306,288,94.12,18,5.88,05012
5,13,398,373,93.72,25,6.28,05013
5,14,365,337,92.33,28,7.67,05014
5,15,439,368,83.83,71,16.17,05015
5,16,439,414,94.31,25,5.69,05016
5,17,385,364,94.55,21,5.45,05017
5,18,470,375,79.79,95,20.21,05018
5,19,458,351,76.64,107,23.36,05019
5,20,565,454,80.35,111,19.65,05020
5,21,532,407,76.5,125,23.5,05021
5,22,554,464,83.75,90,16.25,05022
5,23,832,663,79.69,169,20.31,05023
5,24,546,433,79.3,113,20.7,05024
5,25,423,396,93.62,27,6.38,05025
