ward,precinct,total,Maria Pappas,Maria Pappas Percent,precinct_id
1,1,527,527,100.0,01001
1,2,426,426,100.0,01002
1,3,573,573,100.0,01003
1,4,548,548,100.0,01004
1,5,571,571,100.0,01005
1,6,473,473,100.0,01006
1,7,364,364,100.0,01007
1,8,422,422,100.0,01008
1,9,362,362,100.0,01009
1,10,629,629,100.0,01010
1,11,581,581,100.0,01011
1,12,572,572,100.0,01012
1,13,220,220,100.0,01013
1,14,456,456,100.0,01014
1,15,442,442,100.0,01015
1,16,595,595,100.0,01016
1,17,425,425,100.0,01017
1,18,476,476,100.0,01018
1,19,558,558,100.0,01019
1,20,392,392,100.0,01020
1,21,665,665,100.0,01021
1,22,316,316,100.0,01022
1,23,690,690,100.0,01023
1,24,409,409,100.0,01024
1,25,479,479,100.0,01025
1,26,306,306,100.0,01026
1,27,526,526,100.0,01027
1,28,111,111,100.0,01028
1,29,590,590,100.0,01029
1,30,525,525,100.0,01030
1,31,440,440,100.0,01031
1,32,474,474,100.0,01032
1,33,551,551,100.0,01033
1,34,388,388,100.0,01034
1,35,589,589,100.0,01035
1,36,494,494,100.0,01036
1,37,498,498,100.0,01037
1,38,447,447,100.0,01038
1,39,427,427,100.0,01039
1,40,460,460,100.0,01040
1,41,298,298,100.0,01041
1,42,159,159,100.0,01042
1,43,305,305,100.0,01043
1,44,443,443,100.0,01044
2,1,554,554,100.0,02001
2,2,358,358,100.0,02002
2,3,566,566,100.0,02003
2,4,433,433,100.0,02004
2,5,578,578,100.0,02005
2,6,489,489,100.0,02006
2,7,461,461,100.0,02007
2,8,562,562,100.0,02008
2,9,408,408,100.0,02009
2,10,405,405,100.0,02010
2,11,500,500,100.0,02011
2,12,448,448,100.0,02012
2,13,422,422,100.0,02013
2,14,522,522,100.0,02014
2,15,461,461,100.0,02015
2,16,444,444,100.0,02016
2,17,587,587,100.0,02017
2,18,468,468,100.0,02018
2,19,337,337,100.0,02019
2,20,524,524,100.0,02020
2,21,520,520,100.0,02021
2,22,499,499,100.0,02022
2,23,333,333,100.0,02023
2,24,442,442,100.0,02024
2,25,519,519,100.0,02025
2,26,400,400,100.0,02026
2,27,400,400,100.0,02027
2,28,523,523,100.0,02028
2,29,541,541,100.0,02029
2,30,408,408,100.0,02030
2,31,543,543,100.0,02031
2,32,361,361,100.0,02032
2,33,678,678,100.0,02033
2,34,367,367,100.0,02034
2,35,592,592,100.0,02035
2,36,515,515,100.0,02036
2,37,447,447,100.0,02037
2,38,410,410,100.0,02038
2,39,286,286,100.0,02039
2,40,653,653,100.0,02040
2,41,483,483,100.0,02041
2,42,532,532,100.0,02042
2,43,629,629,100.0,02043
2,44,288,288,100.0,02044
2,45,542,542,100.0,02045
2,46,246,246,100.0,02046
3,1,575,575,100.0,03001
3,2,552,552,100.0,03002
3,3,392,392,100.0,03003
3,4,499,499,100.0,03004
3,5,284,284,100.0,03005
3,6,610,610,100.0,03006
3,7,290,290,100.0,03007
3,8,363,363,100.0,03008
3,9,472,472,100.0,03009
3,10,213,213,100.0,03010
3,11,474,474,100.0,03011
3,12,464,464,100.0,03012
3,13,517,517,100.0,03013
3,14,526,526,100.0,03014
3,15,409,409,100.0,03015
3,16,407,407,100.0,03016
3,17,648,648,100.0,03017
3,18,662,662,100.0,03018
3,19,530,530,100.0,03019
3,20,474,474,100.0,03020
3,21,512,512,100.0,03021
3,22,631,631,100.0,03022
3,23,386,386,100.0,03023
3,24,379,379,100.0,03024
