ward,precinct,total,La Shawn K. Ford,La Shawn K. Ford Percent,precinct_id
28,1,208,208,100.0,28001
28,12,301,301,100.0,28012
28,14,225,225,100.0,28014
28,31,397,397,100.0,28031
28,39,221,221,100.0,28039
28,41,221,221,100.0,28041
28,42,199,199,100.0,28042
28,43,365,365,100.0,28043
29,2,500,500,100.0,29002
29,3,409,409,100.0,29003
29,6,319,319,100.0,29006
29,8,321,321,100.0,29008
29,11,223,223,100.0,29011
29,14,345,345,100.0,29014
29,16,354,354,100.0,29016
29,18,359,359,100.0,29018
29,19,386,386,100.0,29019
29,20,452,452,100.0,29020
29,21,469,469,100.0,29021
29,22,260,260,100.0,29022
29,28,453,453,100.0,29028
29,34,276,276,100.0,29034
29,42,420,420,100.0,29042
37,1,217,217,100.0,37001
37,5,365,365,100.0,37005
37,6,369,369,100.0,37006
37,9,333,333,100.0,37009
37,10,383,383,100.0,37010
37,11,222,222,100.0,37011
37,14,322,322,100.0,37014
37,15,340,340,100.0,37015
37,16,356,356,100.0,37016
37,17,262,262,100.0,37017
37,20,267,267,100.0,37020
37,22,176,176,100.0,37022
37,23,309,309,100.0,37023
37,24,355,355,100.0,37024
37,25,295,295,100.0,37025
37,26,416,416,100.0,37026
37,27,304,304,100.0,37027
37,29,131,131,100.0,37029
37,30,310,310,100.0,37030
37,31,335,335,100.0,37031
37,32,283,283,100.0,37032
37,33,348,348,100.0,37033
37,34,311,311,100.0,37034
37,36,321,321,100.0,37036
37,38,323,323,100.0,37038
37,39,307,307,100.0,37039
37,40,340,340,100.0,37040
37,41,327,327,100.0,37041
