ward,precinct,total,Nicholas ''Nick'' Smith,Nicholas ''Nick'' Smith Percent,precinct_id
6,1,374,374,100.0,06001
6,2,353,353,100.0,06002
6,3,354,354,100.0,06003
6,8,352,352,100.0,06008
6,13,259,259,100.0,06013
6,14,319,319,100.0,06014
6,16,350,350,100.0,06016
6,19,55,55,100.0,06019
6,29,361,361,100.0,06029
6,31,353,353,100.0,06031
6,34,362,362,100.0,06034
6,35,308,308,100.0,06035
6,36,397,397,100.0,06036
6,37,354,354,100.0,06037
6,38,358,358,100.0,06038
6,39,256,256,100.0,06039
6,41,344,344,100.0,06041
6,42,347,347,100.0,06042
6,43,296,296,100.0,06043
6,44,330,330,100.0,06044
6,45,350,350,100.0,06045
6,46,223,223,100.0,06046
8,15,67,67,100.0,08015
8,22,307,307,100.0,08022
8,26,96,96,100.0,08026
8,31,248,248,100.0,08031
8,32,284,284,100.0,08032
8,34,323,323,100.0,08034
8,39,343,343,100.0,08039
8,43,136,136,100.0,08043
8,45,99,99,100.0,08045
8,47,282,282,100.0,08047
8,54,19,19,100.0,08054
9,1,128,128,100.0,09001
9,7,5,5,100.0,09007
9,8,324,324,100.0,09008
9,9,262,262,100.0,09009
9,12,354,354,100.0,09012
9,13,290,290,100.0,09013
9,23,379,379,100.0,09023
9,24,337,337,100.0,09024
9,25,327,327,100.0,09025
9,28,76,76,100.0,09028
9,31,35,35,100.0,09031
9,36,258,258,100.0,09036
9,37,438,438,100.0,09037
9,38,234,234,100.0,09038
9,42,331,331,100.0,09042
9,43,140,140,100.0,09043
9,46,327,327,100.0,09046
9,47,336,336,100.0,09047
9,48,356,356,100.0,09048
9,49,341,341,100.0,09049
9,50,432,432,100.0,09050
9,51,314,314,100.0,09051
10,13,0,0,0.0,10013
10,16,0,0,0.0,10016
17,21,325,325,100.0,17021
21,31,227,227,100.0,21031
21,53,114,114,100.0,21053
