ward,precinct,total,Joanne F. Rosado,Joanne F. Rosado Percent,precinct_id
29,1,415,415,100.0,29001
29,7,313,313,100.0,29007
29,9,350,350,100.0,29009
29,10,426,426,100.0,29010
29,12,409,409,100.0,29012
29,15,370,370,100.0,29015
29,17,298,298,100.0,29017
29,23,348,348,100.0,29023
29,24,287,287,100.0,29024
29,29,260,260,100.0,29029
29,30,420,420,100.0,29030
29,31,291,291,100.0,29031
29,32,262,262,100.0,29032
29,36,288,288,100.0,29036
29,38,321,321,100.0,29038
29,39,264,264,100.0,29039
29,43,403,403,100.0,29043
30,1,369,369,100.0,30001
30,2,288,288,100.0,30002
30,3,137,137,100.0,30003
30,4,294,294,100.0,30004
30,5,216,216,100.0,30005
30,6,253,253,100.0,30006
30,7,361,361,100.0,30007
30,8,414,414,100.0,30008
30,9,244,244,100.0,30009
30,10,315,315,100.0,30010
30,11,303,303,100.0,30011
30,12,261,261,100.0,30012
30,13,288,288,100.0,30013
30,16,143,143,100.0,30016
30,17,312,312,100.0,30017
30,18,432,432,100.0,30018
30,20,264,264,100.0,30020
30,21,217,217,100.0,30021
30,22,449,449,100.0,30022
30,23,353,353,100.0,30023
30,24,433,433,100.0,30024
30,25,475,475,100.0,30025
30,26,196,196,100.0,30026
30,27,211,211,100.0,30027
30,28,337,337,100.0,30028
30,29,182,182,100.0,30029
30,30,129,129,100.0,30030
30,31,208,208,100.0,30031
31,3,164,164,100.0,31003
31,8,169,169,100.0,31008
31,9,196,196,100.0,31009
31,11,158,158,100.0,31011
31,12,188,188,100.0,31012
31,14,182,182,100.0,31014
31,15,196,196,100.0,31015
31,17,55,55,100.0,31017
31,19,198,198,100.0,31019
31,25,202,202,100.0,31025
31,31,151,151,100.0,31031
31,33,182,182,100.0,31033
31,34,195,195,100.0,31034
31,35,94,94,100.0,31035
36,1,275,275,100.0,36001
36,2,265,265,100.0,36002
36,3,252,252,100.0,36003
36,4,270,270,100.0,36004
36,5,256,256,100.0,36005
36,7,305,305,100.0,36007
36,10,342,342,100.0,36010
36,14,287,287,100.0,36014
36,15,278,278,100.0,36015
36,16,305,305,100.0,36016
36,17,308,308,100.0,36017
36,18,297,297,100.0,36018
36,19,333,333,100.0,36019
36,20,307,307,100.0,36020
36,21,32,32,100.0,36021
36,23,131,131,100.0,36023
36,24,280,280,100.0,36024
36,26,264,264,100.0,36026
36,27,280,280,100.0,36027
36,28,240,240,100.0,36028
36,29,296,296,100.0,36029
36,30,289,289,100.0,36030
37,16,278,278,100.0,37016
37,24,264,264,100.0,37024
37,26,341,341,100.0,37026
38,2,226,226,100.0,38002
38,3,270,270,100.0,38003
38,4,250,250,100.0,38004
38,5,256,256,100.0,38005
38,6,241,241,100.0,38006
38,7,240,240,100.0,38007
38,8,251,251,100.0,38008
38,9,300,300,100.0,38009
38,10,228,228,100.0,38010
38,11,258,258,100.0,38011
38,12,210,210,100.0,38012
38,13,271,271,100.0,38013
38,14,303,303,100.0,38014
38,15,249,249,100.0,38015
38,16,255,255,100.0,38016
38,17,325,325,100.0,38017
38,18,296,296,100.0,38018
38,19,334,334,100.0,38019
38,20,250,250,100.0,38020
38,21,249,249,100.0,38021
38,22,290,290,100.0,38022
38,23,316,316,100.0,38023
38,24,258,258,100.0,38024
38,25,256,256,100.0,38025
38,26,293,293,100.0,38026
38,27,267,267,100.0,38027
38,28,305,305,100.0,38028
38,29,276,276,100.0,38029
38,30,262,262,100.0,38030
38,33,282,282,100.0,38033
38,34,299,299,100.0,38034
38,35,301,301,100.0,38035
38,36,270,270,100.0,38036
38,37,281,281,100.0,38037
38,38,256,256,100.0,38038
38,39,317,317,100.0,38039
38,40,282,282,100.0,38040
41,25,188,188,100.0,41025
41,27,214,214,100.0,41027
41,28,288,288,100.0,41028
41,29,207,207,100.0,41029
45,4,69,69,100.0,45004
45,5,272,272,100.0,45005
45,6,461,461,100.0,45006
45,7,98,98,100.0,45007
45,8,26,26,100.0,45008
45,9,169,169,100.0,45009
45,10,117,117,100.0,45010
