ward,precinct,total,Robert Harris,Robert Harris Percent,precinct_id
3,1,500,500,100.0,03001
3,2,481,481,100.0,03002
3,4,447,447,100.0,03004
3,5,233,233,100.0,03005
3,7,235,235,100.0,03007
3,8,310,310,100.0,03008
3,9,409,409,100.0,03009
3,10,179,179,100.0,03010
3,11,412,412,100.0,03011
3,12,386,386,100.0,03012
3,15,357,357,100.0,03015
3,16,347,347,100.0,03016
3,18,501,501,100.0,03018
3,20,416,416,100.0,03020
3,23,328,328,100.0,03023
3,24,335,335,100.0,03024
3,28,244,244,100.0,03028
3,29,362,362,100.0,03029
3,30,336,336,100.0,03030
3,31,434,434,100.0,03031
3,35,200,200,100.0,03035
3,36,213,213,100.0,03036
3,37,368,368,100.0,03037
3,38,323,323,100.0,03038
3,41,284,284,100.0,03041
4,1,661,661,100.0,04001
4,3,326,326,100.0,04003
4,4,538,538,100.0,04004
4,5,408,408,100.0,04005
4,6,361,361,100.0,04006
4,7,497,497,100.0,04007
4,8,451,451,100.0,04008
4,9,468,468,100.0,04009
4,10,536,536,100.0,04010
4,11,428,428,100.0,04011
4,12,504,504,100.0,04012
4,14,432,432,100.0,04014
4,15,533,533,100.0,04015
4,18,400,400,100.0,04018
4,19,296,296,100.0,04019
4,22,426,426,100.0,04022
4,23,607,607,100.0,04023
4,24,400,400,100.0,04024
4,26,401,401,100.0,04026
4,27,573,573,100.0,04027
4,28,356,356,100.0,04028
4,29,354,354,100.0,04029
4,30,554,554,100.0,04030
4,31,435,435,100.0,04031
4,32,495,495,100.0,04032
4,33,440,440,100.0,04033
4,34,370,370,100.0,04034
4,35,516,516,100.0,04035
4,36,480,480,100.0,04036
4,38,469,469,100.0,04038
5,1,324,324,100.0,05001
5,2,285,285,100.0,05002
5,3,453,453,100.0,05003
5,4,562,562,100.0,05004
5,5,341,341,100.0,05005
5,6,289,289,100.0,05006
5,7,424,424,100.0,05007
5,8,424,424,100.0,05008
5,9,510,510,100.0,05009
5,10,295,295,100.0,05010
5,11,427,427,100.0,05011
5,12,123,123,100.0,05012
5,13,328,328,100.0,05013
