ward,precinct,total,Ieshia Gray,Ieshia Gray Percent,precinct_id
9,1,286,286,100.0,09001
9,2,266,266,100.0,09002
9,3,196,196,100.0,09003
9,4,228,228,100.0,09004
9,5,282,282,100.0,09005
9,6,277,277,100.0,09006
9,7,230,230,100.0,09007
9,8,294,294,100.0,09008
9,9,298,298,100.0,09009
9,10,232,232,100.0,09010
9,11,195,195,100.0,09011
9,13,13,13,100.0,09013
9,14,58,58,100.0,09014
9,15,321,321,100.0,09015
9,16,281,281,100.0,09016
9,17,197,197,100.0,09017
9,18,215,215,100.0,09018
9,19,279,279,100.0,09019
9,20,281,281,100.0,09020
9,21,258,258,100.0,09021
9,22,276,276,100.0,09022
9,26,325,325,100.0,09026
9,27,248,248,100.0,09027
9,28,177,177,100.0,09028
9,29,243,243,100.0,09029
9,30,232,232,100.0,09030
9,31,226,226,100.0,09031
9,32,305,305,100.0,09032
9,33,218,218,100.0,09033
9,34,216,216,100.0,09034
9,35,199,199,100.0,09035
9,37,377,377,100.0,09037
9,38,300,300,100.0,09038
9,39,329,329,100.0,09039
9,40,320,320,100.0,09040
9,41,242,242,100.0,09041
9,43,257,257,100.0,09043
9,44,266,266,100.0,09044
9,45,234,234,100.0,09045
9,46,292,292,100.0,09046
19,28,252,252,100.0,19028
19,43,65,65,100.0,19043
21,1,348,348,100.0,21001
21,2,76,76,100.0,21002
21,3,329,329,100.0,21003
21,5,331,331,100.0,21005
21,6,249,249,100.0,21006
21,7,295,295,100.0,21007
21,8,309,309,100.0,21008
21,9,345,345,100.0,21009
21,10,288,288,100.0,21010
21,11,271,271,100.0,21011
21,12,282,282,100.0,21012
21,13,221,221,100.0,21013
21,14,324,324,100.0,21014
21,16,280,280,100.0,21016
21,17,144,144,100.0,21017
21,18,335,335,100.0,21018
21,19,333,333,100.0,21019
21,20,19,19,100.0,21020
21,21,251,251,100.0,21021
21,22,264,264,100.0,21022
21,23,272,272,100.0,21023
21,24,315,315,100.0,21024
21,25,261,261,100.0,21025
21,27,313,313,100.0,21027
21,29,342,342,100.0,21029
21,32,273,273,100.0,21032
21,33,128,128,100.0,21033
21,34,136,136,100.0,21034
21,35,355,355,100.0,21035
21,36,279,279,100.0,21036
21,37,223,223,100.0,21037
21,38,278,278,100.0,21038
21,39,249,249,100.0,21039
21,40,269,269,100.0,21040
21,41,307,307,100.0,21041
21,42,318,318,100.0,21042
21,44,211,211,100.0,21044
21,45,270,270,100.0,21045
21,46,331,331,100.0,21046
21,48,195,195,100.0,21048
21,49,338,338,100.0,21049
21,50,239,239,100.0,21050
21,52,21,21,100.0,21052
34,1,341,341,100.0,34001
34,2,251,251,100.0,34002
34,3,316,316,100.0,34003
34,4,233,233,100.0,34004
34,5,280,280,100.0,34005
34,6,355,355,100.0,34006
34,7,365,365,100.0,34007
34,8,259,259,100.0,34008
34,9,187,187,100.0,34009
34,10,303,303,100.0,34010
34,11,279,279,100.0,34011
34,12,343,343,100.0,34012
34,13,309,309,100.0,34013
34,14,227,227,100.0,34014
34,15,272,272,100.0,34015
34,16,263,263,100.0,34016
34,18,228,228,100.0,34018
34,19,244,244,100.0,34019
34,20,381,381,100.0,34020
34,21,382,382,100.0,34021
34,22,326,326,100.0,34022
34,23,258,258,100.0,34023
34,24,289,289,100.0,34024
34,25,460,460,100.0,34025
34,26,337,337,100.0,34026
34,27,267,267,100.0,34027
34,28,197,197,100.0,34028
34,29,222,222,100.0,34029
34,30,307,307,100.0,34030
34,31,254,254,100.0,34031
34,32,312,312,100.0,34032
34,33,254,254,100.0,34033
34,34,336,336,100.0,34034
34,35,348,348,100.0,34035
34,36,274,274,100.0,34036
34,37,184,184,100.0,34037
34,38,145,145,100.0,34038
34,39,219,219,100.0,34039
34,40,346,346,100.0,34040
34,41,184,184,100.0,34041
34,42,306,306,100.0,34042
34,43,281,281,100.0,34043
34,44,300,300,100.0,34044
34,45,302,302,100.0,34045
34,46,215,215,100.0,34046
34,47,306,306,100.0,34047
34,48,335,335,100.0,34048
34,49,104,104,100.0,34049
34,50,254,254,100.0,34050
34,51,335,335,100.0,34051
34,52,248,248,100.0,34052
34,53,194,194,100.0,34053
