ward,precinct,total,Jeanne Marie Wrenn,Jeanne Marie Wrenn Percent,precinct_id
2,2,308,308,100.0,02002
2,9,363,363,100.0,02009
2,10,289,289,100.0,02010
2,11,419,419,100.0,02011
2,12,376,376,100.0,02012
2,13,348,348,100.0,02013
2,18,390,390,100.0,02018
2,19,246,246,100.0,02019
2,20,477,477,100.0,02020
2,22,416,416,100.0,02022
2,23,248,248,100.0,02023
2,24,374,374,100.0,02024
2,26,347,347,100.0,02026
2,27,343,343,100.0,02027
2,28,450,450,100.0,02028
2,29,437,437,100.0,02029
2,30,354,354,100.0,02030
2,31,455,455,100.0,02031
2,32,335,335,100.0,02032
2,33,552,552,100.0,02033
2,34,299,299,100.0,02034
2,35,530,530,100.0,02035
2,36,448,448,100.0,02036
2,37,378,378,100.0,02037
2,38,338,338,100.0,02038
2,39,245,245,100.0,02039
2,40,590,590,100.0,02040
2,41,429,429,100.0,02041
2,42,472,472,100.0,02042
2,43,540,540,100.0,02043
2,44,253,253,100.0,02044
2,45,472,472,100.0,02045
2,46,198,198,100.0,02046
3,3,298,298,100.0,03003
3,6,528,528,100.0,03006
3,13,453,453,100.0,03013
3,14,465,465,100.0,03014
3,17,572,572,100.0,03017
3,18,82,82,100.0,03018
3,19,452,452,100.0,03019
3,21,441,441,100.0,03021
3,22,550,550,100.0,03022
3,25,667,667,100.0,03025
3,26,445,445,100.0,03026
3,27,528,528,100.0,03027
3,32,490,490,100.0,03032
3,33,513,513,100.0,03033
3,34,531,531,100.0,03034
3,39,684,684,100.0,03039
3,40,414,414,100.0,03040
4,2,565,565,100.0,04002
4,6,128,128,100.0,04006
4,13,546,546,100.0,04013
4,16,748,748,100.0,04016
4,17,563,563,100.0,04017
4,20,373,373,100.0,04020
4,21,608,608,100.0,04021
4,25,474,474,100.0,04025
4,37,796,796,100.0,04037
11,30,147,147,100.0,11030
11,36,124,124,100.0,11036
11,37,75,75,100.0,11037
25,6,103,103,100.0,25006
25,14,166,166,100.0,25014
25,18,162,162,100.0,25018
25,21,682,682,100.0,25021
25,27,208,208,100.0,25027
27,6,373,373,100.0,27006
27,9,156,156,100.0,27009
27,11,159,159,100.0,27011
27,12,262,262,100.0,27012
27,20,236,236,100.0,27020
27,21,346,346,100.0,27021
27,28,337,337,100.0,27028
27,35,292,292,100.0,27035
27,37,376,376,100.0,27037
27,38,476,476,100.0,27038
27,42,227,227,100.0,27042
27,46,261,261,100.0,27046
27,47,192,192,100.0,27047
27,48,585,585,100.0,27048
32,7,478,478,100.0,32007
32,8,521,521,100.0,32008
32,10,442,442,100.0,32010
32,13,161,161,100.0,32013
32,18,373,373,100.0,32018
32,23,470,470,100.0,32023
32,27,46,46,100.0,32027
32,39,455,455,100.0,32039
40,13,306,306,100.0,40013
40,21,142,142,100.0,40021
40,22,480,480,100.0,40022
40,23,521,521,100.0,40023
40,26,457,457,100.0,40026
40,28,114,114,100.0,40028
40,31,488,488,100.0,40031
40,32,477,477,100.0,40032
40,33,432,432,100.0,40033
40,36,371,371,100.0,40036
42,1,325,325,100.0,42001
42,2,496,496,100.0,42002
42,4,850,850,100.0,42004
42,5,385,385,100.0,42005
42,6,390,390,100.0,42006
42,7,513,513,100.0,42007
42,8,356,356,100.0,42008
42,9,542,542,100.0,42009
42,10,601,601,100.0,42010
42,11,255,255,100.0,42011
42,12,209,209,100.0,42012
42,13,350,350,100.0,42013
42,14,568,568,100.0,42014
42,15,470,470,100.0,42015
42,17,558,558,100.0,42017
42,18,0,0,0.0,42018
42,19,486,486,100.0,42019
42,20,472,472,100.0,42020
42,22,206,206,100.0,42022
42,23,438,438,100.0,42023
42,24,418,418,100.0,42024
42,25,422,422,100.0,42025
42,26,581,581,100.0,42026
42,27,302,302,100.0,42027
42,28,459,459,100.0,42028
42,29,468,468,100.0,42029
42,30,322,322,100.0,42030
42,31,513,513,100.0,42031
42,32,450,450,100.0,42032
42,33,521,521,100.0,42033
42,34,352,352,100.0,42034
42,35,567,567,100.0,42035
42,36,152,152,100.0,42036
42,37,346,346,100.0,42037
42,38,400,400,100.0,42038
42,39,635,635,100.0,42039
42,40,612,612,100.0,42040
42,42,761,761,100.0,42042
43,1,239,239,100.0,43001
43,2,471,471,100.0,43002
43,3,416,416,100.0,43003
43,4,492,492,100.0,43004
43,5,389,389,100.0,43005
43,6,356,356,100.0,43006
43,7,275,275,100.0,43007
43,8,308,308,100.0,43008
43,9,426,426,100.0,43009
43,10,501,501,100.0,43010
43,11,381,381,100.0,43011
43,12,323,323,100.0,43012
43,13,435,435,100.0,43013
43,14,413,413,100.0,43014
43,15,435,435,100.0,43015
43,16,516,516,100.0,43016
43,17,342,342,100.0,43017
43,18,492,492,100.0,43018
43,19,487,487,100.0,43019
43,20,485,485,100.0,43020
43,21,477,477,100.0,43021
43,22,300,300,100.0,43022
43,23,328,328,100.0,43023
43,24,303,303,100.0,43024
43,25,342,342,100.0,43025
43,26,265,265,100.0,43026
43,27,427,427,100.0,43027
43,28,551,551,100.0,43028
43,29,418,418,100.0,43029
43,30,478,478,100.0,43030
43,31,422,422,100.0,43031
43,32,454,454,100.0,43032
43,33,413,413,100.0,43033
43,34,313,313,100.0,43034
43,35,414,414,100.0,43035
43,36,264,264,100.0,43036
43,37,510,510,100.0,43037
43,38,283,283,100.0,43038
43,39,401,401,100.0,43039
43,40,324,324,100.0,43040
43,41,584,584,100.0,43041
43,42,426,426,100.0,43042
43,43,369,369,100.0,43043
43,44,415,415,100.0,43044
43,45,259,259,100.0,43045
43,46,259,259,100.0,43046
44,1,785,785,100.0,44001
44,2,452,452,100.0,44002
44,3,293,293,100.0,44003
44,4,380,380,100.0,44004
44,5,575,575,100.0,44005
44,6,631,631,100.0,44006
44,7,307,307,100.0,44007
44,8,687,687,100.0,44008
44,9,480,480,100.0,44009
44,10,507,507,100.0,44010
44,11,508,508,100.0,44011
44,12,515,515,100.0,44012
44,13,375,375,100.0,44013
44,14,443,443,100.0,44014
44,15,432,432,100.0,44015
44,16,529,529,100.0,44016
44,17,671,671,100.0,44017
44,18,542,542,100.0,44018
44,19,603,603,100.0,44019
44,20,551,551,100.0,44020
44,21,650,650,100.0,44021
44,22,503,503,100.0,44022
44,23,506,506,100.0,44023
44,24,357,357,100.0,44024
44,25,489,489,100.0,44025
44,26,608,608,100.0,44026
44,27,574,574,100.0,44027
44,28,489,489,100.0,44028
44,29,494,494,100.0,44029
44,30,582,582,100.0,44030
44,31,417,417,100.0,44031
44,32,536,536,100.0,44032
44,33,551,551,100.0,44033
44,34,528,528,100.0,44034
44,35,550,550,100.0,44035
44,36,532,532,100.0,44036
44,37,551,551,100.0,44037
44,38,484,484,100.0,44038
44,39,510,510,100.0,44039
44,40,433,433,100.0,44040
44,41,625,625,100.0,44041
46,1,335,335,100.0,46001
46,2,421,421,100.0,46002
46,3,541,541,100.0,46003
46,4,435,435,100.0,46004
46,5,622,622,100.0,46005
46,6,361,361,100.0,46006
46,7,440,440,100.0,46007
46,8,294,294,100.0,46008
46,9,509,509,100.0,46009
46,10,743,743,100.0,46010
46,11,411,411,100.0,46011
46,12,516,516,100.0,46012
46,13,452,452,100.0,46013
46,14,402,402,100.0,46014
46,15,448,448,100.0,46015
46,16,540,540,100.0,46016
46,17,504,504,100.0,46017
46,18,516,516,100.0,46018
46,19,301,301,100.0,46019
46,20,355,355,100.0,46020
46,21,283,283,100.0,46021
46,22,340,340,100.0,46022
46,23,368,368,100.0,46023
46,24,546,546,100.0,46024
46,25,447,447,100.0,46025
46,26,520,520,100.0,46026
46,27,595,595,100.0,46027
46,28,442,442,100.0,46028
46,29,361,361,100.0,46029
46,30,470,470,100.0,46030
46,31,471,471,100.0,46031
46,32,431,431,100.0,46032
46,33,566,566,100.0,46033
46,34,561,561,100.0,46034
46,35,514,514,100.0,46035
46,36,433,433,100.0,46036
46,37,378,378,100.0,46037
46,38,496,496,100.0,46038
46,39,441,441,100.0,46039
46,40,380,380,100.0,46040
47,9,127,127,100.0,47009
47,11,446,446,100.0,47011
47,15,596,596,100.0,47015
47,18,425,425,100.0,47018
47,19,605,605,100.0,47019
47,23,548,548,100.0,47023
47,24,496,496,100.0,47024
47,33,153,153,100.0,47033
47,41,544,544,100.0,47041
47,44,425,425,100.0,47044
48,1,428,428,100.0,48001
48,2,202,202,100.0,48002
48,3,506,506,100.0,48003
48,4,436,436,100.0,48004
48,5,248,248,100.0,48005
48,6,566,566,100.0,48006
48,7,473,473,100.0,48007
48,8,232,232,100.0,48008
48,9,257,257,100.0,48009
48,10,688,688,100.0,48010
48,11,411,411,100.0,48011
48,12,570,570,100.0,48012
48,14,212,212,100.0,48014
48,16,459,459,100.0,48016
48,17,400,400,100.0,48017
48,18,281,281,100.0,48018
48,19,314,314,100.0,48019
48,20,537,537,100.0,48020
48,21,548,548,100.0,48021
48,23,428,428,100.0,48023
48,24,478,478,100.0,48024
48,25,426,426,100.0,48025
48,26,210,210,100.0,48026
48,27,349,349,100.0,48027
48,28,427,427,100.0,48028
48,29,201,201,100.0,48029
48,30,418,418,100.0,48030
48,31,282,282,100.0,48031
48,32,156,156,100.0,48032
48,34,403,403,100.0,48034
48,35,269,269,100.0,48035
48,36,242,242,100.0,48036
48,37,473,473,100.0,48037
48,38,463,463,100.0,48038
48,39,337,337,100.0,48039
48,40,423,423,100.0,48040
48,41,585,585,100.0,48041
48,42,557,557,100.0,48042
48,43,485,485,100.0,48043
48,44,603,603,100.0,48044
48,45,346,346,100.0,48045
49,2,327,327,100.0,49002
49,17,298,298,100.0,49017
