ward,precinct,total,Larry Suffredin,Larry Suffredin Percent,Chris J. Hanusiak,Chris J. Hanusiak Percent,precinct_id
49,1,341,324,95.01,17,4.99,49001
49,3,596,560,93.96,36,6.04,49003
49,5,533,502,94.18,31,5.82,49005
49,6,512,466,91.02,46,8.98,49006
49,7,591,519,87.82,72,12.18,49007
49,8,426,390,91.55,36,8.45,49008
49,9,583,538,92.28,45,7.72,49009
49,10,529,481,90.93,48,9.07,49010
49,11,629,577,91.73,52,8.27,49011
49,12,743,690,92.87,53,7.13,49012
49,13,634,574,90.54,60,9.46,49013
49,14,465,415,89.25,50,10.75,49014
49,15,386,355,91.97,31,8.03,49015
49,16,528,468,88.64,60,11.36,49016
49,17,371,317,85.44,54,14.56,49017
49,19,488,458,93.85,30,6.15,49019
49,20,801,754,94.13,47,5.87,49020
49,21,307,272,88.6,35,11.4,49021
49,22,536,483,90.11,53,9.89,49022
49,23,720,670,93.06,50,6.94,49023
49,24,451,421,93.35,30,6.65,49024
49,25,718,660,91.92,58,8.08,49025
49,26,634,555,87.54,79,12.46,49026
49,27,620,568,91.61,52,8.39,49027
49,29,670,612,91.34,58,8.66,49029
49,30,636,567,89.15,69,10.85,49030
49,31,422,382,90.52,40,9.48,49031
49,32,519,489,94.22,30,5.78,49032
49,33,443,412,93.0,31,7.0,49033
50,1,373,241,64.61,132,35.39,50001
50,2,260,171,65.77,89,34.23,50002
50,3,356,250,70.22,106,29.78,50003
50,4,430,346,80.47,84,19.53,50004
50,5,278,161,57.91,117,42.09,50005
50,6,438,355,81.05,83,18.95,50006
50,7,460,393,85.43,67,14.57,50007
50,8,405,367,90.62,38,9.38,50008
50,9,337,266,78.93,71,21.07,50009
50,10,339,249,73.45,90,26.55,50010
50,11,265,132,49.81,133,50.19,50011
50,12,176,127,72.16,49,27.84,50012
50,13,442,390,88.24,52,11.76,50013
50,14,139,92,66.19,47,33.81,50014
50,15,465,398,85.59,67,14.41,50015
50,16,134,90,67.16,44,32.84,50016
50,18,99,64,64.65,35,35.35,50018
50,19,248,213,85.89,35,14.11,50019
50,20,380,309,81.32,71,18.68,50020
50,21,360,302,83.89,58,16.11,50021
50,22,327,219,66.97,108,33.03,50022
50,27,117,81,69.23,36,30.77,50027
50,28,398,347,87.19,51,12.81,50028
50,31,305,280,91.8,25,8.2,50031
50,32,122,114,93.44,8,6.56,50032
50,33,325,176,54.15,149,45.85,50033
50,34,568,417,73.42,151,26.58,50034
50,35,509,453,89.0,56,11.0,50035
50,36,373,307,82.31,66,17.69,50036
50,37,444,378,85.14,66,14.86,50037
50,38,181,133,73.48,48,26.52,50038
50,40,378,182,48.15,196,51.85,50040
