ward,precinct,total,Michael Cabonargi,Michael Cabonargi Percent,precinct_id
16,32,267,267,100.0,16032
16,35,299,299,100.0,16035
17,6,152,152,100.0,17006
17,7,248,248,100.0,17007
17,12,147,147,100.0,17012
17,14,353,353,100.0,17014
17,16,47,47,100.0,17016
22,1,187,187,100.0,22001
22,2,334,334,100.0,22002
22,7,206,206,100.0,22007
22,8,382,382,100.0,22008
22,9,209,209,100.0,22009
22,10,258,258,100.0,22010
22,11,214,214,100.0,22011
22,12,254,254,100.0,22012
22,14,52,52,100.0,22014
22,15,228,228,100.0,22015
22,18,239,239,100.0,22018
22,19,3,3,100.0,22019
22,22,258,258,100.0,22022
22,23,139,139,100.0,22023
22,25,275,275,100.0,22025
23,4,298,298,100.0,23004
23,5,302,302,100.0,23005
23,6,312,312,100.0,23006
23,7,238,238,100.0,23007
23,8,341,341,100.0,23008
23,9,242,242,100.0,23009
23,10,310,310,100.0,23010
23,13,256,256,100.0,23013
23,15,244,244,100.0,23015
23,17,190,190,100.0,23017
23,19,244,244,100.0,23019
23,20,160,160,100.0,23020
23,22,198,198,100.0,23022
23,24,248,248,100.0,23024
23,25,246,246,100.0,23025
23,26,304,304,100.0,23026
23,29,235,235,100.0,23029
23,30,325,325,100.0,23030
23,31,232,232,100.0,23031
23,32,243,243,100.0,23032
23,33,297,297,100.0,23033
23,34,261,261,100.0,23034
23,38,237,237,100.0,23038
23,39,297,297,100.0,23039
24,7,182,182,100.0,24007
24,16,338,338,100.0,24016
25,1,298,298,100.0,25001
25,2,439,439,100.0,25002
25,4,38,38,100.0,25004
25,5,384,384,100.0,25005
25,6,111,111,100.0,25006
25,7,390,390,100.0,25007
25,8,430,430,100.0,25008
25,9,364,364,100.0,25009
25,11,411,411,100.0,25011
25,12,388,388,100.0,25012
25,13,443,443,100.0,25013
25,14,217,217,100.0,25014
25,15,324,324,100.0,25015
25,17,417,417,100.0,25017
25,18,189,189,100.0,25018
25,19,396,396,100.0,25019
25,21,6,6,100.0,25021
25,22,358,358,100.0,25022
25,23,450,450,100.0,25023
25,24,392,392,100.0,25024
25,26,328,328,100.0,25026
25,27,497,497,100.0,25027
25,28,380,380,100.0,25028
25,29,128,128,100.0,25029
25,30,358,358,100.0,25030
25,32,298,298,100.0,25032
26,1,338,338,100.0,26001
26,2,261,261,100.0,26002
26,3,376,376,100.0,26003
26,5,294,294,100.0,26005
26,6,265,265,100.0,26006
26,7,339,339,100.0,26007
26,8,157,157,100.0,26008
26,9,217,217,100.0,26009
26,10,273,273,100.0,26010
26,11,275,275,100.0,26011
26,12,345,345,100.0,26012
26,13,154,154,100.0,26013
26,14,242,242,100.0,26014
26,15,169,169,100.0,26015
26,16,164,164,100.0,26016
26,17,242,242,100.0,26017
26,18,220,220,100.0,26018
26,20,269,269,100.0,26020
26,21,374,374,100.0,26021
26,22,141,141,100.0,26022
26,23,200,200,100.0,26023
26,24,254,254,100.0,26024
26,25,270,270,100.0,26025
26,26,223,223,100.0,26026
26,27,367,367,100.0,26027
26,28,447,447,100.0,26028
26,29,187,187,100.0,26029
26,30,252,252,100.0,26030
26,31,129,129,100.0,26031
26,32,367,367,100.0,26032
26,33,354,354,100.0,26033
26,34,390,390,100.0,26034
26,35,255,255,100.0,26035
26,36,324,324,100.0,26036
26,37,348,348,100.0,26037
26,38,128,128,100.0,26038
26,39,345,345,100.0,26039
26,40,220,220,100.0,26040
26,41,356,356,100.0,26041
26,42,270,270,100.0,26042
26,43,167,167,100.0,26043
26,44,173,173,100.0,26044
26,45,68,68,100.0,26045
26,46,208,208,100.0,26046
26,47,195,195,100.0,26047
26,48,296,296,100.0,26048
26,49,165,165,100.0,26049
27,1,751,751,100.0,27001
27,5,10,10,100.0,27005
27,6,408,408,100.0,27006
27,7,525,525,100.0,27007
27,9,178,178,100.0,27009
27,11,488,488,100.0,27011
27,12,270,270,100.0,27012
27,13,486,486,100.0,27013
27,16,19,19,100.0,27016
27,20,275,275,100.0,27020
27,21,378,378,100.0,27021
27,27,21,21,100.0,27027
27,28,352,352,100.0,27028
27,33,95,95,100.0,27033
27,35,419,419,100.0,27035
27,37,427,427,100.0,27037
27,38,534,534,100.0,27038
27,40,487,487,100.0,27040
27,42,254,254,100.0,27042
27,43,17,17,100.0,27043
