ward,precinct,total,Curtis J. Tarver II,Curtis J. Tarver II Percent,precinct_id
4,1,724,724,100.0,04001
4,5,480,480,100.0,04005
4,9,550,550,100.0,04009
4,10,607,607,100.0,04010
4,15,494,494,100.0,04015
4,22,503,503,100.0,04022
4,23,604,604,100.0,04023
4,27,654,654,100.0,04027
4,31,500,500,100.0,04031
4,34,329,329,100.0,04034
5,1,372,372,100.0,05001
5,3,524,524,100.0,05003
5,7,497,497,100.0,05007
5,8,490,490,100.0,05008
5,9,570,570,100.0,05009
5,11,497,497,100.0,05011
5,14,250,250,100.0,05014
5,17,155,155,100.0,05017
5,18,458,458,100.0,05018
5,19,433,433,100.0,05019
5,20,552,552,100.0,05020
5,21,254,254,100.0,05021
5,22,530,530,100.0,05022
5,23,804,804,100.0,05023
5,24,536,536,100.0,05024
5,25,419,419,100.0,05025
5,26,438,438,100.0,05026
5,27,543,543,100.0,05027
5,28,255,255,100.0,05028
5,29,448,448,100.0,05029
5,31,348,348,100.0,05031
5,32,557,557,100.0,05032
5,33,489,489,100.0,05033
5,34,550,550,100.0,05034
5,35,578,578,100.0,05035
5,37,529,529,100.0,05037
5,38,390,390,100.0,05038
5,39,373,373,100.0,05039
5,40,318,318,100.0,05040
5,41,265,265,100.0,05041
7,5,286,286,100.0,07005
7,6,438,438,100.0,07006
7,7,343,343,100.0,07007
7,8,293,293,100.0,07008
7,9,600,600,100.0,07009
7,11,323,323,100.0,07011
7,12,320,320,100.0,07012
7,13,213,213,100.0,07013
7,14,362,362,100.0,07014
7,16,257,257,100.0,07016
7,17,294,294,100.0,07017
7,18,300,300,100.0,07018
7,21,230,230,100.0,07021
7,22,292,292,100.0,07022
7,25,28,28,100.0,07025
7,32,264,264,100.0,07032
7,33,428,428,100.0,07033
7,34,417,417,100.0,07034
7,35,377,377,100.0,07035
7,37,340,340,100.0,07037
7,46,142,142,100.0,07046
10,1,312,312,100.0,10001
10,4,242,242,100.0,10004
10,6,251,251,100.0,10006
10,7,221,221,100.0,10007
10,8,207,207,100.0,10008
10,10,296,296,100.0,10010
10,11,355,355,100.0,10011
10,12,189,189,100.0,10012
10,14,362,362,100.0,10014
10,19,296,296,100.0,10019
10,20,311,311,100.0,10020
10,21,298,298,100.0,10021
10,22,188,188,100.0,10022
10,23,249,249,100.0,10023
10,25,98,98,100.0,10025
10,26,235,235,100.0,10026
10,28,341,341,100.0,10028
10,29,281,281,100.0,10029
10,30,260,260,100.0,10030
10,31,235,235,100.0,10031
10,32,299,299,100.0,10032
10,33,219,219,100.0,10033
10,34,47,47,100.0,10034
10,35,307,307,100.0,10035
10,36,76,76,100.0,10036
20,24,261,261,100.0,20024
20,26,361,361,100.0,20026
20,34,585,585,100.0,20034
