ward,precinct,total,Celina Villanueva,Celina Villanueva Percent,precinct_id
12,2,279,279,100.0,12002
12,6,310,310,100.0,12006
12,7,302,302,100.0,12007
12,10,336,336,100.0,12010
12,11,332,332,100.0,12011
12,12,315,315,100.0,12012
12,13,68,68,100.0,12013
12,14,306,306,100.0,12014
12,15,241,241,100.0,12015
12,16,286,286,100.0,12016
12,17,192,192,100.0,12017
12,18,277,277,100.0,12018
12,20,377,377,100.0,12020
12,22,274,274,100.0,12022
14,1,33,33,100.0,14001
15,6,272,272,100.0,15006
15,9,31,31,100.0,15009
15,10,214,214,100.0,15010
15,11,144,144,100.0,15011
15,12,35,35,100.0,15012
22,4,101,101,100.0,22004
22,5,4,4,100.0,22005
22,7,49,49,100.0,22007
22,10,365,365,100.0,22010
22,13,176,176,100.0,22013
22,14,214,214,100.0,22014
22,15,207,207,100.0,22015
22,16,260,260,100.0,22016
22,17,52,52,100.0,22017
22,18,152,152,100.0,22018
22,19,3,3,100.0,22019
22,22,264,264,100.0,22022
23,1,87,87,100.0,23001
23,12,227,227,100.0,23012
23,16,251,251,100.0,23016
23,21,240,240,100.0,23021
23,27,194,194,100.0,23027
23,36,252,252,100.0,23036
23,37,160,160,100.0,23037
24,16,336,336,100.0,24016
