ward,precinct,total,Gregory Harris,Gregory Harris Percent,precinct_id
33,18,9,9,100.0,33018
39,13,1,1,100.0,39013
39,22,24,24,100.0,39022
39,30,24,24,100.0,39030
40,1,36,36,100.0,40001
40,2,42,42,100.0,40002
40,3,38,38,100.0,40003
40,4,9,9,100.0,40004
40,5,64,64,100.0,40005
40,6,49,49,100.0,40006
40,7,66,66,100.0,40007
40,8,32,32,100.0,40008
40,9,72,72,100.0,40009
40,10,19,19,100.0,40010
40,11,82,82,100.0,40011
40,12,25,25,100.0,40012
40,13,45,45,100.0,40013
40,14,45,45,100.0,40014
40,15,47,47,100.0,40015
40,16,52,52,100.0,40016
40,17,54,54,100.0,40017
40,18,30,30,100.0,40018
40,19,72,72,100.0,40019
40,20,55,55,100.0,40020
40,21,40,40,100.0,40021
40,22,44,44,100.0,40022
40,23,79,79,100.0,40023
40,24,42,42,100.0,40024
40,25,49,49,100.0,40025
40,26,53,53,100.0,40026
40,27,88,88,100.0,40027
40,29,78,78,100.0,40029
40,30,83,83,100.0,40030
40,31,52,52,100.0,40031
40,32,49,49,100.0,40032
40,33,45,45,100.0,40033
40,34,58,58,100.0,40034
40,35,51,51,100.0,40035
40,36,41,41,100.0,40036
40,37,23,23,100.0,40037
40,38,45,45,100.0,40038
40,39,6,6,100.0,40039
46,1,76,76,100.0,46001
46,2,45,45,100.0,46002
46,4,62,62,100.0,46004
46,6,34,34,100.0,46006
46,8,32,32,100.0,46008
46,12,46,46,100.0,46012
46,14,80,80,100.0,46014
46,16,59,59,100.0,46016
46,20,76,76,100.0,46020
46,21,24,24,100.0,46021
46,22,48,48,100.0,46022
46,23,54,54,100.0,46023
46,25,40,40,100.0,46025
46,26,13,13,100.0,46026
46,29,1,1,100.0,46029
46,32,74,74,100.0,46032
46,37,56,56,100.0,46037
46,40,75,75,100.0,46040
47,5,36,36,100.0,47005
47,10,40,40,100.0,47010
47,15,60,60,100.0,47015
47,19,62,62,100.0,47019
47,20,44,44,100.0,47020
47,22,56,56,100.0,47022
47,23,60,60,100.0,47023
47,26,30,30,100.0,47026
47,28,49,49,100.0,47028
47,30,63,63,100.0,47030
47,31,50,50,100.0,47031
47,32,49,49,100.0,47032
47,34,58,58,100.0,47034
47,36,52,52,100.0,47036
47,37,45,45,100.0,47037
47,38,37,37,100.0,47038
47,39,3,3,100.0,47039
47,41,45,45,100.0,47041
47,42,32,32,100.0,47042
47,45,52,52,100.0,47045
48,4,86,86,100.0,48004
48,7,0,0,0.0,48007
48,14,37,37,100.0,48014
48,17,73,73,100.0,48017
48,20,61,61,100.0,48020
48,21,102,102,100.0,48021
48,23,88,88,100.0,48023
48,24,54,54,100.0,48024
48,35,71,71,100.0,48035
48,38,16,16,100.0,48038
