ward,precinct,total,Bob Galhotra,Bob Galhotra Percent,Don Harmon,Don Harmon Percent,precinct_id
29,1,120,28,23.33,92,76.67,29001
29,4,148,22,14.86,126,85.14,29004
29,5,106,18,16.98,88,83.02,29005
29,7,119,13,10.92,106,89.08,29007
29,9,144,48,33.33,96,66.67,29009
29,10,140,16,11.43,124,88.57,29010
29,12,131,27,20.61,104,79.39,29012
29,13,94,18,19.15,76,80.85,29013
29,15,126,19,15.08,107,84.92,29015
29,17,101,15,14.85,86,85.15,29017
29,23,89,42,47.19,47,52.81,29023
29,24,79,10,12.66,69,87.34,29024
29,25,145,23,15.86,122,84.14,29025
29,26,148,21,14.19,127,85.81,29026
29,27,98,20,20.41,78,79.59,29027
29,30,48,13,27.08,35,72.92,29030
29,33,113,30,26.55,83,73.45,29033
29,35,63,9,14.29,54,85.71,29035
29,36,24,6,25.0,18,75.0,29036
29,37,109,25,22.94,84,77.06,29037
29,40,152,28,18.42,124,81.58,29040
29,41,92,8,8.7,84,91.3,29041
29,43,121,18,14.88,103,85.12,29043
29,44,173,39,22.54,134,77.46,29044
37,18,101,23,22.77,78,77.23,37018
37,29,8,2,25.0,6,75.0,37029
37,35,110,16,14.55,94,85.45,37035
37,37,93,17,18.28,76,81.72,37037
