ward,precinct,total,Pamela Reaves-Harris,Pamela Reaves-Harris Percent,Derrick Smith,Derrick Smith Percent,Beverly Perteet,Beverly Perteet Percent,Eddie Winters,Eddie Winters Percent,Antwan D. Hampton,Antwan D. Hampton Percent,precinct_id
1,8,9,6,66.67,2,22.22,0,0.0,0,0.0,1,11.11,01008
1,11,32,21,65.63,0,0.0,2,6.25,7,21.88,2,6.25,01011
1,12,46,20,43.48,10,21.74,5,10.87,8,17.39,3,6.52,01012
1,21,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,01021
1,32,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,01032
1,33,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01033
1,37,10,4,40.0,2,20.0,0,0.0,2,20.0,2,20.0,01037
2,1,32,19,59.38,7,21.88,1,3.13,4,12.5,1,3.13,02001
2,6,32,16,50.0,8,25.0,4,12.5,4,12.5,0,0.0,02006
2,7,31,15,48.39,2,6.45,5,16.13,5,16.13,4,12.9,02007
2,8,29,15,51.72,4,13.79,1,3.45,8,27.59,1,3.45,02008
2,15,62,31,50.0,10,16.13,8,12.9,11,17.74,2,3.23,02015
2,17,51,36,70.59,4,7.84,5,9.8,5,9.8,1,1.96,02017
2,20,16,10,62.5,1,6.25,1,6.25,4,25.0,0,0.0,02020
2,25,47,21,44.68,8,17.02,3,6.38,10,21.28,5,10.64,02025
24,17,20,8,40.0,11,55.0,0,0.0,1,5.0,0,0.0,24017
24,19,103,45,43.69,35,33.98,4,3.88,16,15.53,3,2.91,24019
24,20,51,23,45.1,21,41.18,2,3.92,4,7.84,1,1.96,24020
24,32,64,28,43.75,22,34.38,1,1.56,10,15.63,3,4.69,24032
24,41,64,20,31.25,29,45.31,0,0.0,13,20.31,2,3.13,24041
26,4,8,4,50.0,1,12.5,3,37.5,0,0.0,0,0.0,26004
26,17,28,10,35.71,6,21.43,6,21.43,4,14.29,2,7.14,26017
26,19,7,3,42.86,1,14.29,1,14.29,0,0.0,2,28.57,26019
26,28,43,24,55.81,14,32.56,1,2.33,2,4.65,2,4.65,26028
26,46,21,10,47.62,2,9.52,2,9.52,6,28.57,1,4.76,26046
27,1,26,13,50.0,10,38.46,1,3.85,1,3.85,1,3.85,27001
27,3,43,19,44.19,18,41.86,1,2.33,5,11.63,0,0.0,27003
27,4,60,11,18.33,32,53.33,2,3.33,11,18.33,4,6.67,27004
27,5,54,17,31.48,22,40.74,6,11.11,5,9.26,4,7.41,27005
27,8,72,26,36.11,33,45.83,4,5.56,8,11.11,1,1.39,27008
27,10,83,30,36.14,37,44.58,5,6.02,8,9.64,3,3.61,27010
27,11,15,11,73.33,1,6.67,0,0.0,2,13.33,1,6.67,27011
27,13,159,53,33.33,80,50.31,10,6.29,15,9.43,1,0.63,27013
27,14,25,13,52.0,7,28.0,4,16.0,1,4.0,0,0.0,27014
27,15,60,18,30.0,30,50.0,2,3.33,8,13.33,2,3.33,27015
27,16,3,0,0.0,0,0.0,0,0.0,2,66.67,1,33.33,27016
27,17,68,17,25.0,28,41.18,1,1.47,20,29.41,2,2.94,27017
27,19,60,23,38.33,23,38.33,5,8.33,7,11.67,2,3.33,27019
27,22,56,27,48.21,23,41.07,2,3.57,2,3.57,2,3.57,27022
27,23,100,35,35.0,53,53.0,3,3.0,7,7.0,2,2.0,27023
27,24,56,13,23.21,34,60.71,1,1.79,8,14.29,0,0.0,27024
27,25,68,11,16.18,15,22.06,3,4.41,37,54.41,2,2.94,27025
27,26,115,38,33.04,60,52.17,4,3.48,10,8.7,3,2.61,27026
27,27,76,27,35.53,32,42.11,4,5.26,10,13.16,3,3.95,27027
27,29,79,30,37.97,41,51.9,0,0.0,7,8.86,1,1.27,27029
27,30,52,17,32.69,28,53.85,4,7.69,3,5.77,0,0.0,27030
27,31,78,18,23.08,48,61.54,4,5.13,5,6.41,3,3.85,27031
27,32,73,19,26.03,27,36.99,4,5.48,20,27.4,3,4.11,27032
27,33,27,11,40.74,11,40.74,0,0.0,5,18.52,0,0.0,27033
27,34,109,31,28.44,68,62.39,3,2.75,6,5.5,1,0.92,27034
27,35,32,22,68.75,5,15.63,2,6.25,1,3.13,2,6.25,27035
27,36,70,23,32.86,33,47.14,8,11.43,5,7.14,1,1.43,27036
27,37,3,2,66.67,1,33.33,0,0.0,0,0.0,0,0.0,27037
27,39,101,30,29.7,47,46.53,8,7.92,14,13.86,2,1.98,27039
27,40,66,11,16.67,18,27.27,3,4.55,31,46.97,3,4.55,27040
27,43,53,16,30.19,8,15.09,12,22.64,13,24.53,4,7.55,27043
27,44,76,28,36.84,41,53.95,2,2.63,1,1.32,4,5.26,27044
27,45,11,3,27.27,3,27.27,1,9.09,3,27.27,1,9.09,27045
27,49,46,13,28.26,23,50.0,2,4.35,8,17.39,0,0.0,27049
